"TID","EN"
"string","string"
"TID_DOUBLE_TOKEN_WEEKEND","DOUBLE TOKEN WEEKEND"
"TID_RANKS_ADDED_TITLE","New Brawler Ranks"
"TID_RANKS_ADDED_DESC","Brawlers can now rank up to 35, up from the previous top rank of 20.\n\nYou received <cff00ff><STARPOINTS></c> Star Points and <TOKENS> Tokens from your Brawlers that ranked up!"
"TID_SKINS_TITLE","SKINS"
"TID_SKINS_BUTTON_LABEL","SKINS"
"TID_SKIN_PREVIEW","SKIN PREVIEW"
"TID_DEFAULT_SKIN","DEFAULT SKIN OF <HERO>"
"TID_HERO_LVL_UP_MATERIAL","Coins"
"TID_TOKENS","Tokens"
"TID_FIRST_WINS","Star Tokens"
"TID_BUTTON_INBOX","INBOX"
"TID_INBOX_TITLE","INBOX"
"TID_INBOX_SYSTEM_SENDER","System"
"TID_INBOX_SUPPORT_SENDER","Support"
"TID_INBOX_AGE","<TIME> ago"
"TID_INBOX_CLAIM","CLAIM"
"TID_INBOX_VIEW","VIEW"
"TID_INBOX_TAB_0","CLUB MAIL"
"TID_INBOX_TAB_1","PERSONAL"
"TID_INBOX_NO_ENTRIES","NO ENTRIES"
"TID_INBOX_CAPTION_99","Season has ended"
"TID_INBOX_CAPTION_94","Skin donation: <NAME>"
"TID_INBOX_CAPTION_93","Brawler donation: <NAME>"
"TID_INBOX_CAPTION_92","Donation of <AMOUNT> Power Points for <NAME>"
"TID_INBOX_CAPTION_91","Donation of <AMOUNT> tickets"
"TID_INBOX_CAPTION_90","Donation of <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Donation of <AMOUNT> Gems"
"TID_INBOX_CAPTION_88","Donation of <AMOUNT> of Token Doublers"
"TID_INBOX_CAPTION_85","Revoke of <AMOUNT> Gems"
"TID_INBOX_CAPTION_84","Donation of Star Power <ABI> for <NAME>"
"TID_INBOX_CAPTION_78","Brawler Ranks 21-30 are here!"
"TID_INBOX_NEW","NEW!"
"TID_BAND_MAIL_POPUP_TITLE","CLUB MAIL"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","write your message here..."
"TID_BAND_MAIL_POPUP_POST","POST"
"TID_BAND_MAIL_POPUP_NO_MSG","Remember to input a message"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","This feature is not available for demo accounts"
"TID_REVOKE_TITLE","Message From Support"
"TID_REVOKE_OK","Got it"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Cannot send join request. You are already in a team"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Cannot send join request. You have a pending team invite"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Cannot send join request. You have a pending join request"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Join request canceled"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","I WANT TO JOIN YOUR TEAM"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>VICTORY</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>DEFEAT</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>DRAW</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>RANK <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>RANK <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>RANK <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> ago"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","LVL"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","BATTLE LOG"
"TID_BATTLE_LOG_REPLAY","REPLAY"
"TID_BATTLE_LOG_SURVIVED_FOR","Survived for <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Defeated Big Brawler in <TIME>"
"TID_BATTLE_LOG_MVP","STAR PLAYER"
"TID_BATTLE_LOG_FRIENDLY","FRIENDLY"
"TID_BATTLE_LOG_PVP","RANKED"
"TID_BATTLE_LOG_NO_ENTRIES","NO ENTRIES"
"TID_BATTLE_LOG_THIS_IS_A_BOT","This is a bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Replays currently disabled"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","No replay available yet"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","No replay: too low Brawler trophies"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Reach <NUM> Brawler trophies to unlock replays"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","No replay: recording failed"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Replay no longer available"
"TID_PLAYER_XP_LEVEL","LEVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Failed to add friend"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Friend link has expired!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Unable to add friend, their friend list is full!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Unable to add friend, your friend list is full!"
"TID_ADD_FRIEND_FAILED_BANNED","Unable to add friend, user is banned!"
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> left"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> tokens in <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Next Reward"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Confirm Alternative Reward"
"TID_RANK_UP_REWARD_REPLACED_POWER","None of your Brawlers can be selected to receive <AMOUNT> power points.\n\nClaim the alternative reward instead?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Since you already have <NAME> you will get the alternative reward."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","Send friend request"
"TID_PLAYER_INFO_REMOVE_FRIEND","Remove from friend list"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","Friend request sent"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","in-game\nfriend"
"TID_POWER_POINTS","POWER POINTS"
"TID_HERO_INFO_LEVEL","POWER"
"TID_HERO_INFO_RANK","RANK"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","UPGRADE TO POWER LEVEL <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","TAP AGAIN TO CONFIRM"
"TID_HERO_INFO_MAX_LEVEL","MAX POWER"
"TID_HERO_INFO_MORE_POWER_NEEDED","Collect more power to upgrade!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Brawler does not have enough Power Points"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","You don't have enough Coins!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Brawler already at maximum power level!"
