"Name","FileName","StartFrame","EndFrame","RunningTimeMs","Speed","TransitionInMs","TransitionOutMs","AutoFadeMs","Looping","Priority"
"string","string","int","int","int","int","int","int","int","boolean","string"
"Turret","turret_jessie_geo.scw",-1,-1,-1,,,,,"true",
"TurretSpawn","turret_jessie_spawn.scw",-1,-1,-1,,,,1,"false",3
"TurretIdle","turret_jessie_idle.scw",-1,-1,-1,,,,,"true",
"TurretAttack","turret_jessie_attack.scw",-1,-1,-1,66,,,1,"false",4
"GunslingerIdle","gunslinger_uipose.scw",-1,-1,-1,,100,100,,"true",
"GunslingerWalk","gunslinger_walk.scw",-1,-1,-1,150,100,100,,"true",1
"GunslingerPrimary","gunslinger_attack2.scw",-1,-1,-1,,200,200,100,"false","ChestBone#3"
"GunslingerSecondary","gunslinger_attack2.scw",-1,-1,-1,,200,200,100,"false","ChestBone#3"
"GunslingerRecoil","gunslinger_recoil.scw",-1,-1,-1,,200,200,100,"false","ChestBone#4"
"GunslingerRecoil2","gunslinger_recoil2.scw",-1,-1,-1,,200,200,100,"false","ChestBone#4"
"GunslingerReload","gunslinger_uipose.scw",-1,-1,-1,,800,800,800,"false","ChestBone#2"
"GunslingerPushback","gunslinger_idle.scw",-1,-1,-1,,200,100,200,"false",5
"GunslingerWin","gunslinger_win1.scw",-1,-1,-1,,,,200,"false",
"GunslingerWinloop","gunslinger_winloop1.scw",-1,-1,-1,,,,,"true",
"GunslingerLose","gunslinger_lose1.scw",-1,-1,-1,,,,200,"false",
"GunslingerLoseloop","gunslinger_loseloop1.scw",-1,-1,-1,,,,,"true",
"TntguyIdle","tntguy_idle1.scw",-1,-1,-1,,500,500,,"true",
"TntguyWalk","tntguy_walk1.scw",-1,-1,-1,250,500,500,,"true",1
"TntguyPrimary","tntguy_attack1.scw",-1,-1,-1,,1,1,50,"false","ChestBone#4"
"TntguySecondary","tntguy_attack1.scw",-1,-1,-1,,100,200,200,"false","ChestBone#3"
"TntguyRecoil","tntguy_recoil1.scw",-1,-1,-1,,1,1,50,"false","ChestBone#4"
"TntguyReload","tntguy_idle1.scw",-1,-1,-1,,200,300,400,"false","ChestBone#2"
"TntguyUlti","tntguy_ulti1.scw",-1,-1,-1,,10,10,3,"false",5
"TntguyPushback","tntguy_idle1.scw",-1,-1,-1,,100,200,400,"false",5
"TntguyWin","tntguy_win1.scw",-1,-1,-1,,,,200,"false",
"TntguyWinloop","tntguy_winloop1.scw",-1,-1,-1,,,,,"true",
"TntguyLose","tntguy_lose1.scw",-1,-1,-1,,,,200,"false",
"TntguyLoseloop","tntguy_loseloop1.scw",-1,-1,-1,,,,,"true",
"UndertakerIdle","mortis_idle.scw",1,30,-1,,,,,"true",
"UndertakerAttack","mortis_attack.scw",-1,-1,-1,,,100,50,"false",1
"UndertakerWalk","mortis_walk.scw",1,29,-1,150,100,100,,"true",1
