"TID","TR"
"string","string"
"TID_DOUBLE_TOKEN_WEEKEND","İKİ KAT JETON HAFTA SONU"
"TID_RANKS_ADDED_TITLE","Yeni Savaşçı Rütbeleri"
"TID_RANKS_ADDED_DESC","Savaşçılar artık maksimum 20 rütbe yerine 35. rütbeye kadar çıkabiliyor.\n\nRütbe atlayan savaşçılarından <cff00ff><STARPOINTS></c> yıldız puanı ve <TOKENS> jeton kazandın!"
"TID_SKINS_TITLE","KOSTÜMLER"
"TID_SKINS_BUTTON_LABEL","KOSTÜMLER"
"TID_SKIN_PREVIEW","KOSTÜM ÖN İZLEMESİ"
"TID_DEFAULT_SKIN","<HERO> İÇİN VARSAYILAN KOSTÜM"
"TID_HERO_LVL_UP_MATERIAL","Altın"
"TID_TOKENS","Jeton"
"TID_FIRST_WINS","Yıldız Jetonu"
"TID_BUTTON_INBOX","GELEN KUTUSU"
"TID_INBOX_TITLE","GELEN KUTUSU"
"TID_INBOX_SYSTEM_SENDER","Sistem"
"TID_INBOX_SUPPORT_SENDER","Destek"
"TID_INBOX_AGE","<TIME> önce"
"TID_INBOX_CLAIM","AL"
"TID_INBOX_VIEW","GÖRÜNTÜLE"
"TID_INBOX_TAB_0","KULÜP"
"TID_INBOX_TAB_1","KİŞİSEL"
"TID_INBOX_NO_ENTRIES","BOŞ"
"TID_INBOX_CAPTION_99","Sezon sona erdi."
"TID_INBOX_CAPTION_94","Şu kostüm hediye edildi: <NAME>"
"TID_INBOX_CAPTION_93","Şu savaşçı hediye edildi: <NAME>"
"TID_INBOX_CAPTION_92","<NAME> için <AMOUNT> güç puanı hediye edildi."
"TID_INBOX_CAPTION_91","<AMOUNT> bilet hediye edildi."
"TID_INBOX_CAPTION_90","<AMOUNT> <NAME> hediye edildi."
"TID_INBOX_CAPTION_89","<AMOUNT> elmas hediye edildi."
"TID_INBOX_CAPTION_88","<AMOUNT> jeton katlayıcı hediye edildi."
"TID_INBOX_CAPTION_85","<AMOUNT> elmas geri alındı."
"TID_INBOX_CAPTION_84","<NAME> için <ABI> yıldız gücü hediye edildi."
"TID_INBOX_CAPTION_78","21´den 30´a kadar savaşçı rütbeleri geldi!"
"TID_INBOX_NEW","YENİ!"
"TID_BAND_MAIL_POPUP_TITLE","KULÜP POSTASI"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","mesajını buraya yaz..."
"TID_BAND_MAIL_POPUP_POST","GÖNDER"
"TID_BAND_MAIL_POPUP_NO_MSG","Bir mesaj yazmayı unutma."
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Demo hesaplarda bu özellik kullanılamaz."
"TID_REVOKE_TITLE","Destek Bölümünden Mesaj"
"TID_REVOKE_OK","Anladım"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Katılma isteği gönderilemiyor. Zaten bir takımdasın."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Katılma isteği gönderilemiyor. Beklemede olan bir takım davetin var."
