"Name","PowerLeagueSeasonId","SkinsInRankedStar","TicketsInSkinDraw","SpraysInRankedStar","TicketsInSprayDraw","ProfilePicsInRankedStar","TicketsInProfilePicDraw"
"string","int","String","int","String","int","String","int"
"YearOfDragon",18,"TntDudeDynastic",50,"spray_ranked_sandsoftime",100,"player_icon_ranked_sandsoftime",100
,,"TrickshotDudeDevil",8,"spray_cartoon_starr",20,"rank31",15
,,"DuplicatorDarkcircus",8,"spray_lola_circus",20,"rank30",15
,,"MaisieWasteland",8,"spray_maisie_wasteland",20,"rank29",14
,,"IceDudeStonetroll",8,"spray_lou_enchanted",20,"rank28",14
,,"MechaDudeJaguar",9,"spray_meg_jungle",20,"rank27",14
,,"SniperMariposa",9,,,"rank25",14
,,,,,,"rank26",14
"SandsOfTime",19,"TntDudeDynastic",50,"spray_ranked_sandsoftime",100,"player_icon_ranked_sandsoftime",100
,,"TrickshotDudeDevil",8,"spray_cartoon_starr",20,"rank31",15
,,"DuplicatorDarkcircus",8,"spray_lola_circus",20,"rank30",15
,,"MaisieWasteland",8,"spray_maisie_wasteland",20,"rank29",14
,,"IceDudeStonetroll",8,"spray_lou_enchanted",20,"rank28",14
,,"MechaDudeJaguar",9,"spray_meg_jungle",20,"rank27",14
,,"SniperMariposa",9,,,"rank25",14
,,,,,,"rank26",14
"Ragnarok",20,"JesterLoki",50,"spray_ranked_ragnarok",100,"player_icon_ranked_ragnarok",100
,,"TntDudeDynastic",7,"spray_ranked_sandsoftime",17,"player_icon_ranked_sandsoftime",13
,,"TrickshotDudeDevil",7,"spray_cartoon_starr",17,"rank31",13
,,"DuplicatorDarkcircus",7,"spray_lola_circus",17,"rank30",13
,,"MaisieWasteland",7,"spray_maisie_wasteland",17,"rank29",13
,,"IceDudeStonetroll",7,"spray_lou_enchanted",16,"rank28",12
,,"MechaDudeJaguar",7,"spray_meg_jungle",16,"rank27",12
,,"SniperMariposa",8,,,"rank25",12
,,,,,,"rank26",12
