"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_ATTACHER_SHORT_DESC","SUPPORT","فئة داعم","辅助","輔助型","UNTERSTÜTZER","APOYO","VAHVISTUS","SOUTIEN","תמיכה","PENDUKUNG","SUPPORTO","サポート","서포터","SOKONGAN","HELPER","WSPARCIE","SUPORTE","ПОДДЕРЖКА","สายสนับสนุน","DESTEK","CHIẾN BINH HỖ TRỢ"
"TID_WATCH_AD_ERROR_5","Collect your daily freebie first!","قم بتحصيل هديتك اليومية أولاً!","请先领取每日礼物！","請先領取每日小禮物！","Hol dir zuerst dein tägliches Geschenk ab!","¡Reclama el regalo diario primero!","Lunasta ensin päivän lahjasi!","Récupérez votre cadeau du jour !","זה הזמן לאסוף את המתנה היומית!","Ambil hadiah gratis harian terlebih dahulu!","Prima ritira il regalo del giorno!","まず無料のデイリーギフトを回収しましょう！","먼저 오늘의 선물을 받으세요!","Kumpul hadiah percuma harian dahulu!","Verzamel eerst je dagelijkse cadeau!","Najpierw odbierz codzienny prezent!","Colete seu presente diário primeiro!","Сначала забери подарок дня!","เก็บของแจกฟรีรายวันก่อน!","Önce günlük hediyeni al!","Thu thập quà miễn phí hằng ngày của bạn trước!"
"TID_SHOP_GEMS_EXTRA_VALUE","EXTRA","قيمة إضافية","加量","加量","EXTRA","EXTRA","EKSTRA","EN PLUS","אקסטרה","EKSTRA","EXTRA","追加","추가","TAMBAHAN","EXTRA","EKSTRA","A MAIS","БОЛЬШЕ","พิเศษ","EKSTRA","THÊM"
"TID_KEY_BAR_FULL","<PARAM> Daily Battle XP is full! Time to Brawl!","<PARAM> خبرة المعارك اليومية ممتلئة! حان وقت العراك!","可获得的<PARAM>每日对战经验已满！快来对战吧！","<PARAM>每日對戰經驗已滿！快去對戰獲取吧！","<PARAM> tägliche Kampf-XP ist voll! Zeit zu brawlen!","La XP de batalla diaria está al máximo: <PARAM>. ¡Es hora de luchar!","Päivän ottelu-XP:t (<PARAM>) täynnä! Aika rähinöidä!","<PARAM> EXP de combat du jour pleine ! C'est l'heure du brawl !","<PARAM> מד ה-XP של הקרבות מלא! זה הזמן ל-Brawl!","<PARAM> XP Laga Harian PENUH! Saatnya Berlaga!","Hai tutti e <PARAM> gli XP della battaglia giornalieri a disposizione. Buttati nella mischia!","デイリーバトルXPが上限に達しました（<PARAM>）！バトルに参加しましょう！","일일 전투 XP 한도(<PARAM>)에 도달했습니다! 전투에 참여하세요!","<PARAM>XP pertempuran harian sudah penuh! Masa untuk berlaga!","Je dagelijkse gevechts-XP is vol (<PARAM>). Tijd om te knokken!","<PARAM> Licznik PD codziennej bitwy jest pełny! Czas ruszyć do walki!","EXP de batalhas diárias no limite (<PARAM>). É hora de lutar!","Накоплено <PARAM> очк. боевого опыта! Пора в бой!","ค่าประสบการณ์ต่อสู้รายวัน <PARAM> หน่วยเต็มแล้ว! ถึงเวลาสู้!","Dolarsa her gün <PARAM> savaş DP'si! Haydi savaşa!","<PARAM> ĐKN chiến đấu hằng ngày đã đầy! Đến lúc chiến đấu rồi!"
"TID_LEAPER_SP_1_DESC","Every <c00cc00><VALUE1></c> seconds, Mico's basic attack steals ammo from his enemies after hitting them.","كل <c00cc00><VALUE1></c> ث، يسرق هجوم ميكو الأساسي الذخيرة من أعدائه بعد إصابتهم.","每过<c00cc00><VALUE1></c>秒，米科都可在普通攻击命中敌人时偷取弹药。","每過<c00cc00><VALUE1></c>秒，米可都會在普通攻擊命中敵人時偷取對方的彈藥。","Alle <c00cc00><VALUE1></c> Sekunden stiehlt Mico getroffenen Gegnern mit seiner Hauptattacke Angriffsaufladungen.","Cada <c00cc00><VALUE1></c> segundos, el ataque base de Mico roba munición a sus enemigos tras golpearlos.","Micon perushyökkäys varastaa osuessaan ammuksia vastustajilta <c00cc00><VALUE1></c> sekunnin välein.","Toutes les <c00cc00><VALUE1></c> seconde(s), l'attaque principale de Mico vole des munitions aux ennemis frappés.","כל <c00cc00><VALUE1></c> שניות, ההתקפה הבסיסית של Mico גונבת תחמושת מהאויבים שלו לאחר שפגע בהם.","Setiap <c00cc00><VALUE1></c> detik, serangan dasar Mico yang mengenai lawan juga akan mencuri amunisi!","Ogni <c00cc00><VALUE1></c> secondi, Mico ruba i colpi degli avversari su cui va a segno col suo attacco base.","<c00cc00><VALUE1></c>秒ごとに、通常攻撃が命中した敵から弾薬を盗む。","<c00cc00><VALUE1></c>초마다 일반 공격이 명중한 적의 탄환을 빼앗습니다.","Setiap <c00cc00><VALUE1></c>saat, serangan asas Mico akan mencuri peluru daripada musuh selepas mengenai mereka.","Met zijn basisaanval steelt Mico elke <c00cc00><VALUE1></c> seconden munitie van zijn vijanden nadat hij ze geraakt heeft.","Co <c00cc00><VALUE1></c> s podstawowy atak Mico wykrada amunicję od wrogów po ich trafieniu.","A cada <c00cc00><VALUE1></c> segundos, o ataque normal de Mico rouba munição dos inimigos atingidos.","Каждые <c00cc00><VALUE1></c> с. Мико отнимает у врагов боеприпасы, если задевает их основной атакой.","ทุกๆ <c00cc00><VALUE1></c> วินาที การโจมตีพื้นฐานของมิโก้จะขโมยกระสุนจากศัตรูหลังจากที่ศัตรูถูกยิงใส่","<c00cc00><VALUE1></c> saniyede bir Mico'nun temel saldırısı isabet ettiği düşmanlardan cephane çalar.","Mỗi <c00cc00><VALUE1></c> giây, đòn tấn công cơ bản của Mico sẽ trộm đạn dược từ kẻ địch sau khi đánh trúng họ."
"TID_TWINS_SP_2_DESC","While Lawrie is in range, reload <c00cc00><VALUE2>%</c> of your ammo whenever he damages an enemy.","عند وجود لوري في مداك، قم بتعبئة <c00cc00><VALUE2>%</c> من ذخيرتك كلما ألحق الضرر بعدو.","如果劳里处于拉里的射程范围内，每次劳里对敌人造成伤害时，会为拉里补充<c00cc00><VALUE2>%</c>的弹药。","如果羅瑞處於射程範圍內，當他對敵人造成傷害時，會為賴瑞裝填<c00cc00><VALUE2>%</c>的彈藥。","Larry lädt seine verfügbaren Hauptattacken um <c00cc00><VALUE2> %</c> auf, wenn Lawrie Gegnern Schaden zufügt und sich in Reichweite befindet.","Mientras Lawrie esté dentro de su alcance, Larry recarga un <c00cc00><VALUE2> %</c> de munición cada vez que su gemelo inflija daño a un enemigo.","Aseesi latautuu <c00cc00><VALUE2> %</c> aina, kun Lawrie lähelläsi ollessaan vahingoittaa vastustajaa.","Tant que Lawrie est à portée, Larry récupère <c00cc00><VALUE2> %</c> de ses munitions chaque fois qu'il inflige des dégâts à un ennemi.","כשלורי בטווח, ניתן לבצע טעינה חוזרת של <c00cc00>%<VALUE2></c>מהתחמושת שלך כשהוא פוגע באויב.","Saat Lawrie berada dalam jangkauan, amunisi Laurie akan terisi ulang <c00cc00><VALUE2>%</c> setiap kali dia memberi kerusakan pada lawan.","Quando Lawrie è a portata, Larry ricarica il <c00cc00><VALUE2>%</c> dei suoi colpi ogni volta che il gemello danneggia un nemico.","ローリーが範囲内にいる場合、ローリーが敵にダメージを与えるたびに通常攻撃を<c00cc00><VALUE2></c>％リロードする。","로리가 범위 내에 있으면 적에게 피해를 줄 때마다 탄약이 <c00cc00><VALUE2>%</c> 재장전됩니다.","Apabila Lawrie berada di dalam julat, mengisi semula <c00cc00><VALUE2>%</c> peluru setiap kali dia merosakkan musuh.","Terwijl Lawrie binnen bereik is, herlaad je <c00cc00><VALUE2>%</c> van je munitie wanneer hij een vijand raakt.","Przeładuj <c00cc00><VALUE2>%</c> swojej amunicji, kiedy Lawrie jest w zasięgu i zadaje obrażenia wrogowi.","Enquanto Lawrie estiver dentro do alcance, a munição é recarregada em <c00cc00><VALUE2>%</c> sempre que ele ataca um inimigo.","Когда Лори находится в зоне действия и попадает во врага, Ларри перезаряжает <c00cc00><VALUE2> %</c> боеприпасов.","เมื่อลอว์รีอยู่ในระยะ จะบรรจุกระสุน <c00cc00><VALUE2>%</c> เมื่อใดก็ตามที่เขาสร้างความเสียหายให้กับศัตรูได้","Lawrie menzil içindeyken düşmana her hasar verdiğinde cephanesi <c00cc00>%<VALUE2></c> dolar.","Khi Lawrie ở trong phạm vi thì bạn sẽ nạp lại <c00cc00><VALUE2>%</c> đạn dược mỗi khi cậu ta gây sát thương lên một kẻ địch."
"TID_BP_SKINS_EXCLUSIVITY_INFO","Brawl Pass Skins are exclusive for a year!","مظاهر Brawl Pass حصرية لعام!","乱斗金券皮肤一年内都会是专属皮肤！","亂鬥通行券造型一年內都會是專屬造型！","Brawlpass-Skins sind ein Jahr lang exklusiv!","¡Los aspectos del Brawl Pass son exclusivos durante un año!","Brawl Pass -asuja saa ensimmäisen vuoden vain Brawl Passilla!","Les skins du Pass Brawl sont exclusifs pendant une année !","סקינים של Brawl Pass בלעדיים למשך שנה!","Kostum Brawl Pass akan tersedia eksklusif selama satu tahun!","Le skin del Brawl Pass sono esclusive per un anno!","ブロスタパス限定スキンは1年後に限定が解除されます！","브롤 패스 전용 스킨은 1년이 지나면 한정이 해제됩니다!","Kulit Brawl Pass adalah eksklusif untuk satu tahun!","Brawl Pass-skins zijn een jaar lang exclusief!","Przebrania w ramach Karnetu Zadymiarskiego są ekskluzywne przez rok!","Os visuais do Brawl Pass são exclusivos durante um ano!","Скины Brawl Pass остаются эксклюзивными в течение года!","สกิน Brawl Pass จะมีระยะเวลาเอ็กซ์คลูซีฟหนึ่งปี!","Brawl Pass kostümleri bir yıl boyunca özeldir!","Trang phục Vé Brawl Pass là độc quyền trong năm!"
"TID_VIDEO_ADS_CONSENT","Supercell would like to store and access your device ID, advertising ID, IP address and app interaction data on your device and share it to selected ad partners to optimize, measure and serve you ads that you might be interested in! Supercell will only share the data if you choose to accept and interact with ads within Brawl Stars.\n\nNote that we may still use your device identifiers for analytics, personalize your experience in-app and share your device identifiers for fraud prevention purposes based on legitimate interest.\n\nLearn more here: <PP> and opt out or withdraw consent in game settings.","تود Supercell تخزين معرّف جهازك ومعرّفك الإعلاني وعنوان IP، وبيانات التفاعل مع التطبيق على جهازك، وإمكانية الوصول إلى تلك البيانات ومشاركتها مع شركاء إعلانيين معينين لتقديم إعلانات قد تلائم اهتماماتك وتحسين تلك الإعلانات وتقييمها.لن تشارك Supercell البيانات إلا بعد موافقتك وتفاعلك مع الإعلانات داخل Brawl Stars.\n\nتذكر أننا قد نستمر في استخدام معرّفات جهازك لإجراء التحليلات، وتخصيص تجربتك داخل التطبيق، وقد نشارك معرّفات جهازك لأغراض منع الاحتيال القائمة على مصلحة مشروعة.\n\nاعرف المزيد هنا: <PP> وألغ اشتراكك أو اسحب موافقتك من الإعدادات داخل اللعبة.","Supercell希望存储和访问您的设备标识符、广告标识符、IP地址和应用交互数据，并将其分享给选定的合作伙伴，以评估、优化广告服务，提供您可能感兴趣的广告！只有在您选择接受《荒野乱斗》中的广告并与之互动的情况下，Supercell才会分享数据。\n\n请注意，我们可能仍然会使用您的设备标识符进行分析，为您提供个性化的应用内体验，并根据合法权益共享您的设备标识符，以检测和预防欺诈。\n\n更多信息请访问：<PP>。您可以在游戏设置中退出或撤销同意。","Supercell希望存取您的裝置識別碼、廣告識別碼、IP位址和應用程式交互資料，並將其分享給選定的合作夥伴，以評估、優化廣告服務，提供您可能感興趣的廣告！只有在您選擇接受《荒野亂鬥》中的廣告並與之互動的情況下，Supercell才會分享資料。\n\n請注意，我們可能仍然會使用您的裝置識別碼進行分析，為您提供個人化的應用程式體驗，並根據合法權益共用您的裝置識別碼，以檢測和預防詐欺。\n\n請查看我們的<PP>了解更多資訊，您可以隨時在遊戲設定中退出或撤回同意。","Supercell würde gerne deine Geräte-ID, Werbe-ID, IP-Adresse und App-Interaktionsdaten speichern und darauf zugreifen sowie sie mit ausgewählten Werbepartnern teilen, um dir Werbung zu bieten, an der du Interesse haben könntest, und diese zu analysieren und optimieren. Supercell wird deine Daten nur teilen, wenn du Werbung in Brawl Stars annimmst und damit interagierst.\n\nBitte beachte, dass wir, basierend auf unserem berechtigten Interesse, deine Gerätekennungen nach wie vor zu Analysezwecken und für die Personalisierung deiner In-App-Erfahrung nutzen sowie zwecks Betrugsprävention teilen können.\n\nMehr erfährst du hier: <PP>. In den Spieleinstellungen kannst du diese Optionen anpassen.","Desde Supercell, nos gustaría utilizar y compartir el identificador de tu dispositivo, tu ID de publicidad y tu dirección IP con socios específicos de publicidad para mostrarte anuncios que te interesen de forma optimizada. Supercell solo compartirá estos datos si decides aceptar e interactuar con anuncios en Brawl Stars.\n\nTambién podremos usar los identificadores de tu dispositivo con fines analíticos, para personalizar tu experiencia en el juego y con el objetivo de detectar y prevenir casos de fraude según intereses legítimos.\n\nLee más al respecto en nuestra <PP> y selecciona si quieres retirar el permiso o no desde los ajustes del juego.","Supercell haluaisi tallentaa ja käyttää laitteesi laitetunnistetta, mainostunnusta, IP-osoitetta ja sovellusten vuorovaikutustietoja ja jakaa ne valituille mainoskumppaneille, jotta mainontaa voidaan optimoida ja mitata ja voit saada mainoksia, joista saatat olla kiinnostunut! Supercell jakaa tiedot ainoastaan, jos päätät hyväksyä vuorovaikutuksen mainosten kanssa Brawl Starsissa.\n\nHuomaa, että voimme silti käyttää laitetunnisteitasi analytiikassa, yksilöidä kokemustasi sovelluksen sisällä ja jakaa laitetunnisteitasi petosten estämiseksi oikeutettujen etujen perusteella.\n\nVoit lukea lisää täältä: <PP>. Halutessasi voit peruuttaa suostumuksesi pelin asetuksista.","Supercell souhaite conserver et accéder à vos identifiants d'appareil, de publicité, votre adresse IP et aux données d'interaction avec l'application de votre appareil pour les partager avec des partenaires de confiance et vous montrer des publicités qui vous intéressent ! Supercell ne les partagera que si vous acceptez et interagissez avec les publicités dans Brawl Stars.\n\nNotez que nous pouvons toujours utiliser les identifiants de votre appareil à des fins analytiques ou pour personnaliser votre expérience en jeu, et les partager pour lutter contre la fraude, selon des intérêts légitimes.\n\nPour en savoir plus : <PP>. Modifiez vos préférences dans les réglages du jeu.","Supercell מבקשים לאחסן ולגשת למזהה המכשיר שלך, למזהה הפרסום, לכתובת ה-IP ולנתוני האינטראקציה עם האפליקציה במכשירך ולשתף אותם עם שותפי פרסום נבחרים כדי למטב, למדוד ולהציג לך פרסומות שיתכן שיעניינו אותך! Supercell ישתפו את הנתונים רק אם בחרת להסכים ולבצע אינטראקציה עם פרסומות במסגרת Brawl Stars.\n\nלתשומת ליבך, ייתכן שנשתמש עדיין במזהי מכשירך לביצוע ניתוח, להתאמה אישית של חוויית המשתמש במסגרת האפליקציה, ולשתף את מזהי מכשירך למטרת מניעת הונאה על סמך אינטרס לגיטימי.\n\nניתן לקבל מידע נוסף כאן: <PP> ולבחור שלא להשתתף או להסיר השתתפות בהגדרות המשחק.","Supercell ingin menyimpan dan mengakses ID perangkat, ID pengiklanan, alamat IP, dan data interaksi aplikasi pada perangkat. Informasi ini akan dibagikan ke mitra iklan untuk mengoptimalkan, mengukur, dan menampilkan iklan yang sesuai dengan minat! Supercell hanya akan membagikan data ini jika persetujuan diberikan dan pemain berinteraksi dengan iklan dalam Brawl Stars.\n\nPERLU DIPERHATIKAN: Supercell mungkin akan menggunakan ID perangkat untuk keperluan analitika dan untuk memberikan pengalaman yang lebih personal dalam aplikasi. ID perangkat mungkin juga dapat dibagikan untuk keperluan tujuan pencegahan penipuan yang berdasar pada tujuan yang sah.\n\nPelajari lebih lanjut di sini: <PP>. Persetujuan dapat dibatalkan melalui Setelan dalam game.","Supercell desidera conservare e avere accesso all'ID del dispositivo, all'ID pubblicitario, all'indirizzo IP del dispositivo e ai dati di interazione con le app per condividerli con partner selezionati, al fine di mostrarti annunci personalizzati e di valutarne l'efficacia. Supercell condividerà i dati solo se decidi di accettare e interagire con gli annunci all'interno di Brawl Stars.\n\nPossiamo comunque usare gli identificativi per scopi analitici e per personalizzare la tua esperienza di gioco o condividerli per impedire frodi, in base al legittimo interesse.\n\nPer maggior informazioni, vai qui: <PP>. Entra nelle impostazioni di gioco per la revoca del consenso.","Supercellは、皆さまのデバイスのID、広告ID、IPアドレス、デバイス上のアプリ間連携データの保存およびそれらへのアクセスを行い、提携する広告企業と共有することで、皆さまの興味に合わせた広告を効果的に表示します。Supercellによるデータ共有は、皆さまがブロスタ内の広告表示を許可した場合のみ行われます。\n\nまたSupercellは、分析およびアプリ内体験をパーソナライズする目的でデバイスの固有識別子を使用するとともに、正当な利益に基づき詐欺を防止するため、デバイスの固有識別子を共有することがあります。\n\n詳細はこちらをご確認ください（<PP>）。本設定の変更や同意の撤回をする場合は、ゲーム内の設定画面から行ってください。","슈퍼셀은 플레이어님의 기기에 있는 기기 ID, 광고 ID, IP 주소, 앱 상호 작용 데이터를 저장 및 액세스하고, 이를 선별된 광고 파트너와 공유함으로써 플레이어님이 관심을 가질 만한 광고를 최적화하여 제공하고자 합니다! 슈퍼셀은 플레이어님이 브롤스타즈 내에서 광고를 수락하고 상호작용한 경우에만 데이터를 공유합니다.\n\n또한, 슈퍼셀은 분석을 위해 기기 식별자를 사용하고, 앱 내 경험을 개인화하며, 합법적인 이해관계에 따라 사기 방지 목적으로 디바이스 식별자를 공유할 수 있다는 점을 알려드립니다.\n\n<PP>: 여기에서 자세한 정보를 알아보세요. 원하신다면 게임 설정에서 동의를 거부하거나 철회할 수 있습니다.","Supercell ingin menyimpan dan mengakses ID peranti, ID pengiklanan, alamat IP serta data interasksi aplikasi peranti anda dan berkongsi kepada rakan pengiklanan terpilih untuk mengoptimumkan, menilai dan menyampaikan iklan yang anda mungkin berminat! Supercell hanya akan berkongsi data jika anda memilih untuk menerima dan berinteraksi dengan iklan dalam Brawl Stars.\n\nSila ambil maklum bahawa demi kepentingan sah, kami mungkin menggunakan pengenal pasti peranti anda untuk menganalisis, menyesuaikan pengalaman dalam aplikasi dan berkongsi pengenal pasti peranti untuk mengelakkan penipuan.\n\nMaklumat lanjut di sini: <PP> dan menarik diri atau menarik balik kebenaran di tetapan dalam permainan,","Supercell wil je apparaat-ID, advertentie-ID, IP-adres en app-interactiegegevens op je apparaat bewaren en gebruiken en deze data delen met geselecteerde advertentiepartners om je advertenties te optimaliseren en te meten. Supercell zal de data alleen delen als je ervoor kiest om advertenties in Brawl Stars te accepteren en te gebruiken.\n\nHoud er rekening mee dat we je apparaat-ID's kunnen gebruiken voor analytische doeleinden, je in-app ervaring kunnen personaliseren en je apparaat-ID's kunnen delen voor fraudepreventie gebaseerd op gerechtvaardigd belang.\n\nRaadpleeg voor meer informatie ons <PP>. Je kunt je afmelden of je toestemming intrekken via de spelinstellingen.","Supercell chce przechowywać i uzyskiwać dostęp do ID urządzenia, ID reklamowego, adresu IP i danych dotyczących interakcji z aplikacją na urządzeniu użytkownika i udostępniać je wybranym partnerom reklamowym, aby optymalizować, dokonywać pomiarów i dostarczać użytkownikowi reklamy, które mogą go zainteresować! Supercell będzie udostępniać dane tylko, jeśli użytkownik wyrazi zgodę i wejdzie w interakcję z reklamami w Brawl Stars.\n\nUwaga: wciąż możemy wykorzystywać identyfikatory urządzeń użytkownika do analityki, personalizacji jego doświadczenia w aplikacji oraz zapobiegania oszustwom na podstawie uzasadnionych interesów.\n\nWięcej informacji można znaleźć tutaj: <PP>. Użytkownik może zrezygnować z udostępniania danych lub wycofać zgodę w ustawieniach gry.","A Supercell gostaria de armazenar e acessar o ID do seu dispositivo, o ID de publicidade, o endereço de IP e os dados de interação do aplicativo no seu dispositivo e compartilhá-los com parceiros de anúncios selecionados para otimizar, medir e disponibilizar anúncios do seu interesse. A Supercell só compartilhará os dados se você optar por aceitar e interagir com anúncios no Brawl Stars.\n\nObserve que ainda poderemos usar os identificadores do seu dispositivo para análises, personalizar sua experiência no aplicativo e compartilhar os identificadores do seu dispositivo para fins de prevenção de fraudes com base em interesses legítimos.\n\nSaiba mais aqui: <PP> e desative ou retire o consentimento nas configurações do jogo.","Supercell хочет сохранить ваши идентификатор устройства, рекламный идентификатор, IP-адрес и данные о взаимодействии с приложением и передавать их доверенным партнерам для оптимизации, учёта и показа рекламы, которая может быть вам интересна! Supercell будет передавать данные только с вашего согласия и при взаимодействии с рекламой в Brawl Stars.\nВнимание: мы по-прежнему можем использовать данные вашего устройства для аналитики и персонализации контента в игре и передавать их для предупреждения мошенничества на основании наших законных интересов.\nБолее подробная информация содержится здесь: <PP>. Вы можете отказаться или отозвать согласие в настройках игры.","Supercell ต้องการเก็บข้อมูลและเข้าถึงรหัสอุปกรณ์ รหัสโฆษณา เลขที่อยู่ไอพี และข้อมูลการใช้แอปบนอุปกรณ์ของคุณและแบ่งปันข้อมูลกับคู่ค้าที่เลือกเพื่อปรับและแสดงโฆษณาที่เหมาะสมกับความสนใจของคุณ! Supercell จะแบ่งปันเฉพาะข้อมูลดังกล่าวหากคุณเลือกที่จะยอมรับและมีปฏิสัมพันธ์กับโฆษณาใน Brawl Stars\n\nโปรดทราบว่าเราอาจใช้ตัวระบุอุปกรณ์ของคุณเพื่อการวิเคราะห์และปรับประสบการณ์ภายในแอป รวมทั้งแบ่งปันตัวระบุอุปกรณ์ของคุณโดยมีจุดประสงค์ในการป้องกันการฉ้อโกงตามประโยชน์อันชอบธรรม\n\nอ่านเพิ่มเติมได้ที่นี่: <PP> และเลือกไม่ใช้หรือเพิกถอนความยินยอมในการตั้งค่าเกมได้","Supercell; cihaz kimliğinizi, reklam kimliğinizi ve cihazınızın IP adresi ile uygulama etkileşim verilerini saklayıp bunlara erişmek ve bu verileri size optimize edilmiş, ilgi çekici reklamlar sunacak seçili reklam ortaklarımızla paylaşmak istiyor. Supercell, verileri yalnızca izin verdiğinizde ve Brawl Stars’daki reklamlarla etkileşimde bulunursanız paylaşır.\n\nAncak cihaz tanımlayıcılarınızı analizler ve uygulama içi deneyiminizi kişiselleştirmek için kullanabileceğimizi ve meşru menfaatlere dayalı olarak dolandırıcılık önleme amacıyla paylaşabileceğimizi hatırlatmak isteriz.\n\nDaha fazla bilgi için bkz.<PP>. Oyun ayarlarından izninizi iptal edebilir veya geri çekebilirsiniz.","Supercell muốn lưu trữ và truy cập ID thiết bị, ID quảng cáo, địa chỉ IP và dữ liệu tương tác ứng dụng trên thiết bị của bạn, đồng thời, chúng tôi sẽ chia sẻ những dữ liệu này với các đối tác quảng cáo được chọn để tối ưu hóa, đo lường và phân phát quảng cáo có thể bạn quan tâm! Supercell chỉ chia sẻ những dữ liệu này nếu bạn chọn chấp nhận và tương tác với quảng cáo trong Brawl Stars.\n\nLưu ý: chúng tôi vẫn có thể sử dụng số nhận dạng thiết bị của bạn cho mục đích phân tích, cá nhân hóa trải nghiệm trong ứng dụng và ngăn chặn gian lận dựa trên quyền lợi hợp pháp.\n\nTìm hiểu thêm tại <PP> và từ chối hoặc rút lại sự đồng ý từ mục cài đặt trong trò chơi."
"TID_LARRY_&_LAWRIE_CONTROLLERS_SKIN","LARRY & LAWRIE\nCONTROLLERS","لاري ولوري\nوحدتا التحكم","游戏手柄拉里和劳里","電玩搖桿","CONTROLLER\nLARRY & LAWRIE","LARRY Y LAWRIE\nCONTROLADORES","LARRY & LAWRIE\n-TARKASTAJAT","LARRY & LAWRIE\nCONTRÔLEURS","לארי ולורי\nצוות בקרה","LARRY & LAWRIE\nJOYSTICK","LARRY E LAWRIE\nSORVEGLIANTI","コントローラー ラリー＆ローリー","래리 & 로리\n컨트롤러","LARRY & LAWRIE\nPENGAWAL","LARRY & LAWRIE\nCONTROLEURS","LARRY I LAWRIE\nKONTROLERZY","LARRY E LAWRIE\nCONTROLADORES","ЛАРРИ И ЛОРИ\nКОНТРОЛЬ","คอนโทรลเลอร์\nแลร์รี & ลอว์รี","LARRY ile LAWRIE\nKUMANDALARI","LARRY & LAWRIE\nNGƯỜI KIỂM SOÁT"
