TID,EN,AR,CN,CNT,DE,ES,FI,FR,HE,ID,IT,JP,KR,MS,NL,PL,PT,RU,TH,TR,VI
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,"Unlock Brawl Pass rewards, extra Quests and <NUM> Quest rerolls per week",افتح مكافآت Brawl Pass، ومهامًا إضافية، و<NUM> من تبديلات المهام كل أسبوع,解锁乱斗金券奖励、额外任务，还有每周<NUM>次任务刷新机会。,解鎖亂鬥通行券獎勵、額外任務，還有每週<NUM>次刷新任務機會,"Schalte Brawlpass-Belohnungen, zusätzliche Quests und <NUM> Quest-Neuauswahlen pro Woche frei.","Desbloquea recompensas del Brawl Pass, misiones extras y <NUM> cambios de misiones extras por semana.","Avaa Brawl Pass -palkintoja, lisätehtäviä ja <NUM> tehtävän vaihtoa viikossa","Débloquez des récompenses, des quêtes bonus et <NUM> relances en plus par semaine !","ניתן לפתוח פרסי Brawl Pass, קווסטים נוספים ו-<NUM> הפעלות מחדש של קווסטים לשבוע","Buka hadiah Brawl Pass, Tugas ekstra, dan <NUM> Acak Ulang Tugas per minggu","Sblocca i premi del Brawl Pass, le missioni aggiuntive e la possibilità di cambiare <NUM> missioni a settimana.",ブロスタパス報酬や追加クエストをアンロックできるほか、クエストを1週間に追加で<NUM>回入れ替えることが可能になります,"전용 보상과 추가 퀘스트, 그리고 매주 <NUM>번의 추가 리롤 기회 획득","Buka ganjaran Brawl Pass, misi tambahan dan <NUM> rawak semula misi setiap minggu.","Ontgrendel Brawl Pass-beloningen, extra opdrachten en <NUM> opdrachtwissels per week.","Odblokuj nagrody Karnetu Zadymiarskiego, dodatkowe misje i <NUM> odświeżenia misji na tydzień","Ganhe prêmios do Brawl Pass, missões extras e <NUM> trocas de missões por semana!","Открой награды Brawl Pass, дополнительные квесты и дополнительные обновления квестов (<NUM> в неделю).",ปลดล็อครางวัล Brawl Pass เควสต์เพิ่มเติม<NUM>และเปลี่ยนเควสต์เพิ่มเติมได้อีก 2 ครั้งต่อสัปดาห์,"Brawl Pass ödülleri, ekstra görevler ve haftada <NUM> görev değiştirme hakkı","Mở khóa phần thưởng Vé Brawl Pass, có thêm Nhiệm vụ và <NUM> lượt thay đổi Nhiệm vụ mỗi tuần."
TID_TEAM_ERROR_17,Cannot start game. Duplicate Brawlers are not allowed.,تعذر بدء المواجهة. غير مسموح بتكرار الأبطال في الفريق.,无法开始游戏，不允许使用相同的英雄。,無法開始遊戲，不允許使用相同的英雄。,Spiel kann nicht gestartet werden. Doppelte Brawler sind nicht erlaubt.,No se puede empezar la partida porque no están permitidos los brawlers duplicados.,Peliä ei voi aloittaa. Tuplarämäpäitä ei sallita.,La partie ne peut pas démarrer. Les doublons de brawlers ne sont pas autorisés.,לא ניתן להתחיל משחק. בראולרים כפולים אסורים.,Tidak dapat memulai laga. Tidak diperkenankan ada Jagoan yang sama.,Impossibile iniziare la partita con due brawler uguali.,ゲームを開始できません。\n同じキャラクターは使えません。,게임 시작 실패: 브롤러를 중복으로 사용할 수 없습니다.,Tidak dapat memulakan permainan. Brawler sama tidak dibenarkan.,Kan gevecht niet beginnen. Dezelfde knokkers zijn niet toegestaan.,Nie można rozpocząć gry. Identyczni Zadymiarze nie mogą ze sobą walczyć.,Brawlers repetidos não são permitidos. Impossível iniciar a partida.,Невозможно начать игру. Использование одинаковых бойцов не допускается.,ไม่สามารถเริ่มเกมได้ ไม่อนุญาตให้ใช้บรอว์เลอร์ที่ซ้ำกัน,Oyun başlatılamıyor. Aynı savaşçıdan birden fazla olamaz.,Không thể bắt đầu trận đấu. Không được có Chiến binh Brawl trùng lặp.
TID_HERO_INFO_STAR_POWER_BLOCKED,Power up <HERONAME> with a special Star Power! Available to purchase after reaching POWER <LEVEL>.,سلّح <HERONAME> بقدرة خاصة متميزة. متاحة للشراء بعد بلوغ القوة <LEVEL>.,配置星徽之力，让<HERONAME>变得更强大！英雄战力等级达到<LEVEL>级后可购买星徽之力。,使用能力之星，讓<HERONAME>變得更強大！戰力等級達到<LEVEL>級後可購買能力之星。,"Verpasse <HERONAME> eine besondere Starpower! Zum Kauf verfügbar, nachdem du POWER <LEVEL> erreicht hast.",¡Potencia a <HERONAME> con una habilidad estelar única! Puede adquirirse una vez se alcanza el nivel de fuerza <LEVEL>.,"Hanki nyt erityinen tähtivoima, jolla <HERONAME> saa lisätehoa! Ostettavissa tehotasolta <LEVEL> alkaen.",Donnez un pouvoir star spécial à <HERONAME> ! Disponible à l'achat après avoir atteint le niveau <LEVEL> de pouvoir.,זה הזמן לחזק את <HERONAME> בכוח כוכב מיוחד! זמין לרכישה אחרי שמגיעים לרמת כוח <LEVEL>.,Perkuat <HERONAME> dengan Kekuatan Bintang spesial! Tersedia untuk dibeli setelah mencapai LEVEL <LEVEL>.,"Potenzia <HERONAME> con un'abilità stellare, disponibile per l'acquisto dopo che il brawler ha raggiunto il LIVELLO <LEVEL>.",<HERONAME>を特別なスターパワーでパワーアップ！パワーレベル<LEVEL>に到達すると購入可能になります。,<HERONAME>의 특별한 스타 파워를 사용해 파워업! 파워 레벨 <LEVEL> 달성 후 구매 가능!,Menguatkan <HERONAME> dengan kuasa bintang khas! Boleh dibeli selepas mencapai KUASA <LEVEL>.,Versterk <HERONAME> met een speciale sterrenkracht! Verkrijgbaar nadat je KRACHTLEVEL <LEVEL> bereikt.,Wyposaż Zadymiarza <HERONAME> w specjalną gwiezdną moc! Dostępna do zakupu po osiągnięciu <LEVEL>. poziomu MOCY.,Aprimore <HERONAME> com um poder de estrela! Disponível após alcançar nível de poder <LEVEL>.,<HERONAME>: усиль этого бойца с помощью особой звёздной силы! Можно приобрести после достижения <LEVEL>-го уровня СИЛЫ.,เพิ่มพลังให้กับ <HERONAME> ด้วยพลังดวงดาวพิเศษ! มีให้ซื้อหลังไปถึงเลเวลพลัง <LEVEL>,"<HERONAME>, özel yıldız gücüyle güçlendirilebilir! <LEVEL>. SEVİYEYE ulaştıktan sonra satın alınabilir.",Cường hóa cho <HERONAME> bằng một Sức mạnh Sao đặc biệt! Có thể mua sau khi đạt CẤP SỨC MẠNH <LEVEL>.
TID_HERO_INFO_ACCESSORIES_BLOCKED,Power up <HERONAME> with a unique Gadget! Available to purchase after reaching POWER <LEVEL>.,سلّح <HERONAME> بجهاز فريد. متاح للشراء بعد بلوغ القوة <LEVEL>.,配置随身妙具，让<HERONAME>变得更强大！英雄战力等级达到<LEVEL>级后可购买随身妙具。,使用武裝配件，讓<HERONAME>變得更強！英雄戰力等級達到<LEVEL>級後可購買武裝配件。,"Verpasse <HERONAME> ein besonderes Gadget! Zum Kauf verfügbar, nachdem du POWER <LEVEL> erreicht hast.",¡Potencia a <HERONAME> con un gadget único! Puede adquirirse una vez se alcanza el nivel de fuerza <LEVEL>.,"Hanki nyt ainutlaatuinen varuste, jolla <HERONAME> saa lisätehoa! Ostettavissa tehotasolta <LEVEL> alkaen.",Donnez un gadget unique à <HERONAME> ! Disponible à l'achat après avoir atteint le niveau <LEVEL> de pouvoir.,זה הזמן לחזק את <HERONAME> בגאדג‘ט מיוחד! זמין לרכישה אחרי שמגיעים לרמת כוח <LEVEL>.,Perkuat <HERONAME> dengan Gadget unik! Tersedia untuk dibeli setelah mencapai LEVEL <LEVEL>.,"Potenzia <HERONAME> con un gadget unico, disponibile per l'acquisto dopo che il brawler ha raggiunto il LIVELLO <LEVEL>.",<HERONAME>を専用ガジェットでパワーアップ！パワーレベル<LEVEL>に到達すると購入可能になります。,<HERONAME>의 특별한 가젯을 사용해 파워업! 파워 레벨 <LEVEL> 달성 후 구매 가능!,Menguatkan <HERONAME> dengan alat khas! Boleh dibeli selepas mencapai KUASA <LEVEL>.,Versterk <HERONAME> met een unieke gadget! Verkrijgbaar nadat je KRACHTLEVEL <LEVEL> bereikt.,Wyposaż Zadymiarza <HERONAME> w wyjątkowy gadżet! Dostępny do zakupu po osiągnięciu <LEVEL>. poziomu MOCY.,Aprimore <HERONAME> com um acessório exclusivo! Disponível após alcançar nível de poder <LEVEL>.,<HERONAME>: усиль этого бойца с помощью уникального гаджета! Можно приобрести после достижения <LEVEL>-го уровня СИЛЫ.,เพิ่มพลังให้กับ <HERONAME> ด้วยอุปกรณ์เสริมที่ไม่ซ้ำใคร มีให้ซื้อหลังไปถึงเลเวลพลัง <LEVEL>,"<HERONAME>, özel aksesuar ile güçlendirilebilir! <LEVEL>. SEVİYEYE ulaştıktan sonra satın alınabilir.",Cường hóa cho <HERONAME> bằng một Phụ kiện độc đáo! Có thể mua sau khi đạt CẤP SỨC MẠNH <LEVEL>.
TID_HERO_INFO_DYNAMIC_RARITY_INFO_TEASER,"The chance to get a CHROMATIC Brawler increases with each Brawl Pass Season. Chances start at LEGENDARY, then increases to MYTHIC and finally becomes EPIC.\n\n<BRAWLER> arrives in Season <SEASON>.",ترتفع فرص الحصول على بطل متلوّن مع حلول كل موسم من مواسم Brawl Pass (بدءًا بفرصة ندرة أسطوري، ثم خرافي، وأخيرًا استثنائي).\n\n<BRAWLER>: الإصدار في الموسم <SEASON>.,获得流彩英雄的概率会随着乱斗主题季更替而增加，开始时与传奇英雄概率一致，然后会提高至神话英雄概率，最后将与史诗英雄的概率一致。\n\n<BRAWLER>将随主题季第<SEASON>季一同上线。,獲得星虹英雄的機率會隨著亂鬥主題季更替而增加，開始時與傳奇英雄機率一致，然後會提高至神話英雄機率，最後將與史詩英雄的機率一致。\n\n<BRAWLER>將隨主題季第<SEASON>季一同上線。,"Die Chancen auf einen CHROMATISCHEN Brawler steigen mit jeder Brawlpass-Saison. Zu Beginn entsprechen sie den Chancen auf einen LEGENDÄREN, dann den Chancen auf einen MYTHISCHEN und zum Schluss den Chancen auf einen EPISCHEN Brawler.\n\n<BRAWLER> ist in Saison <SEASON> verfügbar.","La probabilidad de obtener un brawler cromático aumenta en cada temporada del Brawl Pass; empezará siendo legendaria, luego pasará a mítica y, por último, a épica.\n\n<BRAWLER> llega en la temporada <SEASON>.","Mahdollisuutesi saada kromaattinen rämäpää kasvaa jokaisella Brawl Pass -kaudella: aluksi rämäpää on legendaarinen, sen jälkeen myyttinen ja lopulta eeppinen, joten todennäköisyys sen saamiseen on aina suurempi.\n\n<BRAWLER> saapuu kaudella <SEASON>.","Vos chances d'obtenir un brawler chromatique augmentent à chaque saison de Pass Brawl. Elles commencent d'abord à un niveau de chance légendaire, puis passent à mythique, pour enfin terminer sur épique.\n\n<BRAWLER> fera son entrée lors de la saison <SEASON>.","הסיכוי לקבל בראולר כרומטי עולה עם כל עונה של Brawl Pass. הסיכויים מתחילים באגדי, מתקדמים למדהים ובסוף מגיעים לדרגת אדיר.\n\nבראולר <BRAWLER> מגיע בעונה <SEASON>.","Peluang mendapatkan Jagoan KROMATIK akan meningkat di tiap Musim Brawl Pass. Kelangkaan Jagoan akan dimulai dengan LEGENDARIS, lalu menjadi MISTIS, hingga akhirnya menjadi EPIK.\n\n<BRAWLER> akan hadir di Musim <SEASON>.","Le probabilità di ottenere un brawler CROMATICO aumentano con ogni nuova stagione del Brawl Pass. Inizialmente, la sua rarità sarà LEGGENDARIA, per poi diventare MITICA e infine EPICA.\n\n<BRAWLER> arriverà nella stagione <SEASON>.",クロマティックキャラクターの獲得確率は、ブロスタパスシーズンを重ねる度に上昇します。最初はレジェンドレアと同じ獲得確率ですが、次はウルトラレア、そして最終的にハイパーレアと同じ確率まで上昇します。\n\n<BRAWLER>はシーズン<SEASON>で登場します。,"크로마틱 브롤러의 획득 확률은 브롤 패스 시즌이 끝날 때마다 증가합니다. 처음에는 전설 브롤러와 동일하며, 신화 브롤러를 거쳐 최종적으로 영웅 브롤러 획득 확률까지 증가합니다.\n\n해당 브롤러(<BRAWLER>)는 시즌 <SEASON>에 공개됩니다!","Peluang untuk mendapat Brawler KROMATIK meningkat dengan setiap Musim Brawl Pass. Peluang bermula dari LEGENDA, kemudian meningkat ke MITOS dan akhirnya EPIK.\n\n<BRAWLER> tiba di Musim <SEASON>.","Chromatische knokkers kunnen verschillende zeldzaamheden aannemen, gaande van legendarisch, naar mythisch en uiteindelijk episch. De kans om ze te ontgrendelen neemt met elk Brawl Pass-seizoen toe.\n\n<BRAWLER> kan ontgrendeld worden in seizoen <SEASON>.","Szanse na otrzymanie Zadymiarza CHROMATYCZNEGO rosną z każdym sezonem Karnetu Zadymiarskiego. Poziom szansy rozpoczyna się od LEGENDARNEGO, następnie wzrasta do MITYCZNEGO, aby ostatecznie dojść do EPICKIEGO.\n\n<BRAWLER> pojawi się w sezonie <SEASON>.","A probabilidade de ganhar um Brawler CROMÁTICO aumenta a cada temporada do Brawl Pass e começa com a categoria LENDÁRIA, passa à MÍTICA e finalmente chega à ÉPICA.\n\n<BRAWLER> chega na temporada <SEASON>.","Шансы получить ХРОМАТИЧЕСКОГО бойца растут с каждым сезоном Brawl Pass. Сначала редкость бойца соответствует ЛЕГЕНДАРНОЙ, потом МИФИЧЕСКОЙ и, наконец, ЭПИЧЕСКОЙ.\n\n<BRAWLER> появится в <SEASON>-м сезоне.",โอกาสที่จะได้รับบรอว์เลอร์ระดับโครมาติกจะเพิ่มขึ้นใน Brawl Pass ทุกฤดูกาล โอกาสจะเริ่มจากระดับเลเจนดารีขึ้นไปเป็นระดับมีธิค และกลายเป็นระดับอีปิคในที่สุด\n\n<BRAWLER> จะมาในฤดูกาล <SEASON>,"KROMATİK savaşçı kazanma şansı her Brawl Pass sezonuyla birlikte daha da artıyor! Kromatik savaşçıların enderlik seviyeleri önce EFSANEVİ, sonra GİZEMLİ, en son DESTANSI oluyor.\n\n<BRAWLER>, <SEASON>. sezonda geliyor.",Cơ hội sở hữu Chiến binh Brawl SẮC MÀU tăng lên theo mỗi Mùa giải Vé Brawl Pass. Xác suất nhận được sẽ bắt đầu từ HUYỀN THOẠI rồi sau đó tăng lên THẦN THOẠI và cuối cùng là QUÝ HIẾM.\n\n<BRAWLER> sẽ xuất hiện vào Mùa giải <SEASON>.
TID_HERO_INFO_BUY_MISSING1,YOU NEED <MISSINGCOINS> MORE COINS,تحتاج إلى <MISSINGCOINS> من النقود الإضافية,还需要<MISSINGCOINS>金币,還需要<MISSINGCOINS>金幣,DU BRAUCHST NOCH <MISSINGCOINS> MÜNZEN,NECESITAS <MISSINGCOINS> MONEDAS MÁS.,TARVITSET VIELÄ <MISSINGCOINS> KOLIKKOA,IL VOUS FAUT <MISSINGCOINS> PIÈCES,צריך עוד <MISSINGCOINS> כוכבים,KAMU PERLU <MISSINGCOINS> KOIN LAGI,MONETE MANCANTI: <MISSINGCOINS>,コインが<MISSINGCOINS>枚足りません,코인이 <MISSINGCOINS>개 더 필요합니다!,ANDA PERLUKAN <MISSINGCOINS> SYILING LAGI,JE HEBT NOG <MISSINGCOINS> MUNTEN NODIG!,POTRZEBUJESZ WIĘCEJ MONET (<MISSINGCOINS>),VOCÊ PRECISA DE MAIS <MISSINGCOINS> MOEDAS!,НУЖНО БОЛЬШЕ МОНЕТ (<MISSINGCOINS>),คุณต้องหาเหรียญเพิ่มอีก <MISSINGCOINS> เหรียญ,<MISSINGCOINS> ALTINA DAHA İHTİYACIN VAR,BẠN CẦN CÓ THÊM <MISSINGCOINS> XU.
TID_HERO_INFO_BUY_MISSING2,Get missing Coins now?,أتريد شراء النقود التي تنقصك الآن؟,立即获取缺少的金币？,立即獲取不足的金幣？,Fehlende Münzen jetzt kaufen?,¿Quieres conseguir las monedas que faltan?,Hankitaanko puuttuvat kolikot?,Acheter les pièces ?,רוצה לקנות את המטבעות החסרים עכשיו?,Beli Koin yang kurang sekarang?,Vuoi comprare le monete mancanti ora?,不足分のコインを購入しますか？,부족한 코인을 구매할까요?,Beli syiling yang tiada sekarang?,Wil je de ontbrekende munten nu kopen?,Kupić brakujące monety teraz?,Comprar o restante das moedas?,Купить недостающие монеты?,ซื้อเหรียญที่ขาดไปหรือไม่?,Eksik altını şimdi almak istiyor musun?,Mua ngay số Xu còn thiếu?
TID_HERO_INFO_BUY_MISSING_GEMS1,YOU NEED <MISSINGCOINS> MORE COINS,تحتاج إلى <MISSINGCOINS> من النقود الإضافية,还需要<MISSINGCOINS>金币,還需要<MISSINGCOINS>金幣,DU BRAUCHST NOCH <MISSINGCOINS> MÜNZEN,NECESITAS <MISSINGCOINS> MONEDAS MÁS.,TARVITSET VIELÄ <MISSINGCOINS> KOLIKKOA,IL VOUS FAUT <MISSINGCOINS> PIÈCES,צריך עוד <MISSINGCOINS> כוכבים,KAMU PERLU <MISSINGCOINS> KOIN LAGI,MONETE MANCANTI: <MISSINGCOINS>,コインが<MISSINGCOINS>枚足りません,코인이 <MISSINGCOINS>개 더 필요합니다!,ANDA PERLUKAN <MISSINGCOINS> SYILING LAGI,JE HEBT NOG <MISSINGCOINS> MUNTEN NODIG!,POTRZEBUJESZ WIĘCEJ MONET (<MISSINGCOINS>),VOCÊ PRECISA DE MAIS <MISSINGCOINS> MOEDAS!,НУЖНО БОЛЬШЕ МОНЕТ (<MISSINGCOINS>),คุณต้องหาเหรียญเพิ่มอีก <MISSINGCOINS> เหรียญ,<MISSINGCOINS> ALTINA DAHA İHTİYACIN VAR,BẠN CẦN CÓ THÊM <MISSINGCOINS> XU.
TID_HERO_INFO_BUY_MISSING_GEMS2,Get <MISSINGGEMS> more Gems to buy missing Coins,احصل على <MISSINGGEMS> من الجواهر الإضافية لشراء النقود الناقصة,再获取<MISSINGGEMS>宝石以购买缺少的金币,再獲取<MISSINGGEMS>寶石，即可購買不足的金幣,"Hol dir <MISSINGGEMS> weitere Diamanten, um die fehlenden Münzen zu kaufen.",Consigue <MISSINGGEMS> gemas más para adquirir las monedas que te faltan.,"Hanki vielä <MISSINGGEMS> jalokiveä, niin voit ostaa puuttuvat kolikot.",Obtenez <MISSINGGEMS> gemmes pour acheter les pièces,צריך להשיג עוד <MISSINGGEMS> יהלומים כדי לקנות מטבעות חסרים,Dapatkan <MISSINGGEMS> Permata lagi untuk membeli Koin yang kurang,Hai bisogno di <MISSINGGEMS> gemma/e in più per comprare le monete mancanti.,不足分のコインを購入するには、あと<MISSINGGEMS>エメラルドが必要です,부족한 코인 구매를 위해 필요한 보석 <MISSINGGEMS>개를 구매하세요.,Dapatkan <MISSINGGEMS> permata lagi untuk beli syiling yang tiada,Bemachtig nog <MISSINGGEMS> edelstenen om de ontbrekende munten te kopen.,"Zdobądź jeszcze <MISSINGGEMS> szt. klejnotów, aby kupić brakujące monety",Obtenha mais <MISSINGGEMS> gemas para comprar o restante de moedas.,"Купить кристаллы (<MISSINGGEMS>), чтобы приобрести недостающие монеты",ซื้ออัญมณีเพิ่มอีก <MISSINGGEMS> เม็ดเพื่อซื้อเหรียญที่ขาดไป,Eksik altınlarını satın almak için <MISSINGGEMS> elmas daha al,Kiếm thêm <MISSINGGEMS> Ngọc để mua số Xu còn thiếu.
