"Name","Disabled","IconSWF","IconExportName","TID","CanBeBought","RepresentingHighlightEmote"
"string","boolean","string","string","string","boolean","string"
"RosalloweenChallenge",,"sc/ui.sc","pin_pack_rosalloween","TID_EMOTE_BUNDLE_ROSALLOWEEN","false",
"WorldFinals",,"sc/ui.sc","pin_pack_wf","TID_EMOTE_BUNDLE_WF","true",
"Rosalloween",,"sc/ui.sc","pin_pack_rosalloween","TID_EMOTE_BUNDLE_ROSALLOWEEN","false",
"BrawlMasPack",,"sc/ui.sc","pin_pack_rosalloween","TID_EMOTE_BUNDLE_BRALWMAS_PACK","true",
"BrawlMasGift",,"sc/ui.sc","pin_pack_rosalloween","TID_EMOTE_BUNDLE_BRALWMAS_GIFT","true",
"LunarBrawl21",,"sc/ui.sc","pin_pack_lunarbrawl21","TID_EMOTE_BUNDLE_LUNARBRAWL21_GIFT","true",
"Retropolis",,"sc/ui.sc","pin_pack_retro","TID_EMOTE_BUNDLE_RETRO_PACK","false",
"Brawloween",,"sc/ui.sc","pin_pack_brawloween","TID_EMOTE_BUNDLE_BRAWLOWEEN_PACK","false",
"Brawlidays",,"sc/ui.sc","pin_pack_brawlidays","TID_EMOTE_BUNDLE_BRAWLIDAYS_PACK","TRUE",
"Brawlentines",,"sc/ui.sc","pin_pack_stvalentines","TID_EMOTE_BUNDLE_BRAWLENTINES_PACK","false",
"Lny22",,"sc/ui.sc","pin_pack_LNY22","TID_EMOTE_BUNDLE_LNY22_PACK","false",
"LoginCalendarDarryl1",,"sc/ui.sc",,"TID_LOGIN_CALENDAR_REWARD_PIN_X2","false",
"LoginCalendarDarryl2",,"sc/ui.sc",,"TID_LOGIN_CALENDAR_REWARD_PIN_X2","false",
"LoginCalendarPenny1",,"sc/ui.sc",,"TID_LOGIN_CALENDAR_REWARD_PIN_X2","false",
"LoginCalendarPenny2",,"sc/ui.sc",,"TID_LOGIN_CALENDAR_REWARD_PIN_X2","false",
"Biodome",,"sc/ui.sc","pin_pack_biodome","TID_EMOTE_BUNDLE_BIODOME_PACK","false",
"Stuntshow",,"sc/ui.sc","pin_pack_stuntshow","TID_EMOTE_BUNDLE_STUNTSHOW_PACK","false",
"Goldenweek",,"sc/ui.sc","pin_pack_goldenweek","TID_EMOTE_BUNDLE_GOLDENWEEK_PACK","false",
"Villains",,"sc/ui.sc","pin_pack_villains","TID_EMOTE_BUNDLE_VILLAINS_PACK","false",
"Deepsea",,"sc/ui.sc","pin_pack_deepsea","TID_EMOTE_BUNDLE_DEEPSEA_PACK","false",
"Mortis_mecha",,"sc/ui.sc","pin_pack_mortis_mecha","TID_EMOTE_BUNDLE_MORTIS_MECHA_PACK","true","emoji_mortis_mecha"
"Eve_cactus",,"sc/ui.sc","pin_pack_eve_cactus","TID_SHOP_OFFER_TITLE_21","true","emoji_eve_cactus"
"Janet_valkyrie",,"sc/ui.sc","pin_pack_janet_valkyrie","TID_SHOP_OFFER_TITLE_21","true","emoji_janet_valkyrie"
"Otto_pharaoh",,"sc/ui.sc","pin_pack_otto_pharaoh","TID_SHOP_OFFER_TITLE_PHARAOTIS_PACK","true","emoji_otto_pharaoh"
"Crow_phoenix",,"sc/ui.sc","pin_pack_crow_phoenix","TID_EMOTE_BUNDLE_CROW_PHOENIX_PACK","true","emoji_crow_phoenix"
"Edgar_mecha",,"sc/ui.sc","pin_pack_edgar_mecha","TID_EMOTE_BUNDLE_EDGAR_MECHA_PACK","true","emoji_edgar_mecha"
"Stu_university",,"sc/ui.sc","pin_pack_stu_university","TID_EMOTE_BUNDLE_STU_UNIVERSITY_PACK","true","emoji_stu_university"
"Bronson_caesar",,"sc/ui.sc","pin_pack_bronson_caesar","TID_EMOTE_BUNDLE_BRONSON_CAESAR_PACK","true","emoji_bronson_caesar"
"Dynamike_robot",,"sc/ui.sc","pin_pack_dynamike_robot","TID_EMOTE_BUNDLE_DYNAMIKE_ROBOT_PACK","true","emoji_dynamike_robot"
"Pam_evilqueen",,"sc/ui.sc","pin_pack_pam_evilqueen","TID_EMOTE_BUNDLE_PAM_EVILQUEEN_PACK","true","emoji_pam_evilqueen"
"Nita_circus",,"sc/ui.sc","pin_pack_nita_circus","TID_EMOTE_BUNDLE_NITA_CIRCUS_PACK","true","emoji_nita_circus"
"Buster_chainsaw",,"sc/ui.sc","pin_pack_buster_chainsaw","TID_EMOTE_BUNDLE_BUSTER_CHAINSAW_PACK","true","emoji_cameron_chainsaw"
"Mandy_lava",,"sc/ui.sc","pin_pack_mandy_lava","TID_EMOTE_BUNDLE_MANDY_LAVA_PACK","true","emoji_mandy_lava"
