"Name","Type","Index","ProgressStart","Progress","Season","PrimaryRewardType","PrimaryRewardCount","PrimaryRewardExtraData","PrimaryRewardData","SecondaryRewardType","SecondaryRewardCount","SecondaryRewardExtraData","SecondaryRewardData"
"string","int","int","int","int","int","string","int","int","string","string","int","int","string"
"Premium_1_0",1,0,-1,1,1,"PROGRESSION_SKIN_LEVEL_UP",1,,"GunSlinger2025RankedProgrsesionSkinLevel1",,,,
"Premium_1_1",1,1,0,200,1,1,10000,,,,,,
"Premium_1_2",1,2,200,200,1,16,10,,,,,,
"Premium_1_3",1,3,400,200,1,16,5,,,,,,
"Premium_1_4",1,4,600,200,1,16,10,,,,,,
"Premium_1_5",1,5,800,200,1,19,1,,"emoji_bling_star",1,10,,
"Premium_1_6",1,6,1000,200,1,16,10,,,,,,
"Premium_1_7",1,7,1200,200,1,16,5,,,,,,
"Premium_1_8",1,8,1400,200,1,16,10,,,,,,
"Premium_1_9",1,9,1600,200,1,16,5,,,,,,
"Premium_1_10",1,10,1800,200,1,"PROGRESSION_SKIN_LEVEL_UP",1,,"GunSlinger2025RankedProgrsesionSkinLevel1",,,,
"Premium_1_11",1,11,2000,200,1,16,5,,,,,,
"Premium_1_12",1,12,2200,200,1,16,10,,,,,,
"Premium_1_13",1,13,2400,200,1,16,5,,,,,,
"Premium_1_14",1,14,2600,200,1,16,10,,,,,,
"Premium_1_15",1,15,2800,200,1,35,1,,"spray_propass_gas",1,10,,
"Premium_1_16",1,16,3000,200,1,16,10,,,,,,
"Premium_1_17",1,17,3200,200,1,16,5,,,,,,
"Premium_1_18",1,18,3400,200,1,16,10,,,,,,
"Premium_1_19",1,19,3600,200,1,16,5,,,,,,
"Premium_1_20",1,20,3800,200,1,19,1,,"emoji_champie_cake",1,10,,
"Premium_1_21",1,21,4000,200,1,16,5,,,,,,
"Premium_1_22",1,22,4200,200,1,16,10,,,,,,
"Premium_1_23",1,23,4400,200,1,16,5,,,,,,
"Premium_1_24",1,24,4600,200,1,16,10,,,,,,
"Premium_1_25",1,25,4800,200,1,25,1,,"player_icon_blingstar",1,10,,
"Premium_1_26",1,26,5000,200,1,16,10,,,,,,
"Premium_1_27",1,27,5200,200,1,16,5,,,,,,
"Premium_1_28",1,28,5400,200,1,16,10,,,,,,
"Premium_1_29",1,29,5600,200,1,16,5,,,,,,
"Premium_1_30",1,30,5800,200,1,"PROGRESSION_SKIN_LEVEL_UP",1,,"GunSlinger2025RankedProgrsesionSkinLevel1",,,,
"Premium_1_31",1,31,6000,200,1,16,5,,,,,,
"Premium_1_32",1,32,6200,200,1,16,10,,,,,,
"Premium_1_33",1,33,6400,200,1,16,5,,,,,,
"Premium_1_34",1,34,6600,200,1,16,10,,,,,,
"Premium_1_35",1,35,6800,200,1,19,1,,"emoji_graffiti_red",1,10,,
"Premium_1_36",1,36,7000,200,1,16,10,,,,,,
"Premium_1_37",1,37,7200,200,1,16,5,,,,,,
"Premium_1_38",1,38,7400,200,1,16,10,,,,,,
"Premium_1_39",1,39,7600,200,1,16,5,,,,,,
"Premium_1_40",1,40,7800,200,1,19,1,,"emoji_graffiti_yellow",1,10,,
"Premium_1_41",1,41,8000,200,1,16,5,,,,,,
"Premium_1_42",1,42,8200,200,1,16,10,,,,,,
"Premium_1_43",1,43,8400,200,1,16,5,,,,,,
"Premium_1_44",1,44,8600,200,1,16,10,,,,,,
"Premium_1_45",1,45,8800,200,1,25,1,,"player_icon_appicon_60",1,10,,
"Premium_1_46",1,46,9000,200,1,16,10,,,,,,
"Premium_1_47",1,47,9200,200,1,16,5,,,,,,
"Premium_1_48",1,48,9400,200,1,16,10,,,,,,
"Premium_1_49",1,49,9600,200,1,16,5,,,,,,
"Premium_1_50",1,50,9800,200,1,19,1,,"emoji_graffiti_green",1,10,,
"Premium_1_51",1,51,10000,200,1,16,5,,,,,,
"Premium_1_52",1,52,10200,200,1,16,10,,,,,,
"Premium_1_53",1,53,10400,200,1,16,5,,,,,,
"Premium_1_54",1,54,10600,200,1,16,10,,,,,,
"Premium_1_55",1,55,10800,200,1,19,1,,"emoji_graffiti_ranked",1,10,,
"Premium_1_56",1,56,11000,200,1,16,10,,,,,,
"Premium_1_57",1,57,11200,200,1,16,5,,,,,,
"Premium_1_58",1,58,11400,200,1,16,10,,,,,,
"Premium_1_59",1,59,11600,200,1,16,5,,,,,,
"Premium_1_60",1,60,11800,200,1,"PROGRESSION_SKIN_LEVEL_UP",1,,"GunSlinger2025RankedProgrsesionSkinLevel1",,,,
"Premium_1_61",1,61,12000,200,1,16,5,,,,,,
"Premium_1_62",1,62,12200,200,1,16,10,,,,,,
"Premium_1_63",1,63,12400,200,1,16,5,,,,,,
"Premium_1_64",1,64,12600,200,1,16,10,,,,,,
"Premium_1_65",1,65,12800,200,1,35,1,,"spray_propass_touchgrass",1,10,,
"Premium_1_66",1,66,13000,200,1,16,10,,,,,,
"Premium_1_67",1,67,13200,200,1,16,5,,,,,,
"Premium_1_68",1,68,13400,200,1,16,10,,,,,,
"Premium_1_69",1,69,13600,200,1,16,5,,,,,,
"Premium_1_70",1,70,13800,200,1,19,1,,"emoji_champie_captain",1,10,,
"Premium_1_71",1,71,14000,200,1,16,5,,,,,,
"Premium_1_72",1,72,14200,200,1,16,10,,,,,,
"Premium_1_73",1,73,14400,200,1,16,5,,,,,,
"Premium_1_74",1,74,14600,200,1,16,10,,,,,,
"Premium_1_75",1,75,14800,200,1,19,1,,"emoji_graffiti_sign",1,10,,
"Premium_1_76",1,76,15000,200,1,16,10,,,,,,
"Premium_1_77",1,77,15200,200,1,16,5,,,,,,
"Premium_1_78",1,78,15400,200,1,16,10,,,,,,
"Premium_1_79",1,79,15600,200,1,16,5,,,,,,
"Premium_1_80",1,80,15800,200,1,25,1,,"player_icon_moai",1,10,,
"Premium_1_81",1,81,16000,200,1,16,5,,,,,,
"Premium_1_82",1,82,16200,200,1,16,10,,,,,,
"Premium_1_83",1,83,16400,200,1,16,5,,,,,,
"Premium_1_84",1,84,16600,200,1,16,10,,,,,,
"Premium_1_85",1,85,16800,200,1,19,1,,"emoji_graffiti_purple",1,10,,
"Premium_1_86",1,86,17000,200,1,16,10,,,,,,
"Premium_1_87",1,87,17200,200,1,16,5,,,,,,
"Premium_1_88",1,88,17400,200,1,16,10,,,,,,
"Premium_1_89",1,89,17600,200,1,16,5,,,,,,
"Premium_1_90",1,90,17800,200,1,19,1,,"emoji_champie_meow",1,10,,
"Premium_1_91",1,91,18000,200,1,16,5,,,,,,
"Premium_1_92",1,92,18200,200,1,16,10,,,,,,
"Premium_1_93",1,93,18400,200,1,16,5,,,,,,
