"Name","FileName","Volume","Loop","PlayCount","FadeOutTimeSec","DurationSec"
"String","String","int","boolean","int","int","int"
"BattleMusic","music/Slugfest_ingame_02.ogg",70,"true",,,60
,"music/Slugfest_ingame_03.ogg",70,"true",,,90
,"music/Slugfest_ingame_04.ogg",70,"true",,,57
,"music/Slugfest_ingame_05.ogg",70,"true",,,53
,"music/Slugfest_ingame_06.ogg",70,"true",,,75
,"music/Slugfest_ingame_01.ogg",70,"true",,,60
,"music/Slugfest_ingame_07.ogg",70,"true",,,71
,"music/Slugfest_ingame_08.ogg",70,"true",,,57
"SingleplayerBattlemusic","music/Slugfest_ingame_02.ogg",70,"true",,,60
,"music/Slugfest_ingame_03.ogg",70,"true",,,90
,"music/Slugfest_ingame_04.ogg",70,"true",,,57
,"music/Slugfest_ingame_05.ogg",70,"true",,,60
,"music/Slugfest_ingame_06.ogg",70,"true",,,75
,"music/Slugfest_ingame_01.ogg",70,"true",,,60
,"music/Slugfest_ingame_07.ogg",70,"true",,,71
,"music/Slugfest_ingame_08.ogg",70,"true",,,57
"MenuMusic","music/brawl_stars_menu_01.ogg",60,"true",,,153
"WinJingle","music/slugfest_game_won_01.ogg",80,,1,,
"LoseJingle","music/slugfest_game_lost_01.ogg",70,,1,,
"DrawJingle","music/laser_game_draw_01.ogg",70,,1,,
"Win_loop","music/win_screen_loop_4x_01.ogg",60,"true",,,30
"Draw_loop","music/draw_screen_loop_4x_01.ogg",60,"true",,,34
"Lose_loop","music/lose_screen_loop_4x_01.ogg",60,"true",,,28
"Brawlbawl_goal","music/brawl_goal_02.ogg",80,,1,,
"Brawlbawl_other_goal","music/brawl_other_goal_01.ogg",80,,1,,
"30_sec_panic","music/brawl_panic_time_01.ogg",75,"true",,,30
