"TID","FR"
"string","string"
"TID_BULL_DUDE_DESC","Tel un taureau dans un magasin de porcelaine... Un taureau avec un fusil à double canon."
"TID_FIREWORKS_WEAPON_DESC","Brock tire une seule roquette. Qui aurait cru que ce machin pouvait aller aussi loin ?"
"TID_TNT_DUDE_DESC","Mineur à la retraite, Dynamike n'a pas oublié la partie la plus essentielle de son ancien travail : les explosions !"
"TID_LUCHADOR_DESC","Un fâcheux impact avec un météore a fait d'El Primo l'homme le plus fort et le plus charismatique de tous."
"TID_TRICKSHOT_DUDE_DESC","Robot de billard obsolète, Ricochet veut se faire une place chez les brawlers grâce à son talent pour les calculs de trajectoires."
"TID_BARKEEP_DESC","Barley rêve de devenir un barman ordinaire. Mais ne le cherchez pas trop ou les bouteilles vont voler !"
"TID_MECHANIC_DESC","Un peu pécore mais pas bête : Junker Jessie peut construire une tourelle avec n'importe quoi."
"TID_SHAMAN_DESC","Nita Littlefoot est l'héritière d'une longue lignée de shamans. Son animal totem est Big Baby Bear."
"TID_UNDERTAKER_DESC","À force d'enterrer des gens professionnellement, Mortis s'est fait les muscles. Il n'en a pas l'air mais il est très rapide."
"TID_UNDERTAKER_ULTI_DESC","Mortis appelle des chauve-souris vampires qui drainent ses ennemis de leurs points de vie et restaurent les siens."
"TID_CROW_DESC","Créature énigmatique apparue comme ça un beau jour. Les gens ont vite arrêté de lui prendre le bec."
"TID_CROW_ULTI_DESC","Crow lance des dagues empoisonnées tout autour de de lui quand il s'envole, et encore quand il atterrit."
"TID_DEAD_MARIACHI_DESC","Depuis que ses fans l'ont abandonné pour un autre groupe, Poco cherche le riff parfait pour les reconquérir un jour."
"TID_DEAD_MARIACHI_WEAPON_DESC","Un accord de son guitarron crée une onde de choc à faire grincer les dents. Gare aux dégâts !"
"TID_BOW_DUDE_DESC","Bo Eagle Hunter, le plus grand archer que les tribus aient connu. Ses flèches sont aussi les plus explosives !"
"TID_BOW_DUDE_WEAPON_DESC","Bo lance un trio de flèches explosives qui déchirent ses ennemis comme les serres d'un aigle des plaines."
"TID_SNIPER_DESC","Il faut bien admettre que Piper de la Prim a beaucoup de classe. Elle était aussi la première de sa classe de tir au fusil."
"TID_SNIPER_WEAPON_DESC","Piper tire avec le fusil dissimulé dans son ombrelle. Plus elle tire de loin, plus ça fait mal !"
"TID_SNIPER_ULTI_DESC","Piper se débarrasse des prétendants trop lourds. Elle s'échappe d'un bond et leur laisse trois grenades en cadeau !"
"TID_MINIGUN_DUDE_DESC","Pam est une dame de fer qui sait faire se tenir la très grande famille Junker à carreau."
"TID_BONE_THROWER_DESC","Petit mais costaud ! Avec sa mitrailleuse géante, ce franc-tireur taille mini fauche les méchants par dizaines. (Vitesse de déplacement réduite, ne peut pas être repoussé)"
"TID_BONE_THROWER_WEAPON_DESC","Rien de plus maniable qu'une mitrailleuse : Bone Thrower peut s'éloigner et la laisser tirer en automatique !"
"TID_BONE_THROWER_ULTI_DESC","Les égratignures pendant un combat, ça arrive. Ce distributeur de pansements vous aidera à maintenir votre équipe au top de leur forme !"
"TID_BLACK_HOLE_DESC","Les cartes n'ont aucun secret pour cette voyante d'un pays mystérieux. Et dans le futur elle a vu votre perte !"
"TID_BLACK_HOLE_WEAPON_DESC","Un geste de la main et trois cartes de tarot transpercent ses ennemis. Tu parles d'un tour !"
"TID_STAT_DAMAGE_PER_SECOND","Dégâts par seconde"
"TID_STAT_DAMAGE_PER_SECOND_EACH","Dégâts par seconde"
"TID_STAT_DAMAGE_PER_STRIKE","Dégâts par coup de poing"
"TID_ROBOT_DESC","Construits pour servir. Adjoints de destruction."
