"TID","CN"
"string","string"
"TID_CHOOSE_CHARACTER","选择英雄"
"TID_ARMOR","生命值"
"TID_ARMOR_DESC","生命值表示英雄在被击败前能够承受的伤害。"
"TID_SHOTGUN_GIRL","雪莉"
"TID_SHOTGUN_GIRL_DESC","霰弹枪手雪莉最喜欢边跑边打！她手中那可靠的霰弹枪可以确保没人敢挡住她的去路。"
"TID_LONG_RANGE_SHOTGUN","大口径霰弹枪"
"TID_LONG_RANGE_SHOTGUN_DESC","雪莉的霰弹枪随时都能开火，你不会想跟这\q小姑娘\q正面交锋的。"
"TID_MEGA_BLASH_ULTI","超级炮弹"
"TID_MEGA_BLASH_ULTI_DESC","雪莉的超级炮弹可以摧毁掩体直击对手，即使有敌人侥幸生还也会被攻击震飞。"
"TID_GUNSLINGER","柯尔特"
"TID_GUNSLINGER_DESC","这位发型拉风的帅哥就是镇上的警长柯尔特，他维护治安靠的就是快、准、远的枪法和迷人的微笑。"
"TID_RAPID_FIRE","左轮手枪"
"TID_RAPID_FIRE_DESC","柯尔特用他那对远距离射击的左轮手枪为自己代言，他从未有过失手的迹象。"
"TID_RAPID_FIRE_ULTI","子弹风暴"
"TID_RAPID_FIRE_ULTI_DESC","柯尔特飞快扣动扳机，喷射出的一连串子弹几乎可以射穿眼前的一切。"
"TID_BULL_DUDE","公牛"
"TID_BULL_DUDE_DESC","公牛布兰科就像是一头暴躁的公牛——手持双管猎枪横冲直撞。"
"TID_SHOTGUN_BLAST","双管猎枪"
"TID_SHOTGUN_BLAST_DESC","公牛看不见三米外的东西，但他也没必要看太远！他的双管猎枪可以轻松轰飞谷仓的大门。"
"TID_CHARGE","蛮牛冲撞"
"TID_CHARGE_DESC","公牛头硬心狠。所以当他低头横冲直撞时，可以撞穿障碍物和对手。"
"TID_ROCKET_GIRL","布洛克"
"TID_ROCKET_GIRL_DESC","布洛克只做两件事情：用火箭发射器点燃整个战场，用性感的舞步点燃整个派对。"
"TID_FIREWORKS_WEAPON","火箭发射器"
"TID_FIREWORKS_WEAPON_DESC","布洛克发射的火箭弹其射程相当惊人。"
"TID_FIREWORKS_ULTI","火箭之雨"
"TID_FIREWORKS_ULTI_DESC","布洛克最期望看到的就是你沐浴在火箭雨中的场景：大波火箭从天而降，可以摧毁范围内对手和障碍物。"
"TID_TNT_DUDE","爆破麦克"
"TID_TNT_DUDE_DESC","爆破麦克是个退休老矿工，他一直怀念以前工作时的美好时光——把东西炸飞！"
"TID_MORTAR","即时炸弹"
"TID_MORTAR_DESC","脾气暴躁的麦克总是处在爆发的边缘，就像他投掷出的那两根即时炸弹一样。"
"TID_MORTAR_ULTI","桶装炸药"
"TID_MORTAR_ULTI_DESC","一个几乎能够炸飞一切的桶装炸药，爆炸时附带击退效果。"
"TID_LUCHADOR","艾尔·普里莫"
"TID_LUCHADOR_DESC","艾尔·普里莫曾经被外太空飞来的陨石砸中过，这一经历带给了他超人的力量和无与伦比的魅力。"
"TID_LUCHADOR_WEAPON","愤怒之拳"
"TID_LUCHADOR_WEAPON_DESC","艾尔·普里莫以迅雷之势连续打出四记愤怒之拳。\n这墨西哥劲辣红椒味的拳头可以把对手打得满地找牙！"
