"TID","EN"
"string","string"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Player reported!"
"TID_TOO_MANY_REPORTS_SENT","Your daily reporting limit has been exceeded!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Please wait before sending another report"
"TID_CHOOSE_CHARACTER","Choose Brawler"
"TID_ARMOR","HEALTH"
"TID_ARMOR_DESC","Represents how much sustained damage the Brawler can absorb before going down."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Shotgun Shelly loves to run and gun! Her trusty boomstick makes sure no one gets in her way."
"TID_LONG_RANGE_SHOTGUN","BUCKSHOT"
"TID_LONG_RANGE_SHOTGUN_DESC","Shelly's boomstick is always locked and loaded. You don't want to be anywhere in front of this baby."
"TID_MEGA_BLASH_ULTI","SUPER SHELL"
"TID_MEGA_BLASH_ULTI_DESC","Shelly's Super Shell obliterates both cover and enemies. Any survivors get knocked out of the way."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Town Sheriff and resident hair model, Colt enforces the law with long range accuracy and a mighty fine smile."
"TID_RAPID_FIRE","SIX-SHOOTERS"
"TID_RAPID_FIRE_DESC","Colt lets his long-range revolvers do his talking for him. He never seems to run out of lines."
"TID_RAPID_FIRE_ULTI","BULLET TRAIN"
"TID_RAPID_FIRE_ULTI_DESC","Colt spins his chambers, rattling off a massive burst of bullets that will shred through almost anything."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull Blanco is like a bull in a China Shop. A bull with a double barrel shotgun."
"TID_SHOTGUN_BLAST","DOUBLE-BARREL"
"TID_SHOTGUN_BLAST_DESC","Bull can't see ten feet, but he doesn't need to! His double barreled shotgun can blow off a barn door with ease."
"TID_CHARGE","BULLDOZER"
"TID_CHARGE_DESC","Bull has always been headstrong. So he puts his head down and bulldozes through opponents and obstacles."
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","When Brock's not lighting up the battle with rockets, he's lighting up the dance floor with his smooth moves."
"TID_FIREWORKS_WEAPON","ROCKIN' ROCKET"
"TID_FIREWORKS_WEAPON_DESC","Brock lets fly with a single Rockin' Rocket that really goes the distance."
"TID_FIREWORKS_ULTI","Rocket Rain"
"TID_FIREWORKS_ULTI_DESC","Brock only wants to see you bathing in Rocket Rain: an explosive deluge that takes out enemies and obstacles."
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike is a retired miner who misses the favorite part of his old job - blowing stuff up!"
"TID_MORTAR","SHORT FUSE"
"TID_MORTAR_DESC","Short-tempered Mike is always moments from blowing up, just like the two lit sticks of dynamite he tosses."
"TID_MORTAR_ULTI","BIG BARREL O' BOOM"
"TID_MORTAR_ULTI_DESC","A big-bada-barrel of dynamite blows up just about everything. Enemies get knocked back on impact!"
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo was hit by a meteor from outer space, giving him superhuman strength and unrivaled charisma."
"TID_LUCHADOR_WEAPON","FISTS OF FURY"
"TID_LUCHADOR_WEAPON_DESC","El Primo fires off a furious flurry of four fiery fists. That's a spicy jalapeno knuckle sandwich!"
"TID_LUCHADOR_ULTI","FLYING ELBOW DROP"
"TID_LUCHADOR_ULTI_DESC","Leaping high, El Primo drops an Intergalactic Elbow that pounds and pushes away anything he lands on!"
"TID_TRICKSHOT_DUDE","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","A former Pool Bot made obsolete by a newer model, Ricochet is banking on his amazing angle-calculation skills to become a great Brawler."
"TID_TRICKSHOT_DUDE_WEAPON","BOUNCY BULLETS"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Ricochet's bullets bounce off everything except his opponents, and can hit them behind cover."
"TID_TRICKSHOT_DUDE_ULTI","TRICK SHOT"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Ricochet fires a long burst of bullets that can pierce through enemies and bounce off walls."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","This strange desert dweller is the last of the cactus people - as far as we know."
"TID_CACTUS_WEAPON","NEEDLE GRENADE"
