"Name","CumulativeWins","MainMilestone","Level","CumulativeRewardStarDrops","CumulativeRewardCoins","CumulativeRewardPowerPoints","CumulativeRewardBling"
"string","int","boolean","int","int","int","int","int"
"Win1",1,,1,1,100,20,10
"Win2",2,,1,2,100,20,10
"Win3",3,,1,3,100,20,10
"Win4",4,,1,4,100,20,10
"Win5",5,,1,5,100,20,10
"Win6",6,,1,6,100,20,10
"Win7",7,,1,7,100,20,10
"Win8",8,,1,8,100,20,10
"Win9",9,,1,9,110,20,10
"Win10",10,,1,10,120,20,10
"Win11",11,,1,11,130,30,10
"Win12",12,,1,12,140,40,10
"Win13",13,,1,13,150,50,15
"Win14",14,,1,14,160,60,20
"Win15",15,,1,15,170,70,25
"Win16",16,,1,16,180,80,30
"Win17",17,,1,17,190,90,35
"Win18",18,,1,18,200,100,40
"Win19",19,,1,19,880,250,80
"Win20",20,,1,20,911,263,87
"Win21",21,,1,21,942,277,94
"Win22",22,,1,22,974,290,100
"Win23",23,,1,23,1006,304,107
"Win24",24,,1,24,1038,318,114
"Win25",25,,1,25,1071,332,121
"Win26",26,,1,26,1104,346,128
"Win27",27,,1,27,1137,360,136
"Win28",28,,1,28,1170,374,143
"Win29",29,,1,29,1204,389,150
"Win30",30,,1,30,1238,403,158
"Win31",31,,1,31,1273,418,165
"Win32",32,,1,32,1307,433,173
"Win33",33,,1,33,1342,448,180
"Win34",34,,1,34,1378,463,188
"Win35",35,,1,35,1413,478,196
"Win36",36,,1,36,1449,494,203
"Win37",37,,1,37,1486,509,211
"Win38",38,,1,38,1523,525,219
"Win39",39,,1,39,1560,541,227
"Win40",40,"TRUE",2,50,1597,557,235
"Win41",41,,2,51,1635,573,243
"Win42",42,,2,52,1673,589,252
"Win43",43,,2,53,1711,605,260
"Win44",44,,2,54,1750,622,268
"Win45",45,,2,55,1789,639,277
"Win46",46,,2,56,1828,656,285
"Win47",47,,2,57,1868,673,294
"Win48",48,,2,58,1908,690,303
"Win49",49,,2,59,1949,707,312
"Win50",50,,2,60,1990,725,320
"Win51",51,,2,61,2031,742,329
"Win52",52,,2,62,2073,760,338
"Win53",53,,2,63,2115,778,347
"Win54",54,,2,64,2157,796,357
"Win55",55,,2,65,2200,815,366
"Win56",56,,2,66,2244,833,375
"Win57",57,,2,67,2287,852,385
"Win58",58,,2,68,2331,871,394
"Win59",59,,2,69,2376,890,404
"Win60",60,,2,70,2421,909,414
"Win61",61,,2,71,2466,928,424
"Win62",62,,2,72,2512,948,433
"Win63",63,,2,73,2558,968,443
"Win64",64,,2,74,2604,987,453
"Win65",65,,2,75,2651,1008,464
"Win66",66,,2,76,2699,1028,474
"Win67",67,,2,77,2746,1048,484
"Win68",68,,2,78,2795,1069,495
"Win69",69,,2,79,2843,1090,505
"Win70",70,,2,80,2893,1111,516
"Win71",71,,2,81,2942,1132,527
"Win72",72,,2,82,2992,1153,538
"Win73",73,,2,83,3043,1175,548
"Win74",74,,2,84,3094,1197,560
"Win75",75,,2,85,3145,1219,571
"Win76",76,,2,86,3197,1241,582
"Win77",77,,2,87,3250,1264,593
"Win78",78,,2,88,3303,1286,605
"Win79",79,,2,89,3356,1309,616
"Win80",80,"TRUE",3,100,3410,1332,628
"Win81",81,,3,101,3464,1355,640
"Win82",82,,3,102,3519,1379,652
"Win83",83,,3,103,3575,1402,664
"Win84",84,,3,104,3631,1426,676
"Win85",85,,3,105,3687,1451,688
"Win86",86,,3,106,3744,1475,700
"Win87",87,,3,107,3801,1499,713
"Win88",88,,3,108,3859,1524,725
"Win89",89,,3,109,3918,1549,738
"Win90",90,,3,110,3977,1575,751
"Win91",91,,3,111,4037,1600,764
"Win92",92,,3,112,4097,1626,777
"Win93",93,,3,113,4157,1652,790
"Win94",94,,3,114,4219,1678,803
"Win95",95,,3,115,4281,1704,817
"Win96",96,,3,116,4343,1731,830
"Win97",97,,3,117,4406,1758,844
"Win98",98,,3,118,4469,1785,857
