TID,VI
string,string
TID_BATTLE_END_QUESTS_COMPLETED,Nhiệm vụ đã hoàn tất: <NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,Nhiệm vụ đã tiến hành: <NUM>
TID_TICKET_COMPENSATION_TITLE,THÔNG BÁO CẬP NHẬT
TID_TICKET_COMPENSATION_INFO,"Chúng tôi đã loại bỏ Vé khỏi trò chơi, chúng sẽ không còn được sử dụng nữa. Hãy nhận lấy số Ngọc này thay cho số Vé đó nhé!"
TID_TICKET_COMPENSATION_CLAIM,NHẬN!
TID_BRAWL_PASS_OLD_BOXES_TITLE,MỞ CÁC HỘP CÒN LẠI
TID_BRAWL_PASS_QUESTS_LABEL,NHIỆM VỤ
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,Đạt <TROPHIES> Cúp để mở khóa Nhiệm vụ!
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,Nhiệm vụ hiện có thể được mở khóa từ Cột mốc Cúp!
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,Vào Cột mốc Cúp để mở khóa Nhiệm vụ
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,MUA MỘT BẬC
TID_QUESTS_TITLE,NHIỆM VỤ
TID_QUEST_DESC_1,THẮNG <AMOUNT> TRẬN CHIẾN
TID_QUEST_DESC_2,ĐÁNH BẠI <AMOUNT> KẺ ĐỊCH
TID_QUEST_DESC_3,GÂY RA <AMOUNT> ĐIỂM SÁT THƯƠNG
TID_QUEST_DESC_4,HỒI <AMOUNT> ĐIỂM MÁU
TID_QUEST_DESC_5,SỬ DỤNG NÚT \qCHƠI LẠI\q <NUM> LẦN
TID_QUEST_DESC_6,CHƠI <NUM> TRẬN ĐẤU THEO ĐỘI
TID_QUEST_DESC_7_MODE_0,GIỮ TỐI THIỂU <LIMIT> VIÊN NGỌC TRONG <AMOUNT> GIÂY
TID_QUEST_DESC_7_MODE_2,GÂY <AMOUNT> ĐIỂM SÁT THƯƠNG LÊN KÉT SẮT
TID_QUEST_DESC_7_MODE_3,HOÀN TẤT <AMOUNT> TRẬN ĐẤU VỚI TỐI THIỂU <LIMIT> SAO
TID_QUEST_DESC_7_MODE_5,CHUYỀN BÓNG <AMOUNT> LẦN
TID_QUEST_DESC_7_MODE_6,THU THẬP <AMOUNT> KHỐI SỨC MẠNH
TID_QUEST_DESC_7_MODE_9,THU THẬP <AMOUNT> KHỐI SỨC MẠNH KHI CẢ HAI NGƯỜI CHƠI ĐANG HOẠT ĐỘNG
