"Name","Season","HeroArea1","HeroArea2","HeroArea3","FrameName","Skin","SkinChroma","Pin","Icon","Spray","AnimCover","AnimSkin","AnimChromas","Jingle","Multiplier","PlusMultiplier"
"string","int","String","String","String","String","String","String","String","String","String","String","String","String","String","int","int"
"season8",7,"ShotgunGirlPrincess","KnightDefault","KnightNinja",8,,,,,,,,,,,
"season9",8,"BullDudeTerminator","DuplicatorDefault","DuplicatorChola",9,,,,,,,,,,,
"season10",9,"RosaBP","KickerDudeDefault","KickerDudeFurious",10,,,,,,,,,,,
"season11",10,"TrickshotDudeFirefly","FleaDefault","FleaSpaceCactus",11,,,,,,,,,,,
"season12",11,"WhirlwindBiker","JetpackGirlDefault","JetpackGirlValkyrie",12,,,,,,,,,,,
"season13",12,"GunslingerPaintball","SilencerDefault","SilencerPharaoh",13,,,,,,,,,,,
"season14",13,"DeadMariachiOutlaw","WeaponThrowerDefault","WeaponThrowerEmperor",14,,,,,,,,,,,
"season15",14,"ArtilleryDudeZombie","ShieldTankDefault","ShieldTankChainsaw",15,,,,,,,,,,,
"season16",15,"ShamanGummybear","BeamerDefault","BeamerLavaQueen",16,,,,,,,,,,,
"season17",16,"LuchadorButler","SplitterDefault","SplitterCultist",17,,,,,,,,,,,
"season18",17,,"MaisieDefault","MaisieSnake",18,,,,,,,,,,,
"season19",18,,"DuelistDefault","DuelistBrain",19,,,,,,,,,,,
"season20",19,,"CookerDefault","CookerDeepsea",20,,,,,,,,,,,
"season21",20,,"CocoonerDefault","CocoonerRosie",21,"CocoonerRosie",,"emoji_cotton_candy","player_icon_bp_circus","spray_sad_clown",,,,,13,
"season22",21,"Percenteranime","PercenteranimeChromaYellow","PercenteranimeChromaGreen",22,"Percenteranime","PercenteranimeChromaYellow","emoji_skulltoon","player_icon_bp_cartoon","spray_cartoon_cloud","SIGNATURE","HAPPY","HAPPY","sfx/brawly_toonz_loading_01.ogg",18,20
"season23",22,"AttacherBoxer","AttacherBoxerChromaDarkpaw","AttacherBoxerChromaGoldpaw",23,"AttacherBoxer","AttacherBoxerChromaDarkpaw","emoji_dragon","player_icon_bp_dragon","spray_lny_dragon","SIGNATURE","HAPPY","HAPPY","sfx/brawl_fighting_load_01.ogg",18,20
"season24",23,"ShotgunGirlDancer","ShotgunGirlDancerBlue","ShotgunGirlDancerPurple",24,"ShotgunGirlDancer","ShotgunGirlDancerBlue","emoji_sandclock","player_icon_bp_sandsoftime","spray_sandsoftime","SIGNATURE","HAPPY","HAPPY",,18,20
"season25",24,"RopeDudeFenrir","RopeDudeFenrirRed","RopeDudeFenrirBlack",25,"RopeDudeFenrir","RopeDudeFenrirRed","emoji_skull_ragnarock","player_icon_bp_ragnarok","spray_ragnarok","SIGNATURE","HAPPY","HAPPY",,18,20
"season26",25,"ClusterBombDudeGodzilla","ClusterBombDudeGodzillaGold","ClusterBombDudeGodzillaDark",26,"ClusterBombDudeGodzilla","ClusterBombDudeGodzillaGold","emoji_godzilla_egg","player_icon_bp_godzilla","spray_bp_godzilla","SIGNATURE","HAPPY","HAPPY",,18,20
"season27",26,"RocketGirlVirus","RocketGirlVirusRGB","RocketGirlVirusGold",27,"RocketGirlVirus","RocketGirlVirusGold","emoji_hacker","player_icon_bp_hackers","spray_bp_hackers","SIGNATURE","HAPPY","HAPPY",,18,20
"season28",27,"MummyGreek","MummyGreekRed","MummyGreekBlue",28,"MummyGreek","MummyGreekRed","emoji_bp_greek","player_icon_bp_olympic","spray_bp_olympic","SIGNATURE","HAPPY","HAPPY","sfx/brawlympus_loading_01.ogg",18,20
"season29",28,"SandstormDeepsea","SandstormDeepseaPurple","SandstormDeepseaYellow",29,"SandstormDeepsea","SandstormDeepseaPurple","emoji_bp_deep","player_icon_bp_deepsea","spray_bp_deepsea","SIGNATURE","HAPPY","HAPPY","sfx/brawl_underwater_load_01.ogg",18,20
"season30",29,"UndertakerSB","UndertakerSBPink","UndertakerSBBlue",30,"UndertakerSB","UndertakerSBPink","emoji_bp_spongebob","player_icon_bp_sb","spray_bp_sb","SIGNATURE","HAPPY","HAPPY",,18,20
"season31",30,"PowerLevelerOnceupon","PowerLevelerOnceupon_Red","PowerLevelerOnceupon_Gold",31,"PowerLevelerOnceupon","PowerLevelerOnceupon_Gold","emoji_bp_darkonceupon","player_icon_bp_darkonceupon","spray_bp_darkonce","SIGNATURE","HAPPY","HAPPY",,18,20
"season32",31,"TwinsAngel","TwinsAngelChroma1","TwinsAngelChroma2",32,"TwinsAngel","TwinsAngelChroma1","emoji_bp_cursed","player_icon_bp_angelsdemons","spray_bp_angelsdemons","SIGNATURE","HAPPY","HAPPY",,18,20
"season33",32,"MaisieToon","MaisieToonChroma1","MaisieToonChroma2",33,"MaisieToon","MaisieToonChroma1","emoji_bp_toon","player_icon_bp_toons2","spray_bp_toons2","SIGNATURE","HAPPY","HAPPY",,18,20
"season34",33,"SamuraiStarrForce","SamuraiStarrForceChroma1","SamuraiStarrForceChroma2",34,"SamuraiStarrForce","SamuraiStarrForceChroma1","emoji_bp_starrforce","player_icon_bp_starrforce","spray_bp_starrforce","SIGNATURE","HAPPY","HAPPY",,18,20
"season35",34,"AxeJugglerGoodRandoms","AxeJugglerGoodRandomsChroma1","AxeJugglerGoodRandomsChroma2",35,"AxeJugglerGoodRandoms","AxeJugglerGoodRandomsChroma1","emoji_bp_goodrandoms","player_icon_bp_goodrandoms","spray_bp_goodrandoms","SIGNATURE","HAPPY","HAPPY",,18,20
"season36",35,"HammerDudeSandsOfTimes","HammerDudeSandsOfTimesLight","HammerDudeSandsOfTimesDark",36,"HammerDudeSandsOfTimes","HammerDudeSandsOfTimesLight","emoji_bp_sandsoftime2","player_icon_bp_sandsoftime2","spray_bp_darksands","SIGNATURE","HAPPY","HAPPY",,18,20
"season37",36,"BaseballVillain","BaseballVillainChromaPink","BaseballVillainChromaBlue",37,"BaseballVillain","BaseballVillainChromaPink","emoji_bp_superheroes","player_icon_bp_super","spray_bp_super","SIGNATURE","HAPPY","HAPPY",,18,20
"season38",37,"SniperJapan","SniperJapanChromaBlue","SniperJapanChromaGreen",38,"SniperJapan","SniperJapanChromaBlue","emoji_bp_feudaljapan","player_icon_bp_feudaljapan","spray_bp_feudaljapan","SIGNATURE","HAPPY","HAPPY",,18,20
"season39",38,"EnragerKaiju","EnragerKaijuChroma1","EnragerKaijuChroma2",39,"EnragerKaiju","EnragerKaijuChroma1","emoji_bp_kaiju","player_icon_bp_kaiju","spray_bp_kaiju","SIGNATURE","HAPPY","HAPPY",,18,20
"season40",39,"UndertakerGreekGod","UndertakerGreekGodChroma1","UndertakerGreekGodChroma2",40,"UndertakerGreekGod","UndertakerGreekGodChroma1","emoji_bp_darkgreek","player_icon_bp_darkgreek","spray_bp_greekmortis","SIGNATURE","HAPPY","HAPPY",,18,20
"season41",40,"BowDudeFantasy","BowDudeFantasyChroma1","BowDudeFantasyChroma2",41,"BowDudeFantasy","BowDudeFantasyChroma1","emoji_bp_fantasy","player_icon_bp_fantasy","spray_bp_fantasybo","SIGNATURE","HAPPY","HAPPY",,18,20
"season42",41,"MummySurfer","MummySurferChroma1","MummySurferChroma2",42,"MummySurfer","MummySurferChroma1","emoji_bp_street","player_icon_bp_graffiti","spray_bp_street","SIGNATURE","HAPPY","HAPPY",,18,20
"season43",42,"CrowBrawloween","CrowBrawloweenRed","CrowBrawloweenWhite",43,"CrowBrawloween","CrowBrawloweenRed","emoji_bp_brawloween","player_icon_bp_brawloween25","spray_bp_brawloween25","SIGNATURE","HAPPY","HAPPY",,18,20
"season44",43,"MorningstarStrange","MorningstarStrangeChromaPink","MorningstarStrangeChromaRed",44,"MorningstarStrange","MorningstarStrangeChromaPink","emoji_bp_strangerthings","player_icon_st_title","spray_bp_st","SIGNATURE","HAPPY","HAPPY",,18,20
"season45",44,"BeamerMecha","BeamerMechaYellow","BeamerMechaPurple",45,"BeamerMecha","BeamerMechaYellow","emoji_bp_mecha","player_icon_bp_mecha","spray_bp_mecha","SIGNATURE","HAPPY","HAPPY",,18,20
