TID,EN,AR,CN,CNT,DE,ES,FI,FR,HE,ID,IT,JP,KR,MS,NL,PL,PT,RU,TH,TR,VI
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
TID_TRUE_SILVER_ROSA_SKIN,TRUE SILVER ROSA,روزا الفضة الخالصة,铂银罗莎,閃耀銀羅莎,STARSILBER ROSA,ROSA PLATEADA,JALOHOPEA-ROSA,ROSA ARGENT MASSIF,יציקת רוזה מכסף,ROSA PERAK,ROSA ARGENTEA,トゥルーシルバー ローサ,트루 실버 로사,ROSA PERAK,MASSIEF ZILVEREN ROSA,SREBRNA ROSA,ROSA PRATEADA,СЕРЕБРЯНАЯ РОЗА,โรซ่า ร่างเงินล้วน,SAF GÜMÜŞ ROSA,ROSA BẰNG BẠC
TID_TRUE_SILVER_ROSA_SKIN_SHOP,TRUE SILVER\nROSA,روزا\nالفضة الخالصة,铂银罗莎,閃耀銀羅莎,STARSILBER\nROSA,ROSA\nPLATEADA,JALOHOPEA-\nROSA,ROSA\nARGENT MASSIF,יציקת\nרוזה מכסף,ROSA\nPERAK,ROSA\nARGENTEA,トゥルーシルバー\nローサ,트루 실버\n로사,ROSA\nPERAK,MASSIEF ZILVEREN\nROSA,SREBRNA\nROSA,ROSA\nPRATEADA,СЕРЕБРЯНАЯ\nРОЗА,โรซ่า\nร่างเงินล้วน,SAF GÜMÜŞ\nROSA,ROSA\nBẰNG BẠC
TID_TRUE_SILVER_JACKY_SKIN,TRUE SILVER JACKY,جاكي الفضة الخالصة,铂银雅琪,閃耀銀賈姬,STARSILBER JACKY,JACKY PLATEADA,JALOHOPEA-JACKY,JACKY ARGENT MASSIF,יציקת ג‘קי מכסף,JACKY PERAK,JACKY ARGENTEA,トゥルーシルバー ジャッキー,트루 실버 재키,JACKY PERAK,MASSIEF ZILVEREN JACKY,SREBRNY JACKY,JACKY PRATEADA,СЕРЕБРЯНАЯ ДЖЕКИ,แจ็คกี้ ร่างเงินล้วน,SAF GÜMÜŞ JACKY,JACKY BẰNG BẠC
TID_TRUE_SILVER_JACKY_SKIN_SHOP,TRUE SILVER\nJACKY,جاكي\nالفضة الخالصة,铂银雅琪,閃耀銀賈姬,STARSILBER\nJACKY,JACKY\nPLATEADA,JALOHOPEA-\nJACKY,JACKY\nARGENT MASSIF,יציקת ג‘קי\nמכסף,JACKY\nPERAK,JACKY\nARGENTEA,トゥルーシルバー\nジャッキー,트루 실버\n재키,JACKY\nPERAK,MASSIEF ZILVEREN\nJACKY,SREBRNY\nJACKY,JACKY\nPRATEADA,СЕРЕБРЯНАЯ\nДЖЕКИ,แจ็คกี้\nร่างเงินล้วน,SAF GÜMÜŞ\nJACKY,JACKY\nBẰNG BẠC
TID_TRUE_SILVER_LOU_SKIN,TRUE SILVER LOU,لوو الفضة الخالصة,铂银小罗,閃耀銀阿魯,STARSILBER LOU,LOU PLATEADO,JALOHOPEA-LOU,LOU ARGENT MASSIF,יציקת לו מכסף,LOU PERAK,LOU ARGENTEO,トゥルーシルバー ルー,트루 실버 루,LOU PERAK,MASSIEF ZILVEREN LOU,SREBRNY LOU,LOU PRATEADO,СЕРЕБРЯНЫЙ ЛУ,ลู ร่างเงินล้วน,SAF GÜMÜŞ LOU,LOU BẰNG BẠC
TID_TRUE_SILVER_LOU_SKIN_SHOP,TRUE SILVER\nLOU,لوو\nالفضة الخالصة,铂银小罗,閃耀銀阿魯,STARSILBER\nLOU,LOU\nPLATEADO,JALOHOPEA-\nLOU,LOU\nARGENT MASSIF,יציקת לו\nמכסף,LOU\nPERAK,LOU\nARGENTEO,トゥルーシルバー\nルー,트루 실버\n루,LOU\nPERAK,MASSIEF ZILVEREN\nLOU,SREBRNY\nLOU,LOU\nPRATEADO,СЕРЕБРЯНЫЙ\nЛУ,ลู\nร่างเงินล้วน,SAF GÜMÜŞ\nLOU,LOU\nBẰNG BẠC
TID_TRUE_SILVER_PENNY_SKIN,TRUE SILVER PENNY,بيني الفضة الخالصة,铂银潘妮,閃耀銀佩妮,STARSILBER PENNY,PENNY PLATEADA,JALOHOPEA-PENNY,PENNY ARGENT MASSIF,יציקת פני מכסף,PENNY PERAK,PENNY ARGENTEA,トゥルーシルバー ペニー,트루 실버 페니,PENNY PERAK,MASSIEF ZILVEREN PENNY,SREBRNA PENNY,PENNY PRATEADA,СЕРЕБРЯНАЯ ПЕННИ,เพนนี ร่างเงินล้วน,SAF GÜMÜŞ PENNY,PENNY BẰNG BẠC
TID_TRUE_SILVER_PENNY_SKIN_SHOP,TRUE SILVER\nPENNY,بيني\nالفضة الخالصة,铂银潘妮,閃耀銀佩妮,STARSILBER\nPENNY,PENNY\nPLATEADA,JALOHOPEA-\nPENNY,PENNY\nARGENT MASSIF,יציקת פני\nמכסף,PENNY\nPERAK,PENNY\nARGENTEA,トゥルーシルバー\nペニー,트루 실버\n페니,PENNY\nPERAK,MASSIEF ZILVEREN\nPENNY,SREBRNA\nPENNY,PENNY\nPRATEADA,СЕРЕБРЯНАЯ\nПЕННИ,เพนนี\nร่างเงินล้วน,SAF GÜMÜŞ\nPENNY,PENNY\nBẰNG BẠC
TID_SKIN_INFO_CAMPAIGN_ANNIVERSARY_2021,2021 Anniversary skin,مظهر الاحتفال السنوي لعام 2021,2021周年庆皮肤,2021周年紀念造型,2021-Jubiläumsskin,Aspecto de aniversario de 2021,Vuoden 2021 synttäriasu,Skin anniversaire 2021,סקין ליום השנה 2021,Kostum Ulang Tahun 2021,Skin per l'anniversario del 2021,2021年 記念スキン,2021 기념일 스킨,Kulit Ulang Tahun 2021,Verjaardagsskin 2021,Przebranie urodzinowe 2021,Visual de aniversário de 2021,Юбилейный скин — 2021,สกินฉลองครบรอบปี 2021,2021 yıl dönümü kostümü,Trang phục Kỷ niệm 2021
