"Name","Conf","Disabled","Campaigns","IconOverride","SkinGroupId","ObtainType","ObtainTypeCN","LastChance","MasterSkin","PetSkin","PetSkin2","PriceClubCoins","PriceStarPoints","PriceBling","PriceGems","DiscountPriceGems","PriceCoins","Rarity","TID","ShopTID","Features","CommunityCredit","MaterialsFile","BlueTexture","RedTexture","BlueSpecular","RedSpecular","OutlineShader","PackOfferAnimOverride","BattleIntroXOffset","BattleIntroZOffset","BattleIntroVFX","DisableCatalogRelease","CatalogPreRequirementSkin","CatalogNewDaysAdjustment","NotInCatalogTID"
"string","string","boolean","string","string","int","int","int","boolean","string","string","string","int","int","int","int","int","int","string","string","string","string","string","string","string","string","string","string","string","string","int","int","boolean","boolean","string","int","string"
"BanditGirlDefault","BanditGirlDefault","","","","","","","","","","","","","","","","","","","","","","","shelly_v2_01.pvr","shelly_v2_01.pvr","shelly_v2_01.pvr","shelly_v2_01.pvr","","","","","","","","",""
"GunSlingerDefault","GunSlingerDefault","","","","","","","","","","","","","","","","","","","","","","","colt_tex.pvr","colt_tex.pvr","colt_tex.pvr","colt_tex.pvr","","","","","","","","",""
"GunSlingerRockstar","GunSlingerRockstar","","","","","","","","","","","","","1000","29","","","RARE","TID_GUNSLINGER_ROCKSTAR_SKIN","TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","MODEL","","","colt_rockstar_tex.pvr","colt_rockstar_tex.pvr","colt_rockstar_tex.pvr","colt_rockstar_tex.pvr","","","","","","","","",""
"BullGuyDefault","BullGuyDefault","","","","","","","","","","","","","","","","","","","","","","","bull_tex.pvr","bull_tex.pvr","bull_tex.pvr","bull_tex.pvr","","","","","","","","",""
"RocketGirlDefault","RocketGirlDefault","","","","","","","","","","","","","","","","","","","","","","","brock_tex.pvr+hue(masks/brock/brock_ammo_msk.png,230.233002)","brock_tex.pvr","brock_tex.pvr+hue(masks/brock/brock_ammo_msk.png,213.488007)","brock_tex.pvr","","","","","","","","",""
"RocketGirlBeach","RocketGirlBeach","","SUMMER","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_ROCKET_BEACH_SKIN","TID_ROCKET_BEACH_SKIN_SHOP","MODEL,VFX,SFX","","","brock_beach_tex.pvr+hue(masks/brock/brock_ammo_beach_msk.png,230.233002)","brock_beach_tex.pvr","brock_beach_tex.pvr+hue(masks/brock/brock_ammo_beach_msk.png,213.488007)","brock_beach_tex.pvr","","","","","","","","",""
"TntGuyDefault","TntGuyDefault","","","","","","","","","","","","","","","","","","","","","","","dynamike_tex.pvr+hue(masks/dynamike/dynamike_red_blue_msk.png,221.860001)","dynamike_tex.pvr","dynamike_tex.pvr+hue(masks/dynamike/dynamike_red_blue_msk.png,213.488007)","dynamike_tex.pvr","","","","","","","","",""
"LuchadorDefault","LuchadorDefault","","","","","","","","","","","","","","","","","","","","","","","primo_tex.pvr","primo_tex.pvr","primo_tex.pvr","primo_tex.pvr","","","","","","","","",""
"TurretDefault","TurretDefault","","","","","","","","","","","","","","","","","","","","","","","jessie_turret_tex.pvr","jessie_turret_tex.pvr","jessie_turret_tex.pvr","jessie_turret_tex.pvr","","","","","","","","",""
"TrickshotDefault","TrickshotDefault","","","","","","","","","","","","","","","","","","","","","","","rico_tex.pvr","rico_tex.pvr","rico_tex.pvr","rico_tex.pvr","","","","","","","","",""
"CactusDefault","CactusDefault","","","","","","","","","","","","","","","","","","","","","","","spike_tex.pvr","spike_tex.pvr","spike_tex.pvr","spike_tex.pvr","","","","","","","","",""
"CactusPink","CactusPink","","GOLDENWEEK","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_CACTUS_PINK_SKIN","TID_CACTUS_PINK_SKIN_SHOP","MODEL,VFX","","","spike_blossom_tex.pvr","spike_blossom_tex.pvr","spike_blossom_tex.pvr","spike_blossom_tex.pvr","","","","","","","","",""
