"Name","AlbumType","Skins","AcquireLocation","CompletionRewardSprays","CompletionRewardEmotes","Collabs","ExcludeFromCompletionCheck"
"string","string","string","string","string","string","string","boolean"
"WasabiCollabSkinAlbum","Collab","SamuraiJapan","EventMenu","spray_feudaljapan_mask",,"Wasabi",
,,"WallyJapan","EventGacha",,,,
,,"DoorManJapan","EventGacha",,,,
,,"SniperJapan","BrawlPass",,,,
,,"BlackHoleJapan","EventGacha",,,,
,,"KnightJapan","EventGacha",,,,
,,"InsectManJapan","EventGacha",,,,
,,"SamuraiJapanOvercharge","EventMenu",,,,"TRUE"
"GraveyardTrio","Trio","FrankDefault","HeroScreen",,,,
,,"UndertakerDefault","HeroScreen",,,,
,,"MummyDefault","HeroScreen",,,,
"AngelsCollabSkinAlbum","Collab","EnragerAngel","EventGacha","spray_angel_door",,,
,,"SpeedyAngel","EventGacha",,,,
,,"ShieldTankAngel","EventMenu",,,,
,,"MechaDudeAngel","EventGacha",,,,
,,"HookDudeAngel","EventGacha",,,,
,,"ArcadeAngel","EventGacha",,,,
,,"AmbusherAngel","EventGacha",,,,
"DemonsCollabSkinAlbum","Collab","UndertakerDemon","EventGacha","spray_demon_door",,,
,,"PuppeteerDemon","EventGacha",,,,
,,"BullDudeDemon","EventGacha",,,,
,,"SilencerDemon","EventGacha",,,,
,,"SoulCollectorDemon","EventGacha",,,,
,,"MummyDemon","EventGacha",,,,
,,"KickerDudeDemon","EventMenu",,,,
