"Name","Version","VersionCN","FileName","ExportName","Character","Skin","GiveOnSkinUnlock","Rarity","EffectColorR","EffectColorG","EffectColorB","FlipSprayForEnemies","LockedForChronos","SprayBundles","IsDefaultBattleSpray","Texture","PriceBling","PriceGems","DontSellInCatalog","DisableCatalogRelease","CatalogNewDaysAdjustment","NotInCatalogTID","UseShineVFX","ExtraCatalogCampaign","HideFromCatalogMainCategory","DisableFromCatalogIfNotOwned","BrawlerTrophyRewards","OdditiesShopAvailability"
"string","int","int","string","string","string","string","boolean","String","int","int","int","boolean","boolean","String","boolean","string","int","int","boolean","boolean","int","string","boolean","string","boolean","boolean","String","string"
"spray_allfine","","","sc/sprays_1.sc","spray_allfine","","","","COMMON","255","255","255","TRUE","","","","spray_allfine.png","750","19","TRUE","","","","TRUE","MISC","","","","AVAILABLE"
"spray_angrycloud","","","sc/sprays_1.sc","spray_angrycloud","","","","COMMON","197","230","255","TRUE","","","","spray_angrycloud.png","750","19","TRUE","","","","","OLYMPUS","","","","AVAILABLE"
"spray_badgem","","","sc/sprays_1.sc","spray_badgem","","","","COMMON","95","219","26","TRUE","","","","spray_badgem.png","750","19","TRUE","","","","TRUE","ROYALS","","","","AVAILABLE"
"spray_banana","","","sc/sprays_1.sc","spray_banana","","","","COMMON","255","234","0","TRUE","","","","spray_banana.png","750","19","TRUE","","","","","JUNGLE","","","","AVAILABLE"
"spray_check","","","sc/sprays_1.sc","spray_check","","","","DEFAULT","14","255","14","TRUE","","","","spray_check.png","","","TRUE","","","","","","","","","NEVER"
"spray_cross","","","sc/sprays_1.sc","spray_cross","","","","DEFAULT","255","53","44","TRUE","","","","spray_cross.png","","","TRUE","","","","","","","","","NEVER"
"spray_crymask","","","sc/sprays_1.sc","spray_crymask","","","","COMMON","252","188","33","TRUE","","","","spray_crymask.png","750","19","TRUE","","","","TRUE","MISC","","","","AVAILABLE"
"spray_drop","","","sc/sprays_1.sc","spray_drop","","","","COMMON","0","237","255","TRUE","","","","spray_drop.png","750","19","TRUE","","","","","MISC","","","","AVAILABLE"
"spray_footstep","","","sc/sprays_1.sc","spray_footstep","","","","COMMON","0","0","0","TRUE","","","","spray_footstep.png","750","19","TRUE","","","","","MISC","","","","AVAILABLE"
"spray_heartarrow","","","sc/sprays_1.sc","spray_heartarrow","","","","COMMON","255","49","133","TRUE","","","","spray_heartarrow.png","750","19","TRUE","","","","","BRAWLENTINES","","","","AVAILABLE"
"spray_hole","","","sc/sprays_1.sc","spray_hole","","","","COMMON","0","0","0","TRUE","","","","spray_hole.png","750","19","TRUE","","","","","WASTELAND","","","","AVAILABLE"
"spray_salt","","","sc/sprays_1.sc","spray_salt","","","","COMMON","93","234","255","TRUE","","","","spray_salt.png","750","19","TRUE","","","","","MEAL","","","","AVAILABLE"
"spray_skullchamp","","","sc/sprays_1.sc","spray_skullchamp","","","","COMMON","0","103","57","TRUE","","","","spray_skullchamp.png","750","19","TRUE","","","","","MISC","","","","AVAILABLE"
"spray_skullsign","","","sc/sprays_1.sc","spray_skullsign","","","","COMMON","251","205","16","TRUE","","","","spray_skullsign.png","750","19","TRUE","","","","","WASTELAND","","","","AVAILABLE"
"spray_skullwings","","","sc/sprays_1.sc","spray_skullwings","","","","COMMON","255","255","255","TRUE","","","","spray_skullwings.png","750","19","TRUE","","","","","MISC","","","","AVAILABLE"
"spray_starrpark","","","sc/sprays_1.sc","spray_starrpark","","","","DEFAULT","252","224","91","TRUE","","","","spray_starrpark.png","","","TRUE","","","","","","","","","NEVER"
"spray_thumbsup","","","sc/sprays_1.sc","spray_thumbsup","","","","COMMON","255","255","255","TRUE","","","","spray_thumbsup.png","750","19","TRUE","","","","","MISC","","","","AVAILABLE"
"spray_8bit_1","","","sc/sprays_1.sc","spray_8bit_1","Arcade","","","COMMON","0","104","224","TRUE","","","","spray_8bit.png","","","TRUE","","","","","","","","TrophyRewardsArcade","NEVER"
"spray_bo_1","","","sc/sprays_1.sc","spray_bo_1","BowDude","","","COMMON","183","56","21","TRUE","","","","spray_bo.png","","","TRUE","","","","","","","","TrophyRewardsBowDude","NEVER"
"spray_brock_1","","","sc/sprays_1.sc","spray_brock_1","RocketGirl","","","COMMON","135","31","145","TRUE","","","","spray_brock.png","","","TRUE","","","","","","","","TrophyRewardsRocketGirl","NEVER"
"spray_bull_1","","","sc/sprays_1.sc","spray_bull_1","BullDude","","","COMMON","249","214","157","TRUE","","","","spray_bull.png","","","TRUE","","","","","","","","TrophyRewardsBullDude","NEVER"
"spray_colt_1","","","sc/sprays_1.sc","spray_colt_1","Gunslinger","","","COMMON","82","117","214","TRUE","","","","spray_colt.png","","","TRUE","","","","","","","","TrophyRewardsGunslinger","NEVER"
"spray_dynamike_1","","","sc/sprays_1.sc","spray_dynamike_1","TntDude","","","COMMON","233","3","21","TRUE","","","","spray_dynamike.png","","","TRUE","","","","","","","","TrophyRewardsTntDude","NEVER"
"spray_emz_1","","","sc/sprays_1.sc","spray_emz_1","Mummy","","","COMMON","19","244","189","TRUE","","","","spray_emz.png","","","TRUE","","","","","","","","TrophyRewardsMummy","NEVER"
"spray_jessie_1","","","sc/sprays_1.sc","spray_jessie_1","Mechanic","","","COMMON","92","255","255","TRUE","","","","spray_jessie.png","","","TRUE","","","","","","","","TrophyRewardsMechanic","NEVER"
"spray_nita_1","","","sc/sprays_1.sc","spray_nita_1","Shaman","","","COMMON","255","57","83","TRUE","","","","spray_nita.png","","","TRUE","","","","","","","","TrophyRewardsShaman","NEVER"
