"Name","Characters","BlingSkins","BlingIconExportName","SkinGachaPrice","GachaPrice","FallbackForDonation","PurchasePrice","BuddyCards","BuddySkin","CardIconExportName","InfoPopupSfx","ShopScreen","ClawScreen","ClawMachinePanelExportName","BlingClawScreen","BlingMachinePanelExportName","ClawJoystickExportName","ClawButtonExportName","BlingClawJoystickExportName","BlingClawButtonExportName","Disabled"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean"
"RangerRanchClawMachine","ShotgunGirl","ShotgunGirlBuddyBlingChroma","buddy_icon_shelly_skin_bling","BLING#10000","POWER_POINTS#2000","POWER_POINTS#1000","GEMS#149","ShotgunGirl_Buddy_Gadgets","ShotgunGirlBuddyGadget","buddy_icon_shelly_gadget","Claw_Gacha_Show_Gadget_Buffie","buddy_shop_screen_","claw_machine_screen_","buddy_shop_claw_machine_rangerranch","claw_machine_screen_","buddy_shop_claw_machine_rangerranch","claw_machine_rangerranch_screen_hud_bottom_left","claw_machine_rangerranch_screen_hud_bottom_right","claw_machine_rangerranch_bling_screen_hud_bottom_left","claw_machine_rangerranch_bling_screen_hud_bottom_right",
,"Gunslinger","GunslingerBuddyBlingChroma","buddy_icon_colt_skin_bling",,"COINS#1000",,"GEMS#179","ShotgunGirl_Buddy_Starpowers","ShotgunGirlBuddySP","buddy_icon_shelly_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,"Cactus","CactusBuddyBlingChroma","buddy_icon_spike_skin_bling",,,,"GEMS#199","ShotgunGirl_Buddy_Overcharge","ShotgunGirlBuddyHC","buddy_icon_shelly_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","Gunslinger_Buddy_Gadgets","GunslingerBuddyGadget","buddy_icon_colt_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","Gunslinger_Buddy_Starpowers","GunslingerBuddySP","buddy_icon_colt_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","Gunslinger_Buddy_Overcharge","GunslingerBuddyHC","buddy_icon_colt_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","Cactus_Buddy_Gadgets","CactusBuddyGadget","buddy_icon_spike_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","Cactus_Buddy_Starpowers","CactusBuddySP","buddy_icon_spike_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","Cactus_Buddy_Overcharge","CactusBuddyHC","buddy_icon_spike_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
