"Name","PoolTickets","Disabled","Skins","DiscountPercentage","DropRate","TID"
"string","int","Boolean","string","int","int","string"
"Pool1",100,,"TrickshotDudeAprilFools",0,50,
,,,"TrickshotDudeAprilFools",10,30,
,,,"TrickshotDudeAprilFools",20,20,
,,,"GeishaSteamPunk",0,50,
,,,"GeishaSteamPunk",10,30,
,,,"GeishaSteamPunk",20,20,
,,,"AmbusherFantasy",0,50,
,,,"AmbusherFantasy",10,30,
,,,"AmbusherFantasy",20,20,
,,,"EnragerKaijuChroma1",0,50,
,,,"EnragerKaijuChroma1",10,30,
,,,"EnragerKaijuChroma1",20,20,
,,,"EnragerKaijuChroma2",0,50,
,,,"EnragerKaijuChroma2",10,30,
,,,"EnragerKaijuChroma2",20,20,
,,,"EnragerKaiju",0,50,
,,,"EnragerKaiju",10,30,
,,,"EnragerKaiju",20,20,
,,,"PowerLevelerPorcelain",0,50,
,,,"PowerLevelerPorcelain",10,30,
,,,"PowerLevelerPorcelain",20,20,
,,,"CrowHarvest",0,50,
,,,"CrowHarvest",10,30,
,,,"CrowHarvest",20,20,
,,,"RocketGirlSteamPunk",0,50,
,,,"RocketGirlSteamPunk",10,30,
,,,"RocketGirlSteamPunk",20,20,
,,,"PercenterKaiju",0,50,
,,,"PercenterKaiju",10,30,
,,,"PercenterKaiju",20,20,
,,,"ChronomancerKaiju",0,50,
,,,"ChronomancerKaiju",10,30,
,,,"ChronomancerKaiju",20,20,
,,,"MechanicMecha",0,50,
,,,"MechanicMecha",10,30,
,,,"MechanicMecha",20,20,
,,,"BaseballVillain",0,50,
,,,"BaseballVillain",10,30,
,,,"BaseballVillain",20,20,
,,,"BaseballVillainChromaBlue",0,50,
,,,"BaseballVillainChromaBlue",10,30,
,,,"BaseballVillainChromaBlue",20,20,
,,,"BaseballVillainChromaPink",0,50,
,,,"BaseballVillainChromaPink",10,30,
,,,"BaseballVillainChromaPink",20,20,
,,,"BeamerCarnival",0,50,
,,,"BeamerCarnival",10,30,
,,,"BeamerCarnival",20,20,
,,,"AssaultShotgunKaiju",0,50,
,,,"AssaultShotgunKaiju",10,30,
,,,"AssaultShotgunKaiju",20,20,
,,,"SandstormGreekGod",0,50,
,,,"SandstormGreekGod",10,30,
,,,"SandstormGreekGod",20,20,
,,,"StickyBombSandsOfTimes",0,50,
,,,"StickyBombSandsOfTimes",10,30,
,,,"StickyBombSandsOfTimes",20,20,
,,,"SniperJapanChromaBlue",0,50,
,,,"SniperJapanChromaBlue",10,30,
,,,"SniperJapanChromaBlue",20,20,
,,,"SniperJapanChromaGreen",0,50,
,,,"SniperJapanChromaGreen",10,30,
,,,"SniperJapanChromaGreen",20,20,
,,,"SniperJapan",0,50,
,,,"SniperJapan",10,30,
,,,"SniperJapan",20,20,
,,,"HammerDudeSandsOfTimes",0,50,
,,,"HammerDudeSandsOfTimes",10,30,
,,,"HammerDudeSandsOfTimes",20,20,
,,,"HammerDudeSandsOfTimesDark",0,50,
,,,"HammerDudeSandsOfTimesDark",10,30,
