"Name","ParentItemForSkin","Disabled","FileName","ExportName","ExportNameEnemy","ShadowExportName","GroundGlowExportName","LoopingEffect","AlignToTiles","Value","Value2","Value3","Lifetime","StatusEffectAlly","StatusEffectEnemy","DisappearingTime","TriggerRangeSubTiles","TriggerAreaEffect","DestroyAreaEffect","CanBePickedUp","PickUpOnlyBySource","PickUpOnlyByTeam","DestroySpawnCarryableType","FollowSourceDimension","SpawnEffect","ActivateEffect","SCW","SCWEnemy","SCWTopLayer","UseGeneratedShadow","ShowAlways","ForceShow","RandomStartFrame","Layer","ItemClip","ItemReadyEffect","CustomAreaEffect1","CustomAreaEffect2","Effects"
"string","String","boolean","string","string","string","string","string","string","boolean","int","int","int","int","string","string","int","int","string","string","boolean","boolean","boolean","int","boolean","string","string","string","string","string","boolean","boolean","boolean","int","string","string","string","string","string","string"
"Health","","","sc/effects.sc","soul","soul","","pickup_glow_green","health_fx","","16000","","","","","","","4","","","true","","","","","spawn_plasmoid","","","","","","","","","Above","","","","",""
"Speed","","","sc/effects.sc","red_pickup","red_pickup","","pickup_glow_green","health_fx","","300","","","","","","","4","","","true","","","","","spawn_plasmoid","","","","","","","","","Above","","","","",""
"DamageAndSpeed","","","sc/effects.sc","","","","pickup_glow_green","power_up_bottle_sparkle","","100","200","50","","","","","4","","","true","","","","","spawn_buff","","sc3d/item_renamed_power_up_bottle.glb","sc3d/item_renamed_power_up_bottle.glb","","true","","","","Above","","","","",""
"Point","","","sc/effects.sc","blob_pickup","blob_pickup","","pickup_glow","blob_fx","","","","","","","","","4","","","true","","","","","spawn_plasmoid","","","","","","","","","Above","","","","",""
"Corpse","","","sc/effects.sc","soul","soul","","pickup_glow_green","health_fx","","800","","","","","","","4","","","true","","","","","spawn_plasmoid","","","","","","","","","Above","","","","",""
"OrbSpawner","","","","","","","","","","","","","","","","","","","","","","","","","spawn_plasmoid","","sc3d/default_gem_spawn_geo.glb","sc3d/default_gem_spawn_geo.glb","","true","","","","GroundLow","","","","",""
"Mine","","","sc/effects_brawler.sc","bo_def_mine_blue","bo_def_mine_red","","","","","800","1150","","","","","","3","Bo_def_ulti2_area","","true","","","","","bo_def_ulti2_spawn","","","","","","","","","Above","","","","",""
"SupplyCrate","","","sc/effects.sc","red_pickup","red_pickup","","pickup_glow_green","","","","","","","","","","","","","","","","","","spawn_plasmoid","","","","","","","","","Above","","","","",""
"BoxOfMines","","","sc/effects.sc","","","","pickup_glow_green","","","3","6","","","","","","","","","","","","","","spawn_plasmoid","","","","","","","","","Above","","","","",""
"BattleRoyaleBuff","","","sc/effects.sc","","","projectile_shadow","","powerup_fx","","10","400","","","","","","4","","","true","","","","","spawn_plasmoid","","sc3d/item_renamed_showdown_boost.glb","sc3d/item_renamed_showdown_boost.glb","","true","","","","Above","","","","",""
"Money","","","sc/effects.sc","wanted_star_pickup","wanted_star_pickup","","pickup_glow_gold","blob_fx","","1","","","","","","","4","","","true","","","","","spawn_plasmoid","","","","","","","","","Above","","","","",""
"BoxOfBombs","","","sc/effects.sc","","","","pickup_glow_green","","","4","8","","","","","","","","","","","","","","spawn_plasmoid","","","","","","","","","Above","","","","",""
"Bomb","","","sc/effects.sc","grenade_01","grenade_01_red","projectile_shadow","","","","800","300","","","","","","200","SniperBombExplosion","","true","","","","","spawn_sniper_bomb","","","","","","","","","Above","","","","",""
"BoxOfSelfDestructBombs","","","sc/effects.sc","red_pickup","red_pickup","","pickup_glow_green","","","4","40","","","","","","","","","","","","","","spawn_plasmoid","","","","","","","","","Above","","","","",""
