"Name","Logic","Disabled","FileName","OwnExportName","BlueExportName","RedExportName","NeutralExportName","Layer","ExportNameTop","ExportNameTopRed","ExportNameObject","Effect","LoopingEffect","ScaleLoopingEffect","HitEffect","AllowEffectInterrupt","PlaybackType","RotationType","Scale","IgnoreFadeout","SkinnedCustomValue","BlueSCW","RedSCW","SCWLayer"
"string","string","boolean","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean","int","int","int","boolean","int","string","string","string"
"Brock_def_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_def_explosion_blue","","100","","","","","70","","","","",""
"Brock_def_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_def_ultiexp_blue","","100","","","","","100","","","","",""
"Brock_def_Overcharged_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_def_oc_ultiexp_purple","","100","","","","","100","","","","",""
"Brock_002_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_002_explosion_blue","","100","","","","","70","","","","",""
"Brock_002_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_def_ultiexp_blue","","100","","","","","100","","","","",""
"Brock_004_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_004_explosion_blue","","100","","","","","70","","","","",""
"Brock_004_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_004_ultiexp_blue","","100","","","","","100","","","","",""
"Brock_007_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_007_explosion_blue","","100","","","","","70","","","","",""
"Brock_007_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_007_explosion_blue","","100","","","","","100","","","","",""
"Brock_008_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_008_atk_ground","","100","","","","","70","","","","",""
"Brock_008_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_008_ulti","","100","","","","","100","","","","",""
"Brock_009_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_009_atk_explosion_blue","","100","","","","","70","","","","",""
"Brock_009_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_009_explosion_blue","","100","","","","","100","","","","",""
"Brock_010_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_explosion","","100","","","","","70","","","","",""
"Brock_010_ulti_area_red","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_red","","100","","","","","100","","","","",""
"Brock_010_ulti_area_blue","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_blue","","100","","","","","100","","","","",""
"Brock_010_ulti_area_yellow","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_yellow","","100","","","","","100","","","","",""
"Brock_010_ulti_area_pink","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_pink","","100","","","","","100","","","","",""
"Brock_010_ulti_area_black","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_black","","100","","","","","100","","","","",""
"Brock_011_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_011_atk_explosion_blue","","100","","","","","70","","","","",""
