"TID","FI"
"string","string"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Liittymispyyntöä ei voi lähettää. Olet jo joukkueessa."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Liittymispyyntöä ei voi lähettää. Joukkuekutsu odottamassa."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Liittymispyyntöä ei voi lähettää. Sinulla on liittymispyyntö odottamassa."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Liittymispyyntö peruttu."
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","HALUAISIN LIITTYÄ JOUKKUEESEENNE"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>VOITTO</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>TAPPIO</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>TASAPELI</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>SIJOITUS: <RANK>.</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>SIJOITUS: <RANK>.</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>SIJOITUS: <RANK>.</c>"
"TID_BATTLE_LOG_AGE","<TIME> sitten"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","Taso"
"TID_BATTLE_LOG_TVST_VERSUS","vs"
"TID_BATTLE_LOG_TITLE","OTTELULOKI"
"TID_BATTLE_LOG_REPLAY","KATSELE"
"TID_BATTLE_LOG_SURVIVED_FOR","Selviydyit <TIME>."
"TID_BATTLE_LOG_VICTORY_IN","Mahtirämäpään tyrmätty ajassa <TIME>."
"TID_BATTLE_LOG_MVP","TÄHTIPELAAJA"
"TID_BATTLE_LOG_FRIENDLY","YSTÄVYYSOTTELU"
"TID_BATTLE_LOG_PVP","SIJOITUSOTTELU"
"TID_BATTLE_LOG_NO_ENTRIES","EI TIETOJA"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Tämä on robotti."
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Uusinnat tällä hetkellä poissa käytöstä"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Uusinta ei ole vielä saatavilla."
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Uusinta ei ole enää saatavilla."
"TID_PLAYER_XP_LEVEL","TASO"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Kaverin lisääminen epäonnistui."
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Kaverilinkki on vanhentunut!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Kaverin lisääminen epäonnistui. Hänen kaverilistansa on täynnä!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Kaverin lisääminen epäonnistui. Kaverilistasi on jo täynnä!"
"TID_ADD_FRIEND_FAILED_BANNED","Kaverin lisääminen epäonnistui. Pelaaja on estetty!"
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> jäljellä"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> polettia ajassa <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Seuraava palkinto"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Vahvista vaihtoehtoinen palkinto"
"TID_RANK_UP_REWARD_REPLACED_POWER","Yksikään rämäpäistäsi ei voi saada <AMOUNT> tehopistettä.\n\nHaluatko sen sijaan vaihtoehtoisen palkinnon?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Koska sinulla on jo <NAME>, sinulle annetaan vaihtoehtoinen palkinto."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","LÄHETÄ KAVERIPYYNTÖ"
"TID_PLAYER_INFO_REMOVE_FRIEND","Poista kaverilistalta"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","KAVERIPYYNTÖ LÄHETETTY"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","PELINSISÄINEN\nKAVERI"
"TID_POWER_POINTS","TEHOPISTEET"
"TID_HERO_INFO_LEVEL","TEHO"
"TID_HERO_INFO_RANK","ARVO"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","PÄIVITÄ TEHOTASOLLE <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","VAHVISTA NAPAUTTAMALLA UUDELLEEN"
"TID_HERO_INFO_MAX_LEVEL","YLIN TEHOTASO"
"TID_HERO_INFO_MORE_POWER_NEEDED","Kerää lisää tehopisteitä päivittääksesi!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Rämäpäällä ei ole tarpeeksi tehopisteitä."
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Sinulla ei ole tarpeeksi kolikoita."
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Rämäpää on jo korkeimmalla tehotasollaan!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","ENSIMMÄINEN RÄMÄPÄÄ"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Pelaaja ilmiannettu!"
"TID_TOO_MANY_REPORTS_SENT","Päivittäinen ilmiantorajasi on tullut täyteen."
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Odota ennen uuden ilmiannon lähettämistä."
"TID_CHOOSE_CHARACTER","VALITSE RÄMÄPÄÄ"
"TID_ARMOR","ELINVOIMA"
"TID_ARMOR_DESC","Kertoo, paljonko pitkäkestoista vahinkoa rämäpää kestää."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Shellyn haulikko täräyttää järeitä hauleja laajalle alueelle. Hänen supervoimansa kaataa seiniä ja pitää vastustajat loitolla!"
"TID_LONG_RANGE_SHOTGUN","JÄREÄT HAULIT"
"TID_LONG_RANGE_SHOTGUN_DESC","Shellyn rytmikapula tulittaa keskipitkän kantaman ammuksia leveälle alueelle. Mitä enemmän osumia, sitä enemmän tuhoa."
"TID_MEGA_BLASH_ULTI","SUPERPANOS"
"TID_MEGA_BLASH_ULTI_DESC","Shellyn superpanos tuhoaa sekä suojia että vastustajia. Selviytyjät pysykööt loitolla."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt ampuu kaksi tarkkaa luotiryöppyä kahdella revolverillaan. Hänen supervoimansa saa luodit lentämään laajemmalle ja silppuaa suojapaikat."
"TID_RAPID_FIRE","SARJALAUKAUS"
"TID_RAPID_FIRE_DESC","Colt ampuu revolvereistaan kuusi suoraa pitkän kantaman laukausta."
"TID_RAPID_FIRE_ULTI","LUOTISADE"
"TID_RAPID_FIRE_ULTI_DESC","Colt laskee matkaan valtavia luotiryöppyjä, jotka ulottuvat erikoispitkälle ja tuhoavat suojapaikkoja."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bullin haulikko tekee valtavaa tuhoa lähietäisyydeltä. Supervoima saa hänet rynnimään seinienkin läpi ja tyrmäämään vastustajia."
"TID_SHOTGUN_BLAST","KAKSOISPIIPPU"
"TID_SHOTGUN_BLAST_DESC","Bullin kaksipiippuinen haulikko levittää raskasta tuhoa. Sen kantama on lyhyt, joten Bull tulee mielellään lähietäisyydelle."
"TID_CHARGE","HÄRÄN HYÖKKÄYS"
"TID_CHARGE_DESC","Bull ottaa hyökkäysasennon ja raivaa tiensä vastustajien ja esteiden läpi. Hän on aina ollut kovapäistä sorttia!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock tulittaa vastustajiaan räjähtävillä pitkän kantaman raketeilla. Hänen superhyökkäyksensä on raju rakettikeskitys, joka tuhoaa suojapaikkoja."
"TID_FIREWORKS_WEAPON","ROKKIRAKETTI"
"TID_FIREWORKS_WEAPON_DESC","Brockin rokkiraketti lentää pitkälle ja todellakin soi mennessään."
