"Name","IconSWF","IconExportName","Target","MetaType","RequiresCard","Type","Skill","Value","Value2","Rarity","TID","PowerNumberTID","PowerNumber2TID","PowerIcon1ExportName","PowerIcon2ExportName"
"String","String","String","String","int","String","String","String","int","int","String","String","String","String","String","String"
"ShotgunGirl_unlock","sc/ui.sc",,"ShotgunGirl",0,,"unlock",,,,"common",,,,,
"ShotgunGirl_hp","sc/ui.sc","health_icon","ShotgunGirl",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"ShotgunGirl_abi","sc/ui.sc","attack_icon","ShotgunGirl",2,,"skill","ShotgunGirlWeapon",,,"common","TID_LONG_RANGE_SHOTGUN","TID_STAT_DAMAGE_PER_SHELL",,"genicon_damage",
"ShotgunGirl_ulti","sc/ui.sc","ulti_icon","ShotgunGirl",3,,"skill","ShotgunGirlUlti",,,"common","TID_MEGA_BLASH_ULTI","TID_STAT_DAMAGE_PER_SHELL",,"genicon_damage",
"Gunslinger_unlock","sc/ui.sc",,"Gunslinger",0,,"unlock",,,,"common",,,,,
"Gunslinger_hp","sc/ui.sc","health_icon","Gunslinger",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Gunslinger_abi","sc/ui.sc","attack_icon","Gunslinger",2,,"skill","GunslingerWeapon",,,"common","TID_RAPID_FIRE","TID_STAT_DAMAGE_PER_SHOT",,"genicon_damage",
"Gunslinger_ulti","sc/ui.sc","ulti_icon","Gunslinger",3,,"skill","GunslingerUlti",,,"common","TID_RAPID_FIRE_ULTI","TID_STAT_DAMAGE_PER_SHOT",,"genicon_damage",
"BullDude_unlock","sc/ui.sc",,"BullDude",0,,"unlock",,,,"rare",,,,,
"BullDude_hp","sc/ui.sc","health_icon","BullDude",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"BullDude_abi","sc/ui.sc","attack_icon","BullDude",2,,"skill","BullDudeWeapon",,,"common","TID_SHOTGUN_BLAST","TID_STAT_DAMAGE_PER_SHELL",,"genicon_damage",
"BullDude_ulti","sc/ui.sc","ulti_icon","BullDude",3,,"skill","BullDudeUlti",,,"common","TID_CHARGE","TID_STAT_DAMAGE",,"genicon_damage",
"RocketGirl_unlock","sc/ui.sc",,"RocketGirl",0,,"unlock",,,,"rare",,,,,
"RocketGirl_hp","sc/ui.sc","health_icon","RocketGirl",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"RocketGirl_abi","sc/ui.sc","attack_icon","RocketGirl",2,,"skill","RocketGirlWeapon",,,"common","TID_FIREWORKS_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",
"RocketGirl_ulti","sc/ui.sc","ulti_icon","RocketGirl",3,,"skill","RocketGirlUlti",,,"common","TID_FIREWORKS_ULTI","TID_STAT_MISSILE_DAMAGE",,"genicon_damage",
"TrickshotDude_unlock","sc/ui.sc",,"TrickshotDude",0,,"unlock",,,,"super_rare",,,,,
"TrickshotDude_hp","sc/ui.sc","health_icon","TrickshotDude",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"TrickshotDude_abi","sc/ui.sc","attack_icon","TrickshotDude",2,,"skill","TrickshotDudeWeapon",,,"common","TID_TRICKSHOT_DUDE_WEAPON","TID_STAT_DAMAGE_PER_SHOT",,"genicon_damage",
"TrickshotDude_ulti","sc/ui.sc","ulti_icon","TrickshotDude",3,,"skill","TrickshotDudeUlti",,,"common","TID_TRICKSHOT_DUDE_ULTI","TID_STAT_DAMAGE_PER_SHOT",,"genicon_damage",
"Cactus_unlock","sc/ui.sc",,"Cactus",0,,"unlock",,,,"legendary",,,,,
"Cactus_hp","sc/ui.sc","health_icon","Cactus",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Cactus_abi","sc/ui.sc","attack_icon","Cactus",2,,"skill","CactusWeapon",,,"common","TID_CACTUS_WEAPON","TID_STAT_DAMAGE_PER_SPIKE",,"genicon_damage",
"Cactus_ulti","sc/ui.sc","ulti_icon","Cactus",3,,"skill","CactusUlti",,,"common","TID_CACTUS_ULTI","TID_STAT_DAMAGE_PER_SECOND",,"genicon_damage",
"Barkeep_unlock","sc/ui.sc",,"Barkeep",0,,"unlock",,,,"rare",,,,,
"Barkeep_hp","sc/ui.sc","health_icon","Barkeep",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Barkeep_abi","sc/ui.sc","attack_icon","Barkeep",2,,"skill","BarkeepWeapon",,,"common","TID_BARKEEP_WEAPON","TID_STAT_DAMAGE_PER_SECOND",,"genicon_damage",
"Barkeep_ulti","sc/ui.sc","ulti_icon","Barkeep",3,,"skill","BarkeepUlti",,,"common","TID_BARKEEP_ULTI","TID_STAT_DAMAGE_PER_SECOND_EACH",,"genicon_damage",
"Mechanic_unlock","sc/ui.sc",,"Mechanic",0,,"unlock",,,,"rare",,,,,
"Mechanic_hp","sc/ui.sc","health_icon","Mechanic",1,,"hp",,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
