"Name","TID","Disabled","ExistsApple","ExistsAndroid","Diamonds","USD","Order","IconExportName","StarterPackNumber","GatchaBox","XpLevelReq","ValueFactor"
"String","String","boolean","boolean","boolean","int","int","int","string","int","int","int","int"
"com.supercell.laser.gempack0","TID_DIAMOND_PACK_1",,"TRUE","TRUE",30,199,1,"shop_gem_fistful",,,,
"com.supercell.laser.gempack1","TID_DIAMOND_PACK_2",,"TRUE","TRUE",80,499,2,"shop_gem_bagful",,,,
"com.supercell.laser.gempack2","TID_DIAMOND_PACK_3",,"TRUE","TRUE",170,999,3,"shop_gem_satchel",,,,
"com.supercell.laser.gempack3","TID_DIAMOND_PACK_4",,"TRUE","TRUE",350,1999,4,"shop_gem_bucket",,,,
"com.supercell.laser.gempack4","TID_DIAMOND_PACK_5",,"TRUE","TRUE",900,4999,5,"shop_gem_crate",,,,
"com.supercell.laser.gempack5","TID_DIAMOND_PACK_6",,"TRUE","TRUE",1850,9999,6,"shop_gem_safe",,,,
"com.supercell.laser.starterpack1","TID_STARTER_PACK_1",,"TRUE","TRUE",80,199,0,,1,3,5,5
"com.supercell.laser.starterpack2","TID_STARTER_PACK_2",,"TRUE","TRUE",170,499,0,,2,3,15,3
"com.supercell.laser.starterpack3","TID_STARTER_PACK_3",,"TRUE","TRUE",350,999,0,,3,3,25,2
"com.supercell.laser.starterpack4","TID_STARTER_PACK_4",,"TRUE","TRUE",700,1999,0,,4,3,35,2
