"Name","LockedForChronos","Character","PetSkin","CostGems","Priority","TID","Model","BlueTexture","RedTexture","BlueSpecular","RedSpecular","IdleAnim","WalkAnim","PrimarySkillAnim","SecondarySkillAnim","PrimarySkillRecoilAnim","PrimarySkillRecoilAnim2","SecondarySkillRecoilAnim","SecondarySkillRecoilAnim2","ReloadingAnim","PushbackAnim","HappyAnim","HappyLoopAnim","SadAnim","SadLoopAnim","HeroScreenIdleAnim","HeroScreenAnim","HeroScreenLoopAnim","SignatureAnim","EnterAnim","BossAutoAttackAnim","BossAutoAttackRecoilAnim","BossAutoAttackRecoilAnim2","IdleFace","WalkFace","HappyFace","HappyLoopFace","SadFace","SadLoopFace","HeroScreenIdleFace","HeroScreenFace","HeroScreenLoopFace","SignatureFace","HeadRotationIngame","HatScaleIngame","PetInSameSprite","MainAttackProjectile","UltiProjectile","MainAttackEffect","UltiAttackEffect"
"String","boolean","String","String","int","int","string","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","int","int","boolean","String","String","string","string"
"BanditGirlDefault",,"ShotgunGirl",,,,,"shelly_geo.scw:body+gun+head","shelly_tex.pvr","shelly_tex.pvr","shelly_tex.pvr","shelly_tex.pvr","ShellyIdle","ShellyWalk","ShellyPrimary","ShellySecondary","ShellyRecoil",,"ShellyRecoil",,"ShellyReload","ShellyPushback","ShellyWin","ShellyWinloop","ShellyLose","ShellyLoseloop","ShellyIdle","ShellyWin","ShellyWinloop","ShellyWin","ShellyIdle",,,,"ShellyFace","ShellyFace","ShellyFace","ShellyFace","ShellyFace","ShellyFace","ShellyFace","ShellyFace","ShellyFace","ShellyFace",0,100,,,,,
"GunSlingerDefault",,"Gunslinger",,,,,"gunslinger_geo.scw:male_eyebrows003+male_gunslingerbody1+male_guns1+male_gunslingerhead1","gunslinger_color.pvr","gunslinger_color.pvr","gunslinger_color.pvr","gunslinger_color.pvr","GunslingerIdle","GunslingerWalk","GunslingerPrimary","GunslingerSecondary","GunslingerRecoil","GunslingerRecoil2","GunslingerRecoil","GunslingerRecoil2","GunslingerReload","GunslingerPushback","GunslingerWin","GunslingerWinloop","GunslingerLose","GunslingerLoseloop","GunslingerIdle","GunslingerWin","GunslingerWinloop","GunslingerWin","GunslingerIdle",,,,"ColtFace","ColtFace","ColtFace","ColtFace","ColtFace","ColtFace","ColtFace","ColtFace","ColtFace","ColtFace",0,100,,,,,
"GunSlingerRockstar",,"Gunslinger",,30,1,"TID_GUNSLINGER_ROCKSTAR_SKIN","gunslinger_geo.scw:male_eyebrows003+male_gunslingerbody1+male_guns1+male_gunslingerhead1","gunslingerRockstar_d_01.pvr","gunslingerRockstar_d_01.pvr","gunslingerRockstar_d_01.pvr","gunslingerRockstar_d_01.pvr","GunslingerIdle","GunslingerWalk","GunslingerPrimary","GunslingerSecondary","GunslingerRecoil","GunslingerRecoil2","GunslingerRecoil","GunslingerRecoil2","GunslingerReload","GunslingerPushback","GunslingerWin","GunslingerWinloop","GunslingerLose","GunslingerLoseloop","GunslingerIdle","GunslingerWin","GunslingerWinloop","GunslingerWin","GunslingerIdle",,,,"ColtFace","ColtFace","ColtFace","ColtFace","ColtFace","ColtFace","ColtFace","ColtFace","ColtFace","ColtFace",0,100,,,,,
"BullGuyDefault",,"BullDude",,,,,"bull_rock_geo.scw:body+gun+head","bull_rock_tex.pvr","bull_rock_tex.pvr","bull_rock_tex.pvr","bull_rock_tex.pvr","BullRockIdle","BullRockWalk","BullRockPrimary","BullRockSecondary","BullRockRecoil",,"BullRockRecoil",,"BullRockReload","BullRockPushback","BullRockWin","BullRockWinloop","BullRockLose","BullRockLoseloop","BullRockIdle","BullRockWin","BullRockWinloop","BullRockWin","BullRockIdle",,,,"BullFace","BullFace","BullFace","BullFace","BullFace","BullFace","BullFace","BullFace","BullFace","BullFace",0,100,,,,,
"RocketGirlDefault",,"RocketGirl",,,,,"brock_geo.scw:male_eyebrows004+brock_body1+brock_weapon1+brock_head1+brock_glasses1+brock_hat1","brock_d_01_blue.pvr","brock_d_01.pvr","brock_d_01.pvr","brock_d_01.pvr","BrockIdle","BrockWalk","GunslingerPrimary","BrockSecondary","BrockRecoil",,"BrockRecoil2",,"BrockIdle","BrockIdle","BrockWin","BrockWinloop","BrockLose","BrockLoseloop","BrockIdle","BrockWin","BrockWinloop","BrockWin","BrockIdle",,,,,,,,,,,,,,0,100,,,,,
"RocketGirlBeach",,"RocketGirl",,30,1,"TID_ROCKET_BEACH_SKIN","brock_geo.scw:male_eyebrows004+brock_bodynoboots+brock_weapon1+brock_head1+brock_glasses1+brock_hat1","brockBeach_d_01_blue.pvr","brockBeach_d_01.pvr","brockBeach_d_01.pvr","brockBeach_d_01.pvr","BrockIdle","BrockWalk","GunslingerPrimary","BrockSecondary","BrockRecoil",,"BrockRecoil2",,"BrockIdle","BrockIdle","BrockWin","BrockWinloop","BrockLose","BrockLoseloop","BrockIdle","BrockWin","BrockWinloop","BrockWin","BrockIdle",,,,,,,,,,,,,,0,100,,,,,
"TntGuyDefault",,"TntDude",,,,,"tntguy_geo.scw:male_eyebrows006+tnt_barrel1+tnt_body1+tnt_boots1+tnt_dynamite1+tnt_dynamite1_02+tnt_gloves1+tnt_hat1+tnt_head1","tnt_d_01_blue.pvr","tnt_d_01.pvr","tnt_d_01.pvr","tnt_d_01.pvr","TntguyIdle","TntguyWalk","TntguyPrimary","TntguySecondary","TntguyRecoil",,"TntguyUlti",,"TntguyReload","TntguyPushback","TntguyWin","TntguyWinloop","TntguyLose","TntguyLoseloop","TntguyIdle","TntguyWin","TntguyWinloop","TntguyWin","TntguyIdle",,,,,,,,,,,,,,0,100,,,,,
"LuchadorDefault",,"Luchador",,,,,"louchador_geo.scw:body+buckle1","louchador_tex.pvr","louchador_tex.pvr","louchador_tex.pvr","louchador_tex.pvr","LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil",,,"LouchadorPushback","LouchadorWin","LouchadorWinloop","LouchadorLose","LouchadorLoseloop","LouchadorIdle","LouchadorWin","LouchadorWinloop","LouchadorWin","LouchadorIdle",,,,,,,,,,,,,,0,100,,,,,
"TurretDefault",,"MechanicTurret",,,,,"turret_jessie_geo.scw","dogturret.pvr","dogturret.pvr","dogturret.pvr","dogturret.pvr","Turret","Turret","Turret","Turret","TurretAttack",,"Turret",,"Turret",,"TurretSpawn","TurretIdle",,"TurretIdle","Turret","TurretSpawn","TurretIdle",,"TurretIdle",,,,,,,,,,,,,,0,100,,,,,
