"Name","TID","MinXPLevel","MaxXPLevel","FileName","ExportName"
"String","String","int","int","String","String"
1,"TID_HINT_0",1,999,,
2,"TID_HINT_1",1,999,,
3,"TID_HINT_2",1,999,,
4,"TID_HINT_3",1,999,,
5,"TID_HINT_4",1,999,,
6,"TID_HINT_5",7,999,,
7,"TID_HINT_6",7,999,,
8,"TID_HINT_7",20,999,,
9,"TID_HINT_8",20,999,,
10,"TID_HINT_9",20,999,,
11,"TID_HINT_10",1,999,,
12,"TID_HINT_11",1,999,,
13,"TID_HINT_12",3,999,,
14,"TID_HINT_13",3,999,,
15,"TID_HINT_14",3,999,,
16,"TID_HINT_15",3,999,,
17,"TID_HINT_16",3,999,,
18,"TID_HINT_17",3,999,,
19,"TID_HINT_18",3,999,,
20,"TID_HINT_19",3,999,,
21,"TID_HINT_20",3,999,,
22,"TID_HINT_21",1,999,,
23,"TID_HINT_22",1,999,,
24,"TID_HINT_23",3,999,,
25,"TID_HINT_24",3,999,,
26,"TID_HINT_25",3,999,,
