"Name","RefCount"
"string","int"
"sc/effects.sc",3107
"sc/effects_brawler.sc",40829
"sc/effects_brawler2.sc",688
"sc/effects_brawler_8bit.sc",132
"sc/effects_brawler_alli.sc",149
"sc/effects_brawler_amber.sc",333
"sc/effects_brawler_angelo.sc",147
"sc/effects_brawler_ash.sc",140
"sc/effects_brawler_barley.sc",120
"sc/effects_brawler_bea.sc",78
"sc/effects_brawler_belle.sc",140
"sc/effects_brawler_berry.sc",134
"sc/effects_brawler_bibi.sc",69
"sc/effects_brawler_bo.sc",106
"sc/effects_brawler_bolt.sc",38
"sc/effects_brawler_bonnie.sc",113
"sc/effects_brawler_brock.sc",207
"sc/effects_brawler_bull.sc",173
"sc/effects_brawler_buster.sc",17
"sc/effects_brawler_buzz.sc",84
"sc/effects_brawler_byron.sc",131
"sc/effects_brawler_carl.sc",98
"sc/effects_brawler_charlie.sc",107
"sc/effects_brawler_chester.sc",122
"sc/effects_brawler_chuck.sc",73
"sc/effects_brawler_clancy.sc",64
"sc/effects_brawler_colette.sc",124
"sc/effects_brawler_colt.sc",60
"sc/effects_brawler_cordelius.sc",35
"sc/effects_brawler_cosmo.sc",36
"sc/effects_brawler_crow.sc",291
"sc/effects_brawler_damian.sc",156
"sc/effects_brawler_darryl.sc",129
"sc/effects_brawler_doug.sc",160
"sc/effects_brawler_draco.sc",39
"sc/effects_brawler_dynamike.sc",146
"sc/effects_brawler_edgar.sc",126
"sc/effects_brawler_elprimo.sc",125
"sc/effects_brawler_emz.sc",71
"sc/effects_brawler_eve.sc",56
"sc/effects_brawler_fang.sc",138
"sc/effects_brawler_finx.sc",239
"sc/effects_brawler_frank.sc",210
"sc/effects_brawler_gale.sc",141
"sc/effects_brawler_gene.sc",49
"sc/effects_brawler_gigi.sc",134
"sc/effects_brawler_glowbert.sc",129
"sc/effects_brawler_gray.sc",136
"sc/effects_brawler_griff.sc",208
"sc/effects_brawler_grom.sc",78
"sc/effects_brawler_gus.sc",269
"sc/effects_brawler_hank.sc",63
"sc/effects_brawler_jacky.sc",46
"sc/effects_brawler_jaeyong.sc",186
"sc/effects_brawler_janet.sc",116
"sc/effects_brawler_jessie.sc",80
"sc/effects_brawler_juju.sc",103
"sc/effects_brawler_kaze.sc",142
"sc/effects_brawler_kenji.sc",120
"sc/effects_brawler_kit.sc",79
"sc/effects_brawler_koji.sc",75
"sc/effects_brawler_larrylawrie.sc",82
"sc/effects_brawler_leon.sc",152
"sc/effects_brawler_lily.sc",184
"sc/effects_brawler_lola.sc",69
"sc/effects_brawler_lou.sc",77
"sc/effects_brawler_lumi.sc",203
"sc/effects_brawler_maisie.sc",32
"sc/effects_brawler_mandy.sc",160
"sc/effects_brawler_max.sc",114
"sc/effects_brawler_meeple.sc",50
"sc/effects_brawler_meg.sc",603
"sc/effects_brawler_melodie.sc",158
"sc/effects_brawler_mico.sc",135
"sc/effects_brawler_mina.sc",363
"sc/effects_brawler_moe.sc",135
"sc/effects_brawler_mortis.sc",79
"sc/effects_brawler_mrp.sc",145
"sc/effects_brawler_najia.sc",134
"sc/effects_brawler_nani.sc",146
"sc/effects_brawler_nita.sc",138
"sc/effects_brawler_ollie.sc",155
"sc/effects_brawler_otis.sc",107
"sc/effects_brawler_pam.sc",10
"sc/effects_brawler_pearl.sc",56
"sc/effects_brawler_penny.sc",159
"sc/effects_brawler_pierce.sc",154
"sc/effects_brawler_piper.sc",385
"sc/effects_brawler_poco.sc",188
"sc/effects_brawler_rico.sc",205
"sc/effects_brawler_rosa.sc",14
"sc/effects_brawler_rt.sc",46
"sc/effects_brawler_ruffs.sc",36
"sc/effects_brawler_sam.sc",59
"sc/effects_brawler_sandy.sc",56
"sc/effects_brawler_shade.sc",203
"sc/effects_brawler_shelly.sc",88
"sc/effects_brawler_sirius.sc",63
"sc/effects_brawler_spike.sc",193
"sc/effects_brawler_sprout.sc",227
"sc/effects_brawler_squeak.sc",23
"sc/effects_brawler_stella.sc",68
"sc/effects_brawler_stu.sc",31
"sc/effects_brawler_surge.sc",115
"sc/effects_brawler_tara.sc",194
"sc/effects_brawler_tick.sc",149
"sc/effects_brawler_trunk.sc",323
"sc/effects_brawler_vince.sc",90
"sc/effects_brawler_wendy.sc",117
"sc/effects_brawler_willow.sc",115
"sc/effects_brawler_ziggy.sc",128
"sc/ui.sc",36
