"TID","TR"
"string","string"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Katılma isteği gönderilemiyor. Zaten bir takımdasın."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Katılma isteği gönderilemiyor. Beklemede olan bir takım davetin var."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Katılma isteği gönderilemiyor. Beklemede olan bir katılma isteğin var."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Katılma isteği iptal edildi"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","TAKIMINIZA KATILMAK İSTİYORUM"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>ZAFER</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>YENİLGİ</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>BERABERE</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00><RANK>. SIRA</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000><RANK>. SIRA</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc><RANK>. SIRA</c>"
"TID_BATTLE_LOG_AGE","<TIME> önce"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","SVY"
"TID_BATTLE_LOG_TVST_VERSUS","X"
"TID_BATTLE_LOG_TITLE","SAVAŞ GÜNLÜĞÜ"
"TID_BATTLE_LOG_REPLAY","TEKRAR"
"TID_BATTLE_LOG_SURVIVED_FOR","<TIME> hayatta kaldın"
"TID_BATTLE_LOG_VICTORY_IN","Büyük savaşçıyı <TIME> içinde yok ettin"
"TID_BATTLE_LOG_MVP","YILDIZ OYUNCU"
"TID_BATTLE_LOG_FRIENDLY","DOSTLUK SAVAŞI"
"TID_BATTLE_LOG_PVP","DERECELİ SAVAŞ"
"TID_BATTLE_LOG_NO_ENTRIES","GİRİŞ YOK"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Bu bir bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Tekrar özelliği şu anda devre dışı"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Henüz izlenebilecek tekrar yok"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Tekrar artık yok!"
"TID_PLAYER_XP_LEVEL","SEVİYE"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
