"TID","EN"
"string","string"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Cannot send join request. You are already in a team"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Cannot send join request. You have a pending team invite"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Cannot send join request. You have a pending join request"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Join request canceled"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","I WANT TO JOIN YOUR TEAM"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>VICTORY</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>DEFEAT</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>DRAW</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>RANK <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>RANK <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>RANK <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> ago"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","LVL"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","BATTLE LOG"
"TID_BATTLE_LOG_REPLAY","REPLAY"
"TID_BATTLE_LOG_SURVIVED_FOR","Survived for <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Defeated Big Brawler in <TIME>"
"TID_BATTLE_LOG_MVP","STAR PLAYER"
"TID_BATTLE_LOG_FRIENDLY","FRIENDLY"
"TID_BATTLE_LOG_PVP","RANKED"
"TID_BATTLE_LOG_NO_ENTRIES","NO ENTRIES"
"TID_BATTLE_LOG_THIS_IS_A_BOT","This is a bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Replays currently disabled"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","No replay available yet"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Replay no longer available!"
"TID_PLAYER_XP_LEVEL","LEVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Failed to add friend"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Friend link has expired!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Unable to add friend, their friend list is full!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Unable to add friend, your friend list is full!"
"TID_ADD_FRIEND_FAILED_BANNED","Unable to add friend, user is banned!"
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> left"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> tokens in <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Next Reward"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Confirm Alternative Reward"
"TID_RANK_UP_REWARD_REPLACED_POWER","None of your Brawlers can be selected to receive <AMOUNT> power points.\n\nClaim the alternative reward instead?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Since you already have <NAME> you will get the alternative reward."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","Send friend request"
"TID_PLAYER_INFO_REMOVE_FRIEND","Remove from friend list"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","Friend request sent"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","in-game\nfriend"
"TID_POWER_POINTS","POWER POINTS"
"TID_HERO_INFO_LEVEL","POWER"
"TID_HERO_INFO_RANK","RANK"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","UPGRADE TO POWER LEVEL <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","TAP AGAIN TO CONFIRM"
"TID_HERO_INFO_MAX_LEVEL","MAX POWER"
"TID_HERO_INFO_MORE_POWER_NEEDED","Collect more power to upgrade!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Brawler does not have enough Power Points"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","You don't have enough Coins!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Brawler already at maximum power level!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","STARTING BRAWLER"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Player reported!"
"TID_TOO_MANY_REPORTS_SENT","Your daily reporting limit has been exceeded!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Please wait before sending another report"
"TID_CHOOSE_CHARACTER","CHOOSE BRAWLER"
"TID_ARMOR","HEALTH"
"TID_ARMOR_DESC","Represents how much sustained damage the Brawler can absorb before going down."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Shelly's spread-fire shotgun blasts the other team with buckshot. Her Super destroys cover and keeps her opponents at a distance!"
"TID_LONG_RANGE_SHOTGUN","BUCKSHOT"
"TID_LONG_RANGE_SHOTGUN_DESC","Shelly's boomstick fires a wide spread of pellets to a medium range. The more pellets hit, the greater the damage."
"TID_MEGA_BLASH_ULTI","SUPER SHELL"
"TID_MEGA_BLASH_ULTI_DESC","Shelly's Super Shell obliterates both cover and enemies. Any survivors get knocked back."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt fires an accurate burst of bullets from his dual revolvers. His Super shreds cover and extends the bullet barrage!"
"TID_RAPID_FIRE","SIX-SHOOTERS"
"TID_RAPID_FIRE_DESC","Colt shoots six straight long-range shots out of his revolvers."
"TID_RAPID_FIRE_ULTI","BULLET STORM"
"TID_RAPID_FIRE_ULTI_DESC","Colt rattles off a massive burst of bullets that shoot extra far and destroy cover."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull deals massive damage up close with his shotgun. For his Super move, he charges through barriers and knocks back enemies!"
"TID_SHOTGUN_BLAST","DOUBLE-BARREL"
"TID_SHOTGUN_BLAST_DESC","Bull's double-barreled shotgun deals heavy damage. It has very short range, so Bull likes to get up close and personal."
"TID_CHARGE","BULLDOZER"
"TID_CHARGE_DESC","Bull puts his head down and bulldozes through opponents and obstacles. He's always been headstrong!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock fires a long-range, explosive rocket at enemies. His Super is a ballistic rocket barrage that destroys cover!"
"TID_FIREWORKS_WEAPON","ROCKIN' ROCKET"
"TID_FIREWORKS_WEAPON_DESC","Brock lets fly with a single Rockin' Rocket that really goes the distance."
"TID_FIREWORKS_ULTI","ROCKET RAIN"
"TID_FIREWORKS_ULTI_DESC","Brock fires a rocket barrage that takes out enemies and obstacles. He only wants to see you bathing in the Rocket Rain!"
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike lobs two explosive sticks of dynamite. His Super attack is a whole barrel full of dynamite that blows up cover!"
"TID_MORTAR","SHORT FUSE"
"TID_MORTAR_DESC","Mike tosses two sticks of dynamite, passing over any obstacles in the way. The fuses are cut as short as Mike's explosive temper!"
"TID_MORTAR_ULTI","BIG BARREL O' BOOM"
"TID_MORTAR_ULTI_DESC","A big-bada-barrel of dynamite blows up cover. Any surviving enemies get knocked back on impact!"
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo throws a flurry of punches at his enemies. His Super is a leaping elbow drop that deals damage to all caught underneath!"
"TID_LUCHADOR_WEAPON","FISTS OF FURY"
"TID_LUCHADOR_WEAPON_DESC","El Primo fires off a furious flurry of four fiery fists. That's a spicy jalapeno knuckle sandwich!"
"TID_LUCHADOR_ULTI","FLYING ELBOW DROP"
"TID_LUCHADOR_ULTI_DESC","Leaping high, El Primo drops an Intergalactic Elbow that knocks around enemies and destroys cover!"
"TID_TRICKSHOT_DUDE","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Ricochet fires a burst of bullets that bounce off walls. His Super burst is a long barrage of bouncy bullets that pierce targets!"
"TID_TRICKSHOT_DUDE_WEAPON","BOUNCY BULLETS"
