"TID","ID"
"string","string"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Gagal mengirim permintaan bergabung. Kamu sudah masuk tim"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Gagal mengirim permintaan bergabung. Ada undangan tim yang belum diterima"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Gagal mengirim permintaan bergabung. Ada permintaan bergabung yang belum diterima"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Permintaan bergabung dibatalkan"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","SAYA INGIN GABUNG TIMMU"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>MENANG</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>KALAH</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>SERI</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>PERINGKAT <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>PERINGKAT <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>PERINGKAT <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> yang lalu"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","LVL"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","LOG LAGA"
"TID_BATTLE_LOG_REPLAY","TAYANGAN ULANG"
"TID_BATTLE_LOG_SURVIVED_FOR","Bertahan selama <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Mengalahkan Jagoan Besar dalam <TIME>"
"TID_BATTLE_LOG_MVP","MVP"
"TID_BATTLE_LOG_FRIENDLY","PERSAHABATAN"
"TID_BATTLE_LOG_PVP","BERPERINGKAT"
"TID_BATTLE_LOG_NO_ENTRIES","TIDAK ADA ENTRI"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Ini adalah bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Tayangan ulang tidak aktif"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Tidak ada tayangan ulang tersedia"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Tayangan ulang tidak lagi tersedia!"
"TID_PLAYER_XP_LEVEL","LEVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Gagal menambah teman"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Tautan teman telah kedaluwarsa!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Tidak dapat menambahkan teman, daftar temannya sudah penuh!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Tidak dapat menambahkan teman, daftar temanmu sudah penuh!"
"TID_ADD_FRIEND_FAILED_BANNED","Tidak dapat menambahkan teman, pemain diblokir!"
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> tersisa"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> token dalam <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Hadiah Berikutnya"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Konfirmasi Hadiah Alternatif"
"TID_RANK_UP_REWARD_REPLACED_POWER","Tidak ada Jagoan milikmu yang bisa dipilih untuk mendapatkan <AMOUNT> Poin Kekuatan.\n\nKlaim hadiah alternatif?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Karena kamu sudah memiliki <NAME>, kamu akan mendapatkan hadiah alternatif."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","Minta berteman"
"TID_PLAYER_INFO_REMOVE_FRIEND","Hapus dari daftar teman"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","Permintaan berteman terkirim"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","teman\ndalam game"
"TID_POWER_POINTS","POIN KEKUATAN"
"TID_HERO_INFO_LEVEL","LEVEL"
"TID_HERO_INFO_RANK","KELAS"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","TINGKATKAN KE LEVEL KEKUATAN <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","KETUK LAGI UNTUK KONFIRMASI"
"TID_HERO_INFO_MAX_LEVEL","KEKUATAN MAKS"
"TID_HERO_INFO_MORE_POWER_NEEDED","Kumpulkan lebih banyak Poin Kekuatan untuk meningkatkan!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Jagoan tidak memiliki cukup Poin Kekuatan"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Koinmu tidak cukup!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Level kekuatan Jagoan sudah maksimal!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","JAGOAN AWAL"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Pemain dilaporkan!"
"TID_TOO_MANY_REPORTS_SENT","Batas laporan harian sudah tercapai!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Harap tunggu sebelum mengirimkan laporan lain"
"TID_CHOOSE_CHARACTER","PILIH JAGOAN"
"TID_ARMOR","KESEHATAN"
"TID_ARMOR_DESC","Mewakili jumlah kerusakan yang bisa ditanggung Jagoan sebelum tumbang."
"TID_SHOTGUN_GIRL","SHELLY"
