"TID","RU"
"string","string"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Нельзя отправить запрос на вступление. Ты уже в команде."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Нельзя отправить запрос на вступление. Ты не рассмотрел приглашение в команду."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Нельзя отправить запрос на вступление. Другой твой запрос ожидает рассмотрения."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Запрос на вступление отменён."
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","Я ХОЧУ ВСТУПИТЬ В ВАШУ КОМАНДУ"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>ПОБЕДА</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>ПОРАЖЕНИЕ</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>НИЧЬЯ</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>РАНГ: <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>РАНГ: <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>РАНГ: <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> назад"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","УР."
"TID_BATTLE_LOG_TVST_VERSUS","ПРОТИВ"
"TID_BATTLE_LOG_TITLE","ДАННЫЕ БОЯ"
"TID_BATTLE_LOG_REPLAY","ПОВТОР"
"TID_BATTLE_LOG_SURVIVED_FOR","Время выживания: <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Мегабоец побеждён за <TIME>"
"TID_BATTLE_LOG_MVP","ЗВЁЗДНЫЙ ИГРОК"
"TID_BATTLE_LOG_FRIENDLY","ДРУЖЕСКИЙ"
"TID_BATTLE_LOG_PVP","РАНГОВЫЙ"
"TID_BATTLE_LOG_NO_ENTRIES","НЕТ ЗАПИСЕЙ"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Это бот"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Повторы в настоящее время отключены"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Повторов пока нет"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Повтор больше недоступен!"
"TID_PLAYER_XP_LEVEL","УРОВЕНЬ"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Не удалось добавить друга"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Ссылка для приглашения друга больше не действует!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Не удалось добавить друга, список друзей пользователя переполнен!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Не удалось добавить друга, твой список друзей переполнен!"
"TID_ADD_FRIEND_FAILED_BANNED","Не удалось добавить друга, пользователь заблокирован!"
"TID_KEYPOOL_KEYS_REMAINING","Ещё <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> жетонов через <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Следующая награда"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Подтверждение получения альтернативной награды"
"TID_RANK_UP_REWARD_REPLACED_POWER","Ни один боец не может быть выбран для получения <AMOUNT> очков силы.\n\nВозьмёшь вместо этого альтернативную награду?"
"TID_RANK_UP_REWARD_REPLACED_HERO","У тебя уже есть <NAME>, поэтому ты получишь альтернативную награду."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","ПРЕДЛОЖИТЬ ДРУЖИТЬ"
"TID_PLAYER_INFO_REMOVE_FRIEND","Удалить из списка друзей"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","Предложение отправлено"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","друг\nв игре"
"TID_POWER_POINTS","ОЧКИ СИЛЫ"
"TID_HERO_INFO_LEVEL","СИЛА"
"TID_HERO_INFO_RANK","РАНГ"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","ПОВЫСИТЬ УРОВЕНЬ СИЛЫ ДО <LVL>-ГО"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","НАЖМИ СНОВА ДЛЯ ПОДТВЕРЖДЕНИЯ"
"TID_HERO_INFO_MAX_LEVEL","МАКСИМАЛЬНАЯ СИЛА"
"TID_HERO_INFO_MORE_POWER_NEEDED","Собери больше очков силы, чтобы улучшить!"
