"TID","CN"
"string","string"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","无法发送组队请求，您已经在小队了。"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","无法发送组队请求，您还有组队请求等待处理。"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","无法发送组队请求，您之前的组队请求正在等待答复。"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","组队请求已取消"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","我想加入你的小队"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>胜利</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>战败</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>平局</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>第<RANK>名</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>第<RANK>名</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>第<RANK>名</c>"
"TID_BATTLE_LOG_AGE","<TIME>前"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","等级"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","对战日志"
"TID_BATTLE_LOG_REPLAY","回放"
"TID_BATTLE_LOG_SURVIVED_FOR","存活时间：<TIME>"
"TID_BATTLE_LOG_VICTORY_IN","击败天选英雄耗时<TIME>"
"TID_BATTLE_LOG_MVP","全场最佳"
"TID_BATTLE_LOG_FRIENDLY","友谊赛"
"TID_BATTLE_LOG_PVP","排位赛"
"TID_BATTLE_LOG_NO_ENTRIES","无记录"
"TID_BATTLE_LOG_THIS_IS_A_BOT","这是机器人"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","回放暂不可用"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","尚无可观看的回放"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","抱歉，已无法回放！"
"TID_PLAYER_XP_LEVEL","等级"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","添加好友失败"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","好友链接已失效！"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","无法添加好友，对方好友列表已满！"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","无法添加好友，您的好友列表已满！"
"TID_ADD_FRIEND_FAILED_BANNED","无法添加好友，该玩家已被封禁！"
"TID_KEYPOOL_KEYS_REMAINING","剩余<VALUE>"
"TID_KEYPOOL_NEXT_PATCH","<TIME>后+<KEYS>奖章"
"TID_TOP_HUD_NEXT_REWARD","下一奖励"
"TID_RANK_UP_REWARD_REPLACED_TITLE","确认领取替代奖励"
"TID_RANK_UP_REWARD_REPLACED_POWER","没有英雄可接收这<AMOUNT>战力能量奖励。\n\n是否领取替代奖励？"
"TID_RANK_UP_REWARD_REPLACED_HERO","由于您已解锁<NAME>，您将获得替代奖励。"
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","发送好友请求"
"TID_PLAYER_INFO_REMOVE_FRIEND","从好友列表中移除"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","已发送好友请求"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","游戏内好友"
"TID_POWER_POINTS","战力能量"
"TID_HERO_INFO_LEVEL","等级"
"TID_HERO_INFO_RANK","荣誉"
