"TID","AR"
"string","string"
"TID_BULL_DUDE_DESC","بوفالو بلانکو مثل یک عروسک بوفالو می‌مونه. یک بوفالو که یک تفنگ شکاری دولول داره."
"TID_FIREWORKS_WEAPON_DESC","براک با یه راکت پر قدرت تا اون دور دورا پرواز می‌کنه."
"TID_TNT_DUDE_DESC","داینامایک یک معدنچی بازنشسته است که دلش واسه شغل محبوبش تنگ می‌شه: منفجر کردن همه چی!"
"TID_LUCHADOR_DESC","یک شهاب سنگ از فضا به سر ال‌پریمو برخورد کرده و بهش قدرت ابر انسانی و جذبه بی بدیل داده."
"TID_TRICKSHOT_DUDE_DESC","آدم‌آهنی که سابقا شغلش آب‌حوض کشی بوده، با اومدن مدل‌های جدید از رده خارج شده. ریوچت با مهارت عجیبش در محاسبه زوابا، می‌خواد جنگجوی بزرگی بشه."
"TID_BARKEEP_DESC","بارلی فقط می‌خواد یک کافه‌چی معمولی باشه. ولی کافیه رو اعصابش راه بری، از گوش‌هاش بخار بیرون می‌زنه و بطری‌ها تو هوا به پرواز درمیان!"
"TID_MECHANIC_DESC","جانکر جسی یک دختر روستایی نابغه است که از وسایل اوراقی و قراضه برجک اسلحه می‌سازه."
"TID_SHAMAN_DESC","«نیکیتا ریزه» آخرین شمن از نسل خودشه. حیوانی که روحش رو در خودش جا می‌ده، یک بچه خرس بزرگه."
"TID_UNDERTAKER_DESC","مورتیس گور کن مردم رو میذاره توی تابوت. بر خلاف قامت دراز و نحیف و سن و بالاش با سرعت باورنکردنی حرکت می‌کنه."
"TID_UNDERTAKER_ULTI_DESC","مورتیس حجمی از خفاش‌های خون‌آشام رو فرا می‌خونه که در حالیکه جون به مورتیس برمی‌گرده، خفاش‌ها جون رو از تن دشمن‌ها می‌مکن. چندشه!‌"
"TID_CROW_DESC","این موجود اسرارآمیز یکدفعه در شهر پیداش شد. هیچ کس جرات نمی‌کنه دم پرش بچرخه."
"TID_CROW_ULTI_DESC","کلاغ پرواز می‌کنه به سمت آسمون. هم در حال اوج گرفتن و هم در وقت فرود اومدن، حلقه‌ای از دشنه سمی دور خودش ایجاد می‌کنه."
"TID_DEAD_MARIACHI_DESC","بعد از اینکه همه هواداراش رفتن سراغ گروه رقیب، همه هم و غم پوکو شده پیدا کردن ملودی مناسب که هواداراش رو برگردونه."
"TID_DEAD_MARIACHI_WEAPON_DESC","پوکو به گیتار مکزیکیش زخمه می‌زنه و امواج ویرانگری به اطراف می‌فرسته. هر دشمنی که موج بهش اصابت کنه، آسیب می‌بینه."
"TID_BOW_DUDE_DESC","باو، شکارچی عقاب و بهترین کمانداریه که قبیله به خودش دیده. تیرهاش انفجارین!"
"TID_BOW_DUDE_WEAPON_DESC","باو حجمی از تیرهای انفجاری رو از کمان رها می‌کنه که همچون چنگال عقاب، دشمنان رو از هم می‌دره."
"TID_SNIPER_DESC","پایپر پر طلا زاده همیشه شمع هر محفله. خیلی با کلاس و خانمه. تو کلاس تک تیراندازی هم شاگرد اوله."
"TID_SNIPER_WEAPON_DESC","از نوک چترش تیری شلیک می‌کنه که هر چی دورتر پرواز می‌کنه، سرعتش بیشتر می‌شه!"
"TID_SNIPER_ULTI_DESC","پایپر از دست خواستگارهای سمج فرار می‌کنه. هر چند براشون یک یادگاری میگذاره: با دامنش سه تا نارنجک فعال رو زمین پهن می‌کنه!"
"TID_MINIGUN_DUDE_DESC","پَم یک شیر زنه که نظم رو در خانواده عریض و طویل جانکر برقرار می‌کنه."
"TID_BONE_THROWER_DESC","هیچی این هفت‌تیر‌کش کوچیک نیست! خیلی تو کار با مسلسل عظیمش ماهره. میتونه هر تعداد آدم بد که دلش می‌خواد لت و پار کنه. (سرعت حرکت آرام، ایمن در برابر هل به عقب)"
"TID_BONE_THROWER_WEAPON_DESC","یک جوری راه میره و بیخیال رگباری شلیک می‌کنه که بقیه فکر می‌کنن استفاده از این سلاح ماشینی ساده است!"
"TID_BONE_THROWER_ULTI_DESC","توی یک دعوایی که آدما رو هم اسلحه می‌کشن، ممکنه یکس، یک جاییش خراش برداره. مخزن پانسمان همه گروه رو برای جنگ حاضر و آماده نگه می‌داره!"
"TID_BLACK_HOLE_DESC","پیشونی نوشتت چیه؟ این موجود اسرارآمیز از سرزمین‌های دور دست اومده تا فالت رو ببینه. رو پیشونیت نوشته: شکست!"
"TID_BLACK_HOLE_WEAPON_DESC","تا مچش رو خم می‌کنه عقب، سه تا کارت تاروت از آستینش به سمت دشمن شلیک می‌شه. چه حقه‌هایی که تو آستین نداره!"
"TID_STAT_DAMAGE_PER_SECOND","آسیب در ثانیه"
"TID_STAT_DAMAGE_PER_SECOND_EACH","آسیب در ثانیه"
"TID_STAT_DAMAGE_PER_STRIKE","آسیب هر مشت"
"TID_ROBOT_DESC","ساخته شده برای خدمت. دارای مجوز نابودی."
"TID_ROBOT_WEAPON_DESC","کلانتر آهنین با دقتی باورنکردنی تا فاصله‌های دور موشک پرتاب می‌کنه."
"TID_ROBOT_ULTI_DESC","وقتی شرایط اضطراری باشه، مامورین آهنین می‌تونن بارانی از موشک روی سر جماعت بینظم بریزن."
"TID_ARMOR_STAT","سلامت"
"TID_HEALTH","سلامت"
"TID_STAT_GRENADE_DAMAGE","آسیب هر نارنجک"
"TID_STAT_MISSILE_DAMAGE","آسیب هر موشک"
"TID_STAT_HEALTH","تحمل ضربه"
"TID_STAT_SPEED","سرعت"
"TID_STAT_DAMAGE","آسیب"
"TID_STAT_DAMAGE_PER_SHOT","آسیب هر فشنگ"
"TID_STAT_DAMAGE_PER_SHELL","آسیب هر لاک"
"TID_STAT_HAMMER_DAMAGE","آسیب هر 0.2 ثانیه"
"TID_QUIT","خروج"
"TID_MATCHMAKING_QUIT","خروج"
"TID_MATCHMAKING_HEADING","جستجوی بازیکنان"
"TID_MATCHMAKING_TIME_LABEL","بازی شروع میشه در:"
"TID_MATCHMAKING_PLAYERS","بازیکنان یافته شده <x>/<y>"
"TID_BUTTON_CANCEL","لغو"
"TID_BUTTON_OK","تایید"
"TID_ENTER_NAME_TITLE","به براول استار خوش اومدید!"
"TID_ENTER_NAME_BODY","اسمت چیه؟"
"TID_TIME_DAYS","روز"
"TID_TIME_HOURS","ساعت"
"TID_MATCHMAKING_TIME","وقت شروع <TIME>"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","خطا!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","سیستم شما و سرور همگام نیستند!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","بارگذاری مجدد بازی"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","خطای اتصال"
"TID_ERROR_POP_UP_CONNECTION_FAILED","نمی‌توان به سرور متصل شد. اتصال اینترنت را بررسی و دوباره امتحان کن."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","دوباره امتحان کن"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","خطای ورود به سیستم"
"TID_ERROR_POP_UP_LOGIN_FAILED","لطفاً بعداً دوباره امتحان کن."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","دوباره امتحان کن"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","کسی اونجا هست؟"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","برای بارگذاری مجدد بازی، روی دکمه پایینی کلیک کن."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","بارگذاری مجدد بازی"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","به‌روزرسانی موجود است!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","خبر خوش! نسخه جدید براول استار موجوده."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","به‌روزرسانی"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","فرصت تعمیر و نگهداری"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","متأسفیم، سرورها در دست تعمیر هستند. لطفاً بعداً دوباره امتحان کنید."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","دوباره امتحان کن"
"TID_ERROR_POP_UP_BANNED_TITLE","محروم شدی!"
"TID_ERROR_POP_UP_BANNED","موقتاً محروم شدی"
"TID_ERROR_POP_UP_BANNED_BUTTON","تایید"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","تماس با مرکز پشتیبانی"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","اطلاعات بیشتر"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","اطلاعیه مهم"
"TID_INFO_POP_UP_IAP_NOTE","بازی براول استار رایگانه، اما می‌تونی با انجام خریدهای درون بازی سرعت پیشرفت خودت رو بیشتر کنی (می‌تونی این ویژگی رو در تنظیمات دستگاه غیرفعال کنی). برای پذیرش شرایط و خط‌مشی حریم خصوصی ما، روی «تأیید» ضربه بزن."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","تایید"
"TID_SERVER_ERROR_TITLE","خطای سرور <number>"
