"Name","WinTrackType","CumulativeWins","MainMilestone","Level","CumulativeRewardStarDrops","CumulativeRewardCoins","CumulativeRewardPowerPoints","CumulativeRewardBling","ExtraRewardType","ExtraRewardName"
"string","int","int","boolean","int","int","int","int","int","string","string"
"Win_0_1",0,1,,1,1,100,20,10,,
"Win_0_2",0,2,,1,2,100,20,10,,
"Win_0_3",0,3,,1,3,100,20,10,,
"Win_0_4",0,4,,1,4,100,20,10,,
"Win_0_5",0,5,,1,5,100,20,10,,
"Win_0_6",0,6,,1,6,100,20,10,,
"Win_0_7",0,7,,1,7,100,20,10,,
"Win_0_8",0,8,,1,8,100,20,10,,
"Win_0_9",0,9,,1,9,110,20,10,,
"Win_0_10",0,10,,1,10,120,20,10,,
"Win_0_11",0,11,,1,11,130,30,10,,
"Win_0_12",0,12,,1,12,140,40,10,,
"Win_0_13",0,13,,1,13,150,50,15,,
"Win_0_14",0,14,,1,14,160,60,20,,
"Win_0_15",0,15,,1,15,170,70,25,,
"Win_0_16",0,16,,1,16,180,80,30,,
"Win_0_17",0,17,,1,17,190,90,35,,
"Win_0_18",0,18,,1,18,200,100,40,,
"Win_0_19",0,19,,1,19,880,250,80,,
"Win_0_20",0,20,,1,20,911,263,87,,
"Win_0_21",0,21,,1,21,942,277,94,,
"Win_0_22",0,22,,1,22,974,290,100,,
"Win_0_23",0,23,,1,23,1006,304,107,,
"Win_0_24",0,24,,1,24,1038,318,114,,
"Win_0_25",0,25,,1,25,1071,332,121,,
"Win_0_26",0,26,,1,26,1104,346,128,,
"Win_0_27",0,27,,1,27,1137,360,136,,
"Win_0_28",0,28,,1,28,1170,374,143,,
"Win_0_29",0,29,,1,29,1204,389,150,,
"Win_0_30",0,30,,1,30,1238,403,158,,
"Win_0_31",0,31,,1,31,1273,418,165,,
"Win_0_32",0,32,,1,32,1307,433,173,,
"Win_0_33",0,33,,1,33,1342,448,180,,
"Win_0_34",0,34,,1,34,1378,463,188,,
"Win_0_35",0,35,,1,35,1413,478,196,,
"Win_0_36",0,36,,1,36,1449,494,203,,
"Win_0_37",0,37,,1,37,1486,509,211,,
"Win_0_38",0,38,,1,38,1523,525,219,,
"Win_0_39",0,39,,1,39,1560,541,227,,
"Win_0_40",0,40,"TRUE",2,50,1597,557,235,,
"Win_0_41",0,41,,2,51,1635,573,243,,
"Win_0_42",0,42,,2,52,1673,589,252,,
"Win_0_43",0,43,,2,53,1711,605,260,,
"Win_0_44",0,44,,2,54,1750,622,268,,
"Win_0_45",0,45,,2,55,1789,639,277,,
"Win_0_46",0,46,,2,56,1828,656,285,,
"Win_0_47",0,47,,2,57,1868,673,294,,
"Win_0_48",0,48,,2,58,1908,690,303,,
"Win_0_49",0,49,,2,59,1949,707,312,,
"Win_0_50",0,50,,2,60,1990,725,320,,
"Win_0_51",0,51,,2,61,2031,742,329,,
"Win_0_52",0,52,,2,62,2073,760,338,,
"Win_0_53",0,53,,2,63,2115,778,347,,
"Win_0_54",0,54,,2,64,2157,796,357,,
"Win_0_55",0,55,,2,65,2200,815,366,,
"Win_0_56",0,56,,2,66,2244,833,375,,
"Win_0_57",0,57,,2,67,2287,852,385,,
"Win_0_58",0,58,,2,68,2331,871,394,,
"Win_0_59",0,59,,2,69,2376,890,404,,
"Win_0_60",0,60,,2,70,2421,909,414,,
"Win_0_61",0,61,,2,71,2466,928,424,,
"Win_0_62",0,62,,2,72,2512,948,433,,
"Win_0_63",0,63,,2,73,2558,968,443,,
"Win_0_64",0,64,,2,74,2604,987,453,,
"Win_0_65",0,65,,2,75,2651,1008,464,,
"Win_0_66",0,66,,2,76,2699,1028,474,,
"Win_0_67",0,67,,2,77,2746,1048,484,,
"Win_0_68",0,68,,2,78,2795,1069,495,,
"Win_0_69",0,69,,2,79,2843,1090,505,,
"Win_0_70",0,70,,2,80,2893,1111,516,,
"Win_0_71",0,71,,2,81,2942,1132,527,,
"Win_0_72",0,72,,2,82,2992,1153,538,,
"Win_0_73",0,73,,2,83,3043,1175,548,,
"Win_0_74",0,74,,2,84,3094,1197,560,,
"Win_0_75",0,75,,2,85,3145,1219,571,,
"Win_0_76",0,76,,2,86,3197,1241,582,,
"Win_0_77",0,77,,2,87,3250,1264,593,,
"Win_0_78",0,78,,2,88,3303,1286,605,,
"Win_0_79",0,79,,2,89,3356,1309,616,,
"Win_0_80",0,80,"TRUE",3,100,3410,1332,628,,
"Win_0_81",0,81,,3,101,3464,1355,640,,
"Win_0_82",0,82,,3,102,3519,1379,652,,
"Win_0_83",0,83,,3,103,3575,1402,664,,
"Win_0_84",0,84,,3,104,3631,1426,676,,
"Win_0_85",0,85,,3,105,3687,1451,688,,
"Win_0_86",0,86,,3,106,3744,1475,700,,
"Win_0_87",0,87,,3,107,3801,1499,713,,
"Win_0_88",0,88,,3,108,3859,1524,725,,
"Win_0_89",0,89,,3,109,3918,1549,738,,
"Win_0_90",0,90,,3,110,3977,1575,751,,
"Win_0_91",0,91,,3,111,4037,1600,764,,
"Win_0_92",0,92,,3,112,4097,1626,777,,
"Win_0_93",0,93,,3,113,4157,1652,790,,
"Win_0_94",0,94,,3,114,4219,1678,803,,
"Win_0_95",0,95,,3,115,4281,1704,817,,
"Win_0_96",0,96,,3,116,4343,1731,830,,
"Win_0_97",0,97,,3,117,4406,1758,844,,
"Win_0_98",0,98,,3,118,4469,1785,857,,
"Win_0_99",0,99,,3,119,4534,1813,871,,
"Win_0_100",0,100,,3,120,4598,1840,885,,
