"Name","Disable","Traits","Rarity","DescriptionTID","SWF","IconExportName","ExcludeBrawlers"
"string","boolean","string","string","string","string","string","string"
"R_MaxHp_S",,"R_MaxHp_S","super_rare","TID_R_MAXHP_DESC","sc/ui_roguelite.sc","icon_power_card_health",
"R_MaxHp_E",,"R_MaxHp_E","epic","TID_R_MAXHP_DESC","sc/ui_roguelite.sc","icon_power_card_health",
"R_MaxHp_L",,"R_MaxHp_L","legendary","TID_R_MAXHP_DESC","sc/ui_roguelite.sc","icon_power_card_health",
"R_MaxHp_Absolute_S",,"R_MaxHp_Absolute_S","super_rare","TID_R_MAXHP_ABS_DESC","sc/ui_roguelite.sc","icon_power_card_health",
"R_MaxHp_Absolute_E",,"R_MaxHp_Absolute_E","epic","TID_R_MAXHP_ABS_DESC","sc/ui_roguelite.sc","icon_power_card_health",
"R_MaxHp_Absolute_L",,"R_MaxHp_Absolute_L","legendary","TID_R_MAXHP_ABS_DESC","sc/ui_roguelite.sc","icon_power_card_health",
"R_MaxHp_Absolute_Mini_S",,"R_MaxHp_Absolute_Mini_S","super_rare","TID_R_MAXHP_ABS_DESC","sc/ui_roguelite.sc","icon_power_card_health",
"R_MaxHp_Absolute_Mini_E",,"R_MaxHp_Absolute_Mini_E","epic","TID_R_MAXHP_ABS_DESC","sc/ui_roguelite.sc","icon_power_card_health",
"R_MaxHp_Absolute_Mini_L",,"R_MaxHp_Absolute_Mini_L","legendary","TID_R_MAXHP_ABS_DESC","sc/ui_roguelite.sc","icon_power_card_health",
"R_Reload_S",,"R_Reload_S","super_rare","TID_R_RELOAD_DESC","sc/ui_roguelite.sc","icon_power_card_reload",
"R_Reload_E",,"R_Reload_E","epic","TID_R_RELOAD_DESC","sc/ui_roguelite.sc","icon_power_card_reload",
"R_Reload_L",,"R_Reload_L","legendary","TID_R_RELOAD_DESC","sc/ui_roguelite.sc","icon_power_card_reload",
"R_Reload_Mini_S",,"R_Reload_Mini_S","super_rare","TID_R_RELOAD_DESC","sc/ui_roguelite.sc","icon_power_card_reload",
"R_Reload_Mini_E",,"R_Reload_Mini_E","epic","TID_R_RELOAD_DESC","sc/ui_roguelite.sc","icon_power_card_reload",
"R_Reload_Mini_L",,"R_Reload_Mini_L","legendary","TID_R_RELOAD_DESC","sc/ui_roguelite.sc","icon_power_card_reload",
"R_MoveSpeed_S",,"R_MoveSpeed_S","super_rare","TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",
"R_MoveSpeed_E",,"R_MoveSpeed_E","epic","TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",
"R_MoveSpeed_L",,"R_MoveSpeed_L","legendary","TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",
"R_MoveSpeed_Max_L",,"R_MoveSpeed_Max_L","legendary","TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",
"R_MoveSpeed_WithPet_S",,"R_MoveSpeed_S;R_MoveSpeed_WithPet_S","super_rare","TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",
"R_MoveSpeed_WithPet_E",,"R_MoveSpeed_E;R_MoveSpeed_WithPet_E","epic","TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",
"R_MoveSpeed_WithPet_L",,"R_MoveSpeed_L;R_MoveSpeed_WithPet_E","legendary","TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",
"R_MoveSpeed_Mini_S",,"R_MoveSpeed_Mini_S","super_rare","TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",
"R_MoveSpeed_Mini_E",,"R_MoveSpeed_Mini_E","epic","TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",
"R_MoveSpeed_Mini_L",,"R_MoveSpeed_Mini_L","legendary","TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",
"R_Damage_S",,"R_Damage_S","super_rare","TID_R_DAMAGE_DESC","sc/ui_roguelite.sc","icon_power_card_damage",
"R_Damage_E",,"R_Damage_E","epic","TID_R_DAMAGE_DESC","sc/ui_roguelite.sc","icon_power_card_damage",
"R_Damage_L",,"R_Damage_L","legendary","TID_R_DAMAGE_DESC","sc/ui_roguelite.sc","icon_power_card_damage",
