"Name","NumberValue","BooleanValue","TextValue","StringArray","NumberArray"
"String","int","boolean","string","String","int"
"ALLIANCE_CREATE_RESOURCE",,,"Gold",,
"ALLIANCE_CREATE_COST",0,,,,
"STARTING_DIAMONDS",0,,,,
"MAX_MESSAGE_LENGTH",128,,,,
"MAX_ALLIANCE_MAIL_LENGTH",256,,,,
"SPEED_UP_DIAMOND_COST_1_MIN",1,,,,
"SPEED_UP_DIAMOND_COST_1_HOUR",4,,,,
"SPEED_UP_DIAMOND_COST_24_HOURS",96,,,,
"SPEED_UP_DIAMOND_COST_1_WEEK",672,,,,
"SPEED_UP_FREE_SECONDS",0,,,,
"RESOURCE_DIAMOND_COST_1",1,,,,
"RESOURCE_DIAMOND_COST_10",2,,,,
"RESOURCE_DIAMOND_COST_100",20,,,,
"RESOURCE_DIAMOND_COST_1000",200,,,,
"RESOURCE_DIAMOND_COST_10000",2000,,,,
"RESOURCE_DIAMOND_COST_100000",20000,,,,
"RESOURCE_DIAMOND_COST_1000000",200000,,,,
"RESOURCE_DIAMOND_COST_10000000",2000000,,,,
"ALLIANCE_SCORE_CONTRIBUTION_PERCENTAGE",,,,,50
,,,,,25
,,,,,12
,,,,,10
,,,,,3
"STARTING_GOLD",92,,,,
"BATTLE_PING_SAMPLE_SECONDS",15,,,,
"ALLIANCE_UNLOCK_EXP_LEVEL",1,,,,
