"TID","MS"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","Misi selesai: <NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","Kemajuan Misi: <NUM>"
"TID_TICKET_COMPENSATION_TITLE","PEMBERITAHUAN KEMAS KINI"
"TID_TICKET_COMPENSATION_INFO","Ini dia permata untuk Tiket anda! Kami telah mengeluarkan Tiket dari permainan, jadi ia tidak lagi berguna."
"TID_TICKET_COMPENSATION_CLAIM","TUNTUT!"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","BUKA BAKI KOTAK"
"TID_BRAWL_PASS_QUESTS_LABEL","MISI"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","Capai <TROPHIES> trofi untuk buka misi!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","Misi kini boleh dibuka dari Kemajuan Trofi!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","Pergi ke Kemajuan Trofi untuk membuka misi"
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","BELI PERINGKAT"
"TID_QUESTS_TITLE","MISI"
"TID_QUEST_DESC_1","MENANG <AMOUNT> PERMAINAN"
"TID_QUEST_DESC_2","KALAHKAN <AMOUNT> MUSUH"
"TID_QUEST_DESC_3","LAKUKAN <AMOUNT> KEROSAKAN"
"TID_QUEST_DESC_4","SEMBUHKAN <AMOUNT> NILAI NYAWA"
"TID_QUEST_DESC_1_LEVELED","SELESAIKAN TAHAP"
"TID_QUEST_DESC_1_BIG_GAME","MENANG <AMOUNT> PERMAINAN"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","MENANG <AMOUNT> PERMAINAN"
"TID_QUEST_HERO_CONDITION","\nDENGAN <HERO>"
"TID_QUEST_MODE_CONDITION","\nDALAM <MODE>"
"TID_QUEST_NEW","BAHARU"
"TID_QUEST_PREMIUM","EKSKLUSIF UNTUK BRAWL PASS"
"TID_RANK_POPUP_QUESTS","MISI"
"TID_BRAWL_PASS_POPUP_TITLE","BRAWL PASS"
"TID_BRAWL_PASS_POPUP_INFO","MUSIM <SEASON>"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","KEMBALI KE MUSIM SEMASA"
"TID_BRAWL_PASS_PREVIOUS_SEASON","MUSIM SEBELUMNYA"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","KETIK SINI UNTUK TUNTUT GANJARAN!"
"TID_BRAWL_PASS_UNLOCK_INFO","GANJARAN PREMIUM DIKUNCI!"
"TID_BRAWL_PASS_UNLOCK_LABEL","BUKA KUNCI"
"TID_BRAWLPASS_PURCHASE_ERROR_4","Maaf, Brawl Pass ini sudah tiada!"
"TID_BRAWLPASS_PURCHASE_ERROR_5","Tidak boleh beli Pakej BRAWL PASS, anda telah dapat semua ganjaran!"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","MAJU PERINGKAT?"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","Beli <NUM> token dan maju ke peringkat seterusnya?"
"TID_PURCHASE_BRAWL_PASS_TITLE","DAPATKAN BRAWL PASS!"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","PAKEJ PAS BRAWL"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","Buka ganjaran Brawl Pass dan misi tambahan"
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","BRAWL PASS + <NUM> PERINGKAT"
"TID_UNDERDOG","BUKAN PILIHAN"
"TID_ACCESSORY","ALAT"
"TID_BATTLE_END_COIN_SHOWER","ACARA HUJAN SYILING"
"TID_LFG_POPUP_TITLE_MEMBER","MENCARI AHLI"
"TID_LFG_POPUP_TITLE_TEAM","MENCARI PASUKAN"
"TID_LFG_POPUP_INFO_MEMBER","Cari pemain untuk membentuk pasukan"
"TID_LFG_POPUP_INFO_TEAM","Cari pemain untuk sertai pasukan semasa anda"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Kriteria acara (ketik untuk tukar)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Saya nak main (ketik untuk tukar)"
"TID_LFG_POPUP_START_SEARCH","CARI!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Mod permainan ini tidak menyokong pemain tambahan"
"TID_LOOKING_FOR_A_TEAM","SEDANG MENCARI PASUKAN"
"TID_LOOKING_FOR_A_MEMBER","SEDANG MENCARI AHLI"
"TID_CC_TEASER_TITLE","Akan Datang!"
"TID_CC_TEASER_INFO","Bersedia untuk Cabaran Kejuaraan <WIN> kemenangan!\n\nMain bersama rakan atau guna ciri \qMencari Pasukan\q untuk meningkatkan peluang menang anda.\n\nCabaran hanya berlangsung selama <DURATION> jam, jadi fikir baik-baik!"
"TID_CC_POPUP_TITLE","CABARAN KEJUARAAN"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_DESC","Setiap kemenangan memberikan ganjaran hebat! Menang <WINS> kali untuk memenangi Cabaran tapi anda akan disingkirkan selepas <LOSSES> kekalahan!"
"TID_CC_POPUP_1_DESC","Setiap kemenangan memberikan ganjaran hebat! Menang <WINS> kali untuk memenangi pertandingan tapi anda akan disingkirkan selepas <LOSSES> kekalahan!"
"TID_CC_POPUP_WINS","<WINS>/<MAX> KEMENANGAN"
"TID_CC_POPUP_WINS_FOR_EVENT","PERINGKAT <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","SUKU AKHIR"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","SEPARUH AKHIR"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","PUSINGAN AKHIR"
"TID_CC_POPUP_QUALIFY_INFO","Memenangi cabaran untuk melayakkan diri ke peringkat Kejuaraan Brawl Stars seterusnya!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Menang cabaran untuk memenangi kulit Shelly PSG!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Cabaran selesai!"
"TID_CC_POPUP_CHALLENGE_OVER","CABARAN TAMAT"
"TID_CC_POPUP_OUT_OF_LIVES","TIADA BAKI PERCUBAAN"
"TID_CC_POPUP_COMPLETED","CABARAN SELESAI"
"TID_CC_POPUP_LEVEL","PERINGKAT <LEVEL>"
"TID_CC_POPUP_WIN","KEMENANGAN"
"TID_CC_POPUP_LOSSES","KEKALAHAN"
"TID_QUALIFIED_TITLE","Kelayakan dalam talian DIBUKA!"
"TID_QUALIFIED_INFO","Wah, anda memenangi Cabaran Kejuaraan! HEBAT!\n\nUntuk meneruskan perjalanan ke KEJUARAAN BRAWL STARS, pergi ke <cFFE400><URL></c>"
"TID_QUALIFIED_INFO_PSG","Tahniah, anda memenangi PSG CUP! Anda telah membuka kulit Shelly PSG!"
"TID_QUALIFIED_GO","PERGI!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","CABARAN KEJUARAAN"
"TID_BATTLE_END_CC_WIN_LABEL","GANJARAN KEMENANGAN #<AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","Cabaran tamat\nCuba lagi lain kali!"
"TID_BATTLE_END_CC_DEFEAT_1","Anda akan disingkirkan selepas satu lagi kekalahan. Teruskan berusaha!"
"TID_BATTLE_END_CC_DEFEAT_2","Anda telah kalah tapi masih boleh meneruskannya!"
"TID_BATTLE_END_CC_DRAW_DESC","Main lagi untuk menang!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","LAYAK!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Tahniah! Anda layak untuk peringkat seterusnya dalam Kejuaraan Brawl Stars.\nSemak peti masuk untuk maklumat lanjut."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","Ganjaran Liga ARENA BINTANG"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Ganjaran berdasarkan\nmata akhir anda"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Kedudukan"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Mata"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Ganjaran tambahan kerana mencapai\ntempat atas papan pemimpin global"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","GANJARAN AKHIR LIGA ARENA BINTANG"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","CARTA KEDUDUKAN LIGA"
"TID_PRO_LEAGUE_SEASON_END_TIME","LIGA TAMAT DALAM"
"TID_PRO_LEAGUE_POPUP_TITLE","ARENA BINTANG"
"TID_EVENT_LABEL_PRO_LEAGUE","ARENA BINTANG"
"TID_PRO_LEAGUE_POPUP_INFO","Uji kemahiran anda di ARENA BINTANG! Bertanding dalam tiga perlawanan harian untuk memanjat carta kedudukan liga. Apabila liga tamat, anda akan dapat mata bintang berdasarkan mata dan kedudukan anda dalam carta kedudukan liga global."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","LIGA SEMASA"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","LIGA TERDAHULU"
"TID_PRO_LEAGUE_LABEL","ARENA BINTANG"
"TID_TEAM_ERROR_38","Pilih Brawler dengan tahap kuasa 10!"
"TID_TEAM_ERROR_39","Tiada baki permainan ARENA BINTANG untuk hari ini!"
"TID_PRO_LEAGUE_GAMES","BAKI <GAMESLEFT>/<MAXGAMES>"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","LIGA ARENA BINTANG TELAH TAMAT"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Mata Anda"
