"TID","DE"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","<NUM> Quest(s) abgeschlossen"
"TID_BATTLE_END_QUESTS_PROGRESSED","Fortschritt in <NUM> Quest(s) erreicht"
"TID_TICKET_COMPENSATION_TITLE","UPDATE-BENACHRICHTIGUNG"
"TID_TICKET_COMPENSATION_INFO","Da Tickets aus dem Spiel entfernt wurden, haben wir als Ausgleich für deine Tickets ein paar Juwelen für dich!"
"TID_TICKET_COMPENSATION_CLAIM","EINFORDERN"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","ÜBRIGE BOXEN ÖFFNEN"
"TID_BRAWL_PASS_QUESTS_LABEL","QUESTS"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","Erreiche <TROPHIES> Gesamttrophäen, um Quests freizuschalten!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","Quests können nun im Trophäenpfad freigeschaltet werden!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","Gehe zum Trophäenpfad, um Quests freizuschalten."
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","STUFE KAUFEN"
"TID_QUESTS_TITLE","QUESTS"
"TID_QUEST_DESC_1","GEWINNE <AMOUNT> MATCHES"
"TID_QUEST_DESC_2","BESIEGE <AMOUNT> GEGNER"
"TID_QUEST_DESC_3","VERURSACHE <AMOUNT> SCHADENSPUNKTE"
"TID_QUEST_DESC_4","HEILE <AMOUNT> TREFFERPUNKTE"
"TID_QUEST_DESC_1_LEVELED","LEVEL ABSCHLIESSEN"
"TID_QUEST_DESC_1_BIG_GAME","GEWINNE <AMOUNT> MATCHES"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","GEWINNE <AMOUNT> MATCH"
"TID_QUEST_HERO_CONDITION","\nMIT <HERO>"
"TID_QUEST_MODE_CONDITION","\nIM MODUS <MODE>"
"TID_QUEST_NEW","NEU"
"TID_QUEST_PREMIUM","EXKLUSIV MIT BRAWLPASS"
"TID_RANK_POPUP_QUESTS","QUESTS"
"TID_BRAWL_PASS_POPUP_TITLE","BRAWLPASS"
"TID_BRAWL_PASS_POPUP_INFO","SAISON <SEASON>"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","ZUR AKTUELLEN SAISON"
"TID_BRAWL_PASS_PREVIOUS_SEASON","VORHERIGE SAISON"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","TIPPE HIER, UM DEINE BELOHNUNGEN ABZUHOLEN!"
"TID_BRAWL_PASS_UNLOCK_INFO","PRÄMIUMBELOHNUNGEN GESPERRT!"
"TID_BRAWL_PASS_UNLOCK_LABEL","FREISCHALTEN"
"TID_BRAWLPASS_PURCHASE_ERROR_4","Sorry, dieser Brawlpass ist nicht mehr verfügbar!"
"TID_BRAWLPASS_PURCHASE_ERROR_5","BRAWLPASS-BUNDLE kann nicht gekauft werden. Du hast bereits jede der Belohnungen verdient!"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","STUFE AUFSTEIGEN?"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","<NUM> Marken kaufen und in die nächste Stufe aufsteigen?"
"TID_PURCHASE_BRAWL_PASS_TITLE","BRAWLPASS HOLEN!"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","BRAWLPASS"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","BRAWLPASS-BUNDLE"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","Schalte Brawlpass-Belohnungen und Extraquests frei."
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","BRAWLPASS + <NUM> STUFEN"
"TID_UNDERDOG","UNDERDOG"
"TID_ACCESSORY","GADGET"
"TID_BATTLE_END_COIN_SHOWER","MÜNZREGEN-EREIGNIS"
"TID_LFG_POPUP_TITLE_MEMBER","MITGLIEDERSUCHE"
"TID_LFG_POPUP_TITLE_TEAM","TEAMSUCHE"
"TID_LFG_POPUP_INFO_MEMBER","Suche nach Spielern, die sich mit dir zusammentun wollen"
"TID_LFG_POPUP_INFO_TEAM","Suche nach einem Spieler für dein aktuelles Team"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Ereigniskriterien (tippe zum Ändern)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Ich möchte spielen (tippe zum Ändern)"
"TID_LFG_POPUP_START_SEARCH","LOS!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Dieser Spielmodus unterstützt keine weiteren Spieler."
"TID_LOOKING_FOR_A_TEAM","SUCHT NACH TEAM"
"TID_LOOKING_FOR_A_MEMBER","SUCHT NACH MITGLIED"
"TID_CC_TEASER_TITLE","Demnächst!"
"TID_CC_TEASER_INFO","Mach dich bereit für die <WIN>-Siege-Championship-Herausforderung!\n\nSpiele mit Freunden im Team oder benutze die \qTeamsuche\q, um deine Chancen zu verbessern.\n\nVerliere keine Zeit! Die Herausforderung läuft nur <DURATION> Stunden!"
"TID_CC_POPUP_TITLE","CHAMPIONSHIP-HERAUSFORDERUNG"
"TID_CC_POPUP_1_TITLE","PSG CUP"
