"TID","CNT"
"string","string"
"TID_DOUBLE_TOKEN_WEEKEND","雙倍代幣週末"
"TID_RANKS_ADDED_TITLE","全新Rank級數"
"TID_RANKS_ADDED_DESC","所有英雄的Rank上限已從20提高至35啦！\n\n您符合條件的英雄已自動升至更高的Rank，您因此獲得了<cff00ff><STARPOINTS></c>星徽點數和<TOKENS>代幣！"
"TID_SKINS_TITLE","造型"
"TID_SKINS_BUTTON_LABEL","造型"
"TID_SKIN_PREVIEW","造型預覽"
"TID_DEFAULT_SKIN","<HERO>預設造型"
"TID_HERO_LVL_UP_MATERIAL","金幣"
"TID_TOKENS","代幣"
"TID_FIRST_WINS","星徽代幣"
"TID_BUTTON_INBOX","收件匣"
"TID_INBOX_TITLE","收件匣"
"TID_INBOX_SYSTEM_SENDER","系統"
"TID_INBOX_SUPPORT_SENDER","玩家支援團隊"
"TID_INBOX_AGE","<TIME>前"
"TID_INBOX_CLAIM","領取"
"TID_INBOX_VIEW","查看"
"TID_INBOX_TAB_0","戰隊郵件"
"TID_INBOX_TAB_1","個人郵件"
"TID_INBOX_NO_ENTRIES","無郵件"
"TID_INBOX_CAPTION_99","賽季已結束"
"TID_INBOX_CAPTION_94","補償造型：<NAME>"
"TID_INBOX_CAPTION_93","補償英雄：<NAME>"
"TID_INBOX_CAPTION_92","補償<NAME>的<AMOUNT>能量點數"
"TID_INBOX_CAPTION_91","補償<AMOUNT>張入場券"
"TID_INBOX_CAPTION_90","補償<AMOUNT><NAME>"
"TID_INBOX_CAPTION_89","補償<AMOUNT>寶石"
"TID_INBOX_CAPTION_88","補償<AMOUNT>雙倍代幣加成"
"TID_INBOX_CAPTION_85","扣除<AMOUNT>寶石"
"TID_INBOX_CAPTION_84","補償<NAME>的能力之星：<ABI>"
"TID_INBOX_CAPTION_78","現已推出英雄Rank21至30！"
"TID_INBOX_NEW","NEW!"
"TID_BAND_MAIL_POPUP_TITLE","戰隊郵件"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","請在此處輸入郵件內容......"
"TID_BAND_MAIL_POPUP_POST","傳送"
"TID_BAND_MAIL_POPUP_NO_MSG","請先輸入郵件內容"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","測試帳號無法使用該功能"
"TID_REVOKE_TITLE","玩家支援團隊訊息"
"TID_REVOKE_OK","我知道了"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","無法發送小隊請求，你已經在小隊中了。"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","無法發送小隊請求，你發送的小隊邀請仍在等待答覆。"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","無法發送小隊請求，你之前的小隊請求正在等待答覆。"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","小隊請求已取消"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","我想加入你的小隊"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>勝利</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>戰敗</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>平局</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>第<RANK>名</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>第<RANK>名</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>第<RANK>名</c>"
"TID_BATTLE_LOG_AGE","<TIME>前"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","等級"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","對戰紀錄"
"TID_BATTLE_LOG_REPLAY","重播"
"TID_BATTLE_LOG_SURVIVED_FOR","存活時間：<TIME>"
"TID_BATTLE_LOG_VICTORY_IN","擊敗巨型英雄耗時<TIME>"
"TID_BATTLE_LOG_MVP","MVP"
"TID_BATTLE_LOG_FRIENDLY","友誼賽"
"TID_BATTLE_LOG_PVP","排位賽"
"TID_BATTLE_LOG_NO_ENTRIES","無對戰紀錄"
"TID_BATTLE_LOG_THIS_IS_A_BOT","這是電腦"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","目前無法觀看重播"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","暫無重播"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","無法重播：英雄獎盃數不足"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","英雄獎盃數達到<NUM>即可解鎖重播功能"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","無法重播：錄製失敗"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","抱歉，已無法重播"
"TID_PLAYER_XP_LEVEL","等級"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","新增好友失敗"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","好友連結已失效！"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","無法新增好友，對方好友列表已滿！"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","無法新增好友，你的好友列表已滿！"
"TID_ADD_FRIEND_FAILED_BANNED","無法新增好友，該玩家已被封禁！"
"TID_KEYPOOL_KEYS_REMAINING","剩餘<VALUE>"
"TID_KEYPOOL_NEXT_PATCH","<TIME>後+<KEYS>代幣"
"TID_TOP_HUD_NEXT_REWARD","下個獎勵"
"TID_RANK_UP_REWARD_REPLACED_TITLE","確認領取替代獎勵"
"TID_RANK_UP_REWARD_REPLACED_POWER","沒有英雄可接收<AMOUNT>能量點數獎勵。\n\n是否領取替代獎勵？"
"TID_RANK_UP_REWARD_REPLACED_HERO","由於你已解鎖<NAME>，你將獲得替代獎勵。"
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","發送好友請求"
"TID_PLAYER_INFO_REMOVE_FRIEND","從好友列表中移除"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","已發送好友請求"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","遊戲內好友"
"TID_POWER_POINTS","能量點數"
"TID_HERO_INFO_LEVEL","等級"
"TID_HERO_INFO_RANK","RANK"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","升至戰力等級<LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","再次點擊以確認"
"TID_HERO_INFO_MAX_LEVEL","等級已滿"
"TID_HERO_INFO_MORE_POWER_NEEDED","收集更多能量點數以升級英雄！"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","英雄的能量點數不足"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","你的金幣不足！"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","英雄已達到最高戰力等級！"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","初始英雄"
"TID_HERO_INFO_STAR_POWER_EQUIP","選擇"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","已選擇"
"TID_PLAYER_REPORTED_SUCCESSFULLY","已檢舉該玩家！"
"TID_TOO_MANY_REPORTS_SENT","已達每日檢舉上限！"
