"TID","TH"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","เควสต์ที่เล่นเสร็จแล้ว: <NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","เควสต์ที่กำลังเล่น: <NUM>"
"TID_TICKET_COMPENSATION_TITLE","การแจ้งเตือนการอัปเดต"
"TID_TICKET_COMPENSATION_INFO","รับอัญมณีจากตั๋วของคุณ! เราได้นำตั๋วออกจากเกม ดังนั้นพวกมันจึงไม่มีประโยชน์อีกต่อไป"
"TID_TICKET_COMPENSATION_CLAIM","รับ!"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","เปิดกล่องที่เหลือ"
"TID_BRAWL_PASS_QUESTS_LABEL","เควสต์"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","เก็บถ้วยรางวัลให้ถึง <TROPHIES> ถ้วยเพื่อปลดล็อคเควสต์!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","สามารถปลดล็อคเควสต์จากถนนถ้วยรางวัลได้แล้วตอนนี้!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","ไปยังถนนถ้วยรางวัลเพื่อปลดล็อคเควสต์"
"TID_BRAWL_PASS_QUESTS_CLAIM_NEXT","รับเควสต์จากถนนถ้วยรางวัล!"
"TID_BRAWL_PASS_QUESTS_CLAIM_TR_REWARDS","รับรางวัลจากถนนถ้วยรางวัลเพื่อปลดล็อคเควสต์!"
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","ซื้อขั้น"
"TID_QUESTS_TITLE","เควสต์"
"TID_QUEST_DESC_1","ชนะการต่อสู้ <AMOUNT> ครั้ง"
"TID_QUEST_DESC_2","เอาชนะศัตรู <AMOUNT> คน"
"TID_QUEST_DESC_3","ทำความเสียหาย <AMOUNT> หน่วย"
"TID_QUEST_DESC_4","เยียวยาพลังชีวิต <AMOUNT> หน่วย"
"TID_QUEST_DESC_5","ใช้ \qเล่นอีกครั้ง\q <NUM> ครั้ง"
"TID_QUEST_DESC_6","เล่นกับทีมเดิมด้วยกัน <NUM> แมตช์"
"TID_QUEST_DESC_7_MODE_0","ถือครองอัญมณี <LIMIT> เม็ดหรือมากกว่าเป็นเวลา <AMOUNT> วินาที"
"TID_QUEST_DESC_7_MODE_2","สร้างความเสียหาย <AMOUNT> หน่วยให้กับตู้นิรภัย"
"TID_QUEST_DESC_7_MODE_3","จบ <AMOUNT> แมตช์ด้วยดาว <LIMIT> ดวงหรือมากกว่า"
"TID_QUEST_DESC_7_MODE_5","ส่งบอล <AMOUNT> ครั้ง"
"TID_QUEST_DESC_7_MODE_6","เก็บลูกบาศก์พลัง <AMOUNT> ลูก"
"TID_QUEST_DESC_7_MODE_9","เก็บลูกบาศก์พลัง <AMOUNT> ลูกในขณะที่ผู้เล่นทั้งสองยังคงอยู่ในสนาม"
"TID_QUEST_DESC_7_MODE_17","ยึดครองโซนเป็นเวลา <AMOUNT> วินาที"
"TID_QUEST_DESC_7_MODE_20","ยืนหยัดโดยไม่ถูกกำจัดได้ <AMOUNT> รอบ"
"TID_QUEST_DESC_7_MODE_34","หนีไปกับถ้วยรางวัล <AMOUNT> ถ้วย"
"TID_QUEST_DESC_10","เล่น <NUM> แมตช์กับเพื่อนร่วมคลับ"
"TID_QUEST_DESC_11","ต่อสู้ <AMOUNT> ครั้ง"
"TID_QUEST_DESC_1_LEVELED","เล่นผ่านเลเวล"
"TID_QUEST_DESC_1_BIG_GAME","ชนะการต่อสู้ <AMOUNT> ครั้ง"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","ชนะการต่อสู้ <AMOUNT> ครั้ง"
"TID_QUEST_HERO_CONDITION","\nโดยใช้ <HERO>"
"TID_QUEST_HERO_CONDITION_2","\nโดยใช้ <HERO_1> หรือ <HERO_2>"
"TID_QUEST_HERO_CONDITION_3","\nโดยใช้ <HERO_1>, <HERO_2> หรือ <HERO_3>"
"TID_QUEST_MODE_CONDITION","\nในโหมด<MODE>"
"TID_QUEST_MODE_CONDITION_2","\nในโหมด <MODE_1> หรือ <MODE_2>"
"TID_QUEST_PLAYAGAIN_CONDITION","\nกับเพื่อนร่วมทีม"
"TID_QUEST_NEW","ใหม่"
"TID_QUEST_PREMIUM","พิเศษสำหรับ Brawl Pass"
"TID_RANK_POPUP_QUESTS","เควสต์"
"TID_RANK_POPUP_CLUB_FEATURE","คลับ"
"TID_BRAWL_PASS_POPUP_TITLE","Brawl Pass"
"TID_BRAWL_PASS_POPUP_INFO","ฤดูกาล <SEASON>"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","กลับไปยังฤดูกาลปัจจุบัน"
"TID_BRAWL_PASS_PREVIOUS_SEASON","ฤดูกาลก่อนหน้า"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","แตะที่นี่เพื่อรับรางวัล!"
"TID_BRAWL_PASS_UNLOCK_INFO","รางวัลพรีเมียมล็อคอยู่!"
"TID_BRAWL_PASS_UNLOCK_LABEL","ปลดล็อค"
"TID_BRAWLPASS_PURCHASE_ERROR_3","ซื้อ Brawl Pass ของฤดูกาลนี้ไปแล้ว"
"TID_BRAWLPASS_PURCHASE_ERROR_4","ขออภัย ไม่สามารถใช้ Brawl Pass นี้ได้แล้ว!"
"TID_BRAWLPASS_PURCHASE_ERROR_5","ไม่สามารถซื้อห่อ Brawl Pass ได้ คุณได้รับรางวัลทั้งหมดแล้ว!"
"TID_BRAWLPASS_PURCHASE_ERROR_6","การซื้อ Brawl Pass อยู่ระหว่างการดำเนินการ"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","ข้ามขั้นหรือไม่?"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","ซื้อค่าประสบการณ์ Brawl Pass <NUM> หน่วยเพื่อคืบหน้าไปยังขั้นรางวัลต่อไปหรือไม่?"
"TID_PURCHASE_BRAWL_PASS_TITLE","ซื้อ Brawl Pass!"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","Brawl Pass"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","ห่อ Brawl Pass"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","ปลดล็อครางวัล Brawl Pass และเควสต์เพิ่มเติม"
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","Brawl Pass + <NUM> ขั้น"
"TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON","ไม่สามารถซื้อฤดูกาล Brawl Pass ก่อนหน้าได้"
