"Name","Disabled","TileSetPrefix","BannerSWF","BannerExportName","Island","Music","GroundSCW","EnvironmentSCW","MaskedEnvironmentSCW","CampaignGroundSCW","Blocking1SCW","Blocking1Mesh","Blocking1AngleStep","Blocking2SCW","Blocking2Mesh","Blocking2AngleStep","Blocking3SCW","Blocking3Mesh","Blocking3AngleStep","Blocking4SCW","Blocking4Mesh","Blocking4AngleStep","RespawningWallSCW","RespawningWallMesh","RespawningWallAngleStep","RespawningForestSCW","ForestSCW","DestructableSCW","DestructableMesh","DestructableAngleStep","DestructableSCW_CN","DestructableMesh_CN","DestructableAngleStep_CN","FragileSCW","FragileMesh","FragileAngleStep","FragileSCW_CN","FragileMesh_CN","FragileAngleStep_CN","WaterTileSCW","FenceSCW","RopeFenceSCW","RoadSCW","IndestructibleSCW","IndestructibleMesh","GroundFillerSCW","LaserBallSkinOverride","MineGemSpawnSCWOverride","LootBoxSkinOverride","SafeSkinOverride","SafeCharacterOverride","ShowdownBoostSCWOverride","MapPreviewBGColorRed","MapPreviewBGColorGreen","MapPreviewBGColorBlue","MapPreviewSkyColorRed","MapPreviewSkyColorGreen","MapPreviewSkyColorBlue","MapPreviewGemGrabSpawnHoleExportName","MapPreviewBallExportName","MapPreviewGoal1ExportName","MapPreviewGoal2ExportName","MapPreviewSafeExportName","MapPreviewCNOverrides","MapWidth","MapHeight"
"string","boolean","string","string","string","boolean","string","string","string","string","string","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string","string","string","int","string","string","int","string","string","int","string","string","int","string","string","string","string","string","string","string","string","string","string","string","string","string","int","int","int","int","int","int","string","string","string","string","string","string","int","int"
"Retropolis","TRUE","retropolis_","sc/events.sc","event_retropolis_banner",,"Retropolis_battle","sc3d/bgr_retropolis_ground.scw","sc3d/bgr_retropolis.scw",,,"sc3d/rock_retropolis_1.scw","rock_retropolis_1",90,"sc3d/car_tires.scw",,90,"sc3d/crate2.scw","crate_1",0,"sc3d/barrel2.scw","barrel_2",1,"sc3d/potted_plant_1.scw","potted_plant_1",1,"sc3d/grass5.scw","sc3d/grass5.scw","sc3d/plant_retropolis_small.scw","plant_retropolis",1,,,,"sc3d/traffic_cone.scw","traffic_cone",1,,,,"sc3d/water_tile_retropolis.scw","sc3d/retropolis_fence.scw","sc3d/generic_rope_fence.scw",,"sc3d/indestructible_metal_1.scw",,,,"sc3d/mine_gem_spawn_retropolis.scw",,,,,90,66,111,69,136,255,"retropolis_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe",,21,33
,,,,,,,,,,,,,,,,,,,,,,,"sc3d/potted_plant_1.scw","potted_plant_1b",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OldTown","TRUE","town_","sc/events.sc","event_town_banner",,"BattleMusic","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",,,"sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/potted_plant_1.scw","potted_plant_1",1,"sc3d/grass_town.scw","sc3d/grass_town.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/plant_town_small.scw",,1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/traffic_cone.scw","traffic_cone",1,"sc3d/water_tile_town.scw","sc3d/wooden_fence_town.scw","sc3d/giftshop_rope_fence.scw",,"sc3d/indestructible_metal_1.scw",,,,"sc3d/mine_gem_spawn_town.scw",,,,,148,90,115,69,136,255,"town_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>retropolis_fragile_mid_1;destructable_mid_1>retropolis_fragile_mid_1",21,33
,,,,,,,,,,,,,,,,,,,,,,,"sc3d/potted_plant_1.scw","potted_plant_1b",1,,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OldTownLNY","TRUE","town_","sc/events.sc","event_cny_banner",,"Cny_levels","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",,,"sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/potted_plant_1.scw","potted_plant_1",1,"sc3d/grass_town.scw","sc3d/grass_town.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/plant_town_small.scw",,1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/traffic_cone.scw","traffic_cone",1,"sc3d/water_tile_town.scw","sc3d/wooden_fence_town.scw","sc3d/giftshop_rope_fence.scw",,"sc3d/indestructible_metal_1.scw",,,,"sc3d/mine_gem_spawn_town.scw",,,,,148,90,115,69,136,255,"town_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>retropolis_fragile_mid_1;destructable_mid_1>retropolis_fragile_mid_1",21,33
,,,,,,,,"sc3d/bgr_old_town_decos_lny.scw",,,,,,,,,,,,,,,"sc3d/potted_plant_1.scw","potted_plant_1b",1,,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OldTownTutorial",,"town_","sc/events.sc","event_gemmine_banner",,"BattleMusic","sc3d/bgr_tutorial_ground.scw","sc3d/bgr_tutorial.scw",,,"sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/potted_plant_1.scw","potted_plant_1",1,"sc3d/grass_town.scw","sc3d/grass_town.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/plant_town_small.scw",,1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/traffic_cone.scw","traffic_cone",1,"sc3d/water_tile_town.scw","sc3d/wooden_fence_town.scw","sc3d/generic_rope_fence.scw",,"sc3d/indestructible_metal_1.scw",,,,"sc3d/mine_gem_spawn_town.scw",,,,,148,90,115,69,136,255,"town_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>retropolis_fragile_mid_1;destructable_mid_1>retropolis_fragile_mid_1",21,33
,,,,,,,,,,,,,,,,,,,,,,,"sc3d/potted_plant_1.scw","potted_plant_1b",1,,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mine",,"mine_","sc/events.sc","event_gemmine_banner",,"BattleMusic","sc3d/bgr_mine_ground.scw","sc3d/bgr_mine.scw",,,"sc3d/rock1.scw","Rock_1",90,"sc3d/crystal1.scw",,90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/mushroom_1.scw","mushroom_1",1,"sc3d/grass1.scw","sc3d/grass1.scw","sc3d/mushroom_1_small.scw",,1,,,,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/fragile_mushroom.scw","fragile_mushroom",1,"sc3d/water_tile_mine.scw","sc3d/wooden_fence.scw","sc3d/mine_rope_fence.scw","sc3d/payload_track.scw","sc3d/indestructible_metal_1.scw",,,,,,,,,96,68,84,69,136,255,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>fragile_mushroom;destructable_mid_1>fragile_mushroom",21,33
,,,,,,,,,,,"sc3d/rock1.scw","Rock_1b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MineTrainTracks",,"mine_","sc/events.sc","event_gemmine_banner",,"BattleMusic","sc3d/bgr_mine_ground_tracks_1.scw","sc3d/bgr_mine_tracks_1.scw",,,"sc3d/rock1.scw","Rock_1",90,"sc3d/crystal1.scw",,90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/mushroom_1.scw","mushroom_1",1,"sc3d/grass1.scw","sc3d/grass1.scw","sc3d/mushroom_1_small.scw",,1,,,,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/fragile_mushroom.scw","fragile_mushroom",1,"sc3d/water_tile_mine.scw","sc3d/wooden_fence.scw","sc3d/mine_rope_fence.scw",,"sc3d/indestructible_metal_1.scw",,,,,,,,,96,68,84,69,136,255,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>fragile_mushroom;destructable_mid_1>fragile_mushroom",21,33
,,,,,,,,"sc3d/bgr_mine_tracks_1_lights.scw",,,"sc3d/rock1.scw","Rock_1b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"sc3d/bgr_mine_tracks_1_boom_l_top.scw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"sc3d/bgr_mine_tracks_1_boom_l_bot.scw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"sc3d/bgr_mine_tracks_1_boom_r_top.scw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"sc3d/bgr_mine_tracks_1_boom_r_bot.scw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warehouse","TRUE","town_","sc/events.sc","event_robowars_banner",,"BattleMusic","sc3d/bgr_warehouse_ground.scw","sc3d/bgr_warehouse.scw",,,"sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/potted_plant_1.scw","potted_plant_1",1,"sc3d/grass_town.scw","sc3d/grass_town.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/plant_town_small.scw",,1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/traffic_cone.scw","traffic_cone",1,"sc3d/water_tile_town.scw","sc3d/wooden_fence_town.scw","sc3d/generic_rope_fence.scw",,"sc3d/indestructible_metal_1.scw",,,,,,,,,148,90,115,69,136,255,"town_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>retropolis_fragile_mid_1;destructable_mid_1>retropolis_fragile_mid_1",27,39
,,,,,,,,,,,,,,,,,,,,,,,"sc3d/potted_plant_1.scw","potted_plant_1b",1,,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oasis","TRUE","oasis_","sc/events.sc","event_oasis_banner",,"BattleMusic","sc3d/bgr_jungle_ground.scw","sc3d/bgr_jungle.scw",,,"sc3d/rock2.scw","Rock_2",90,"sc3d/stone_ruin_1.scw","stone_ruin_1",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/ball_cactus.scw","ball_cactus",1,"sc3d/grass2.scw","sc3d/grass2.scw","sc3d/plant_1_small.scw",,1,,,,"sc3d/vase_1.scw","vase_1",1,,,,"sc3d/water_tile.scw","sc3d/wooden_fence.scw","sc3d/generic_rope_fence.scw",,"sc3d/indestructible_metal_1.scw",,,,,,,,,234,180,119,69,136,255,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe",,21,33
,,,,,,,,,,,"sc3d/rock2.scw","Rock_2b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,33
