"Name","InfoTID","BgItemName"
"String","String","String"
"BRAWLIDAYS","TID_SKIN_INFO_CAMPAIGN_1_NOT_AVAILABLE","bg_campaign_1"
"LNY_2019","TID_SKIN_INFO_CAMPAIGN_2_NOT_AVAILABLE","bg_campaign_2"
"BRAWLOWEEN","TID_SKIN_INFO_CAMPAIGN_3_NOT_AVAILABLE","bg_campaign_3"
"LINE","TID_SKIN_INFO_CAMPAIGN_4_NOT_AVAILABLE","bg_campaign_4"
"LNY_2020","TID_SKIN_INFO_CAMPAIGN_5_NOT_AVAILABLE","bg_campaign_5"
"PSG","TID_SKIN_INFO_CAMPAIGN_6_NOT_AVAILABLE","bg_campaign_6"
"SC_MAKE","TID_SKIN_INFO_CAMPAIGN_7_NOT_AVAILABLE","bg_campaign_7"
"ARCHIVING","TID_SKIN_INFO_CAMPAIGN_8_NOT_AVAILABLE","bg_campaign_8"
"ARCHIVED","TID_SKIN_INFO_CAMPAIGN_9_NOT_AVAILABLE","bg_campaign_9"
"SC10","TID_SKIN_INFO_CAMPAIGN_10_NOT_AVAILABLE","bg_campaign_10"
"BRAWLPASS","TID_SKIN_INFO_CAMPAIGN_11_NOT_AVAILABLE","bg_campaign_11"
"CHINA","TID_SKIN_INFO_CAMPAIGN_12_NOT_AVAILABLE","bg_campaign_12"
"SILVER","TID_SKIN_INFO_CAMPAIGN_13_NOT_AVAILABLE","bg_campaign_13"
"GOLD","TID_SKIN_INFO_CAMPAIGN_14_NOT_AVAILABLE","bg_campaign_14"
"WF_2020","TID_SKIN_INFO_CAMPAIGN_15_NOT_AVAILABLE","bg_campaign_15"
"BRAWLIDAYS_2018","TID_SKIN_INFO_CAMPAIGN_BRAWLIDAYS_2018","bg_campaign_1"
