Name,Disabled,FileName,BackgroundFile,FallBackMusic,Volume,Loop,PlayCount,FadeOutTimeSec,DurationSec,MovieClipFrameLabel
String,boolean,String,boolean,String,int,boolean,int,int,int,String
BattleMusic,,music/Slugfest_ingame_01.ogg,,,70,TRUE,,,60,
,,music/Slugfest_ingame_03.ogg,,,70,TRUE,,,90,
,,music/Slugfest_ingame_06.ogg,,,70,TRUE,,,75,
,,music/background/Slugfest_ingame_02.ogg,TRUE,,70,TRUE,,,60,
,,music/background/Slugfest_ingame_04.ogg,TRUE,,70,TRUE,,,57,
,,music/background/Slugfest_ingame_07.ogg,TRUE,,70,TRUE,,,71,
,,music/background/Slugfest_ingame_08.ogg,TRUE,,70,TRUE,,,57,
Footbrawl_ingame_muzak,,music/footbrawl_ingame_muzak_01.ogg,,,70,TRUE,,,59,
,TRUE,music/background/footbrawl_ingame_muzak_02.ogg,TRUE,,70,TRUE,,,62,
Scrapyard_ingame_music,TRUE,music/scrapyard_lvl_music_01.ogg,,,70,TRUE,,,63,
Footbrawl_menu_muzak,,music/footbrawl_menu_muzak_01.ogg,,,60,TRUE,,,70,
Brawzaar_menu_muzak,TRUE,music/brawzaar_menu_01.ogg,,,60,TRUE,,,126,
Monsterbrawl_menu_muzak,TRUE,music/bm_menu_01.ogg,,,60,TRUE,,,68,
Monsterbrawl_ingame_muzak,TRUE,music/bm_ingame_01.ogg,,,70,TRUE,,,70,
,TRUE,music/background/big_brawl_battle_02.ogg,TRUE,,70,TRUE,,,53,
Monsterbrawl_boss,TRUE,music/brawlzilla_boss_01.ogg,,,70,TRUE,,,48,
Brawzaar_ingame_muzak,TRUE,music/brawzaar_ingame_01.ogg,,,70,TRUE,,,59,
,,music/background/brawzaar_ingame_02.ogg,TRUE,,70,TRUE,,,63,
Snow_brawl,,music/snow_brawl_01.ogg,,,70,TRUE,,,57,
,,music/snow_brawl_02.ogg,,,70,TRUE,,,65,
,,music/snow_brawl_03.ogg,,,70,TRUE,,,57,
Cny_levels,TRUE,music/cny_ingame_01.ogg,,,70,TRUE,,,64,
,,music/cny_ingame_02.ogg,,,70,TRUE,,,56,
Elprimo_fire_menu,TRUE,music/primo_fire_menu_01.ogg,,,60,TRUE,,,105,
Poco_Band_Ingame,TRUE,music/ingame_poco_track_01.ogg,,,70,TRUE,,,62,
,,music/background/ingame_poco_track_02.ogg,TRUE,,70,TRUE,,,62,
Starpark_Menu_Music,TRUE,music/braw_themepark_menu_01.ogg,,,60,TRUE,,,59,
Giftshop_Level_Music,TRUE,music/brawl_shop_ingame_01.ogg,,,70,TRUE,,,73,
Lunar_Menu_Music,TRUE,music/lunar_brawl_menu_01.ogg,,,60,TRUE,,,63,
Retropolis_battle,TRUE,music/retro_brawl_ingame_01.ogg,,,70,TRUE,,,55,
Retropolis_menu,TRUE,music/brawl_retro_menu_01.ogg,,,60,TRUE,,,66,
Halloween_menu,TRUE,music/brawloween_menu_01.ogg,,,60,TRUE,,,80,
Halloween_ingame,TRUE,music/brawloween_ingame_02.ogg,,,70,TRUE,,,56,
Brawlcade_Menu,TRUE,music/brawlcade_menu_01.ogg,,,60,TRUE,,,57,
Brawlcade_Ingame,TRUE,music/brawlcade_ingame_01.ogg,,,70,TRUE,,,57,
,,music/background/brawlcade_ingame_02.ogg,TRUE,,70,TRUE,,,62,
Space_Brawl_Menu,TRUE,music/military_lase_tag_ingame_01.ogg,,,60,TRUE,,,93,
Space_Brawl_LNY_Menu,TRUE,music/brawl_lunarnewyear_space_lazer_military_01.ogg,,,60,TRUE,,,84,
