"TID","CN"
"string","string"
"TID_POWER_POINTS","能量点数"
"TID_HERO_INFO_LEVEL","等级"
"TID_HERO_INFO_RANK","奖杯等级"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","升至<LVL>级"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","再次点击以确认"
"TID_HERO_INFO_MAX_LEVEL","满级"
"TID_HERO_INFO_MORE_POWER_NEEDED","收集更多能量，升级英雄！"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","英雄的能量点数不足"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","您的金币不足！"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<ccc0000><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_PLAYER_REPORTED_SUCCESSFULLY","已举报玩家！"
"TID_TOO_MANY_REPORTS_SENT","您每日的举报次数已达上限！"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","请稍后再进行举报"
"TID_CHOOSE_CHARACTER","选择英雄"
"TID_ARMOR","生命值"
"TID_ARMOR_DESC","表示英雄在被击败前能够承受的伤害。"
"TID_SHOTGUN_GIRL","雪莉"
"TID_SHOTGUN_GIRL_DESC","雪莉的霰弹枪可发射大型铅弹重创敌人，她的超级技能可摧毁掩体并击退敌人，让敌人无法靠近。"
"TID_LONG_RANGE_SHOTGUN","大口径霰弹枪"
"TID_LONG_RANGE_SHOTGUN_DESC","雪莉的霰弹枪可在大范围内散射出多枚射程中等的弹丸，命中敌人的弹丸越多，造成的伤害越高。"
"TID_MEGA_BLASH_ULTI","超级霰弹"
"TID_MEGA_BLASH_ULTI_DESC","雪莉的超级霰弹可摧毁掩体直击对手，即使有敌人侥幸生还也会被击退。"
"TID_GUNSLINGER","柯尔特"
"TID_GUNSLINGER_DESC","当柯尔特用他那闪亮的左轮手枪命中敌人时，你就会知道他的枪法有多可怕了。他的超级技能可发射更加密集的子弹并粉碎掩体。"
"TID_RAPID_FIRE","左轮手枪"
"TID_RAPID_FIRE_DESC","柯尔特使用他的左轮手枪连续向同一方向连开六枪，可攻击到远距离的敌人。"
"TID_RAPID_FIRE_ULTI","子弹风暴"
"TID_RAPID_FIRE_ULTI_DESC","柯尔特快速地连续射出大量子弹，这些子弹的射程更远且能摧毁掩体。"
"TID_BULL_DUDE","公牛"
"TID_BULL_DUDE_DESC","公牛布兰科就像是一头暴躁的公牛——手持双管猎枪横冲直撞。"
"TID_SHOTGUN_BLAST","双管猎枪"
"TID_SHOTGUN_BLAST_DESC","公牛的双管猎枪伤害相当惊人，但是射程很近，所以公牛喜欢冲到敌人跟前，面对面解决问题。"
"TID_CHARGE","蛮牛冲撞"
"TID_CHARGE_DESC","公牛低下头向前发动蛮牛冲撞，可撞穿敌人和掩体。他的头一直都那么硬！"
"TID_ROCKET_GIRL","布洛克"
"TID_ROCKET_GIRL_DESC","布洛克只做两件事情：用火箭发射器点燃整个战场，用性感的舞步点燃整个派对。"
"TID_FIREWORKS_WEAPON","劲爆火箭炮"
"TID_FIREWORKS_WEAPON_DESC","布洛克发射的火箭弹射程相当惊人。"
"TID_FIREWORKS_ULTI","火箭之雨"
"TID_FIREWORKS_ULTI_DESC","布洛克发射的火箭弹幕可摧毁敌人和掩体。布洛克最期望看到的就是你沐浴在火箭雨中的场景。"
"TID_TNT_DUDE","爆破麦克"
