"Name","Variation","Disabled","ShortName","TID","ChatSuggestionItemName","GameModeRoomIconName","GameModeIconName","BannerOverrideSWF","BannerOverrideExportName","SquareBannerOverrideSWF","SquareBannerOverrideExportName","ScoreSfx","OpponentScoreSfx","ScoreText","ScoreTextEnd","FriendlyMenuOrder","IntroText","IntroDescText","IntroDescText2","StartNotification","EndNotification","Color","FallbackPlayerMapEnvironment"
"string","int","Boolean","String","string","string","string","string","string","string","string","string","string","string","string","string","int","string","string","string","String","String","string","string"
"GemGrab",0,,"GemGrab","TID_GAME_MODE_0","chat_letsplay_gemgrab","event_gameroom_gemgrab","event_icon_gemgrab",,,,,,,,,1,"TID_GAME_MODE_0","TID_COIN_RUSH_INTRO_TEXT",,"CoinRushStart",,"0xffd852ff","MineEnvironment"
"Deleted1",1,"TRUE","Del1",,,,"event_icon_gemgrab",,,,,,,,,,,,,,,,
"Heist",2,,"Heist","TID_GAME_MODE_2","chat_letsplay_heist","event_gameroom_heist","event_icon_heist",,,,,,,,,3,"TID_GAME_MODE_2","TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","AttackDefendStart",,"0xffd852ff","DefaultEnvironment"
"Bounty",3,,"Bounty","TID_GAME_MODE_3","chat_letsplay_wanted","event_gameroom_wanted","event_icon_wanted",,,,,,,,,4,"TID_GAME_MODE_3","TID_BOUNTY_HUNTER_INTRO_TEXT",,"BountyStart",,"0xff24d6ff","DefaultEnvironment"
"Deleted2",4,"TRUE","Del 2",,,,"event_icon_gemgrab",,,,,,,,,,,,,,,,
"BrawlBall",5,,"BrawlBall","TID_GAME_MODE_5","chat_letsplay_brawlball","event_gameroom_brawlball","event_icon_brawlball",,,,,"Brawlbawl_goal","Brawlbawl_other_goal","TID_GOAL","TID_GOAL_MATCH_OVER",5,"TID_GAME_MODE_5","TID_LASER_BALL_INTRO_TEXT",,"LaserBallStart",,"0xff9ab1fd","GrassfieldEnvironment"
"Showdown",6,,"Solo SD","TID_GAME_MODE_6","chat_letsplay_survival","event_gameroom_survival","event_icon_survival",,,,,,,,,2,"TID_GAME_MODE_6","TID_BATTLE_ROYALE_INTRO_TEXT",,"BRStart",,"0xff91e136","DefaultEnvironment"
"BigGame",7,,"BigGame","TID_GAME_MODE_7","chat_letsplay_bossmode","event_gameroom_bossmode","event_icon_bossmode","sc/events.sc","event_boss_banner","sc/events.sc","event_boss_banner_square",,,,,10,"TID_GAME_MODE_7","TID_BOSS_INTRO_TEXT_ATTACK","TID_BOSS_INTRO_TEXT_DEFEND","BossStart",,"0xffff6847",
"RoboRumble",8,,"RoboR","TID_GAME_MODE_8","chat_letsplay_coop","event_gameroom_coop","event_icon_coop","sc/ui.sc","event_coop_banner","sc/events.sc","event_coop_banner_square",,,,,11,"TID_GAME_MODE_8","TID_COOP_INTRO_TEXT",,"CoopStart",,"0xffff6847",
"DuoShowdown",9,,"Duo SD","TID_GAME_MODE_9","chat_letsplay_teamsurvival","event_gameroom_teamsurvival","event_icon_teamsurvival",,,,,,,,,,"TID_GAME_MODE_9","TID_BATTLE_ROYALE_TEAM_INTRO_TEXT",,,,"0xff91e136","DefaultEnvironment"
"BossFight",10,,"BossF","TID_GAME_MODE_10","chat_letsplay_raid","event_gameroom_raid","event_icon_raid","sc/ui.sc","event_raid_banner","sc/events.sc","event_raid_banner_square",,,,,12,"TID_GAME_MODE_10","TID_RAID_BOSS_INTRO_TEXT",,"RaidBossStart",,"0xffff6847",
"Siege",11,,"Siege","TID_GAME_MODE_11","chat_letsplay_robowars","event_gameroom_robowars","event_icon_robowars","sc/events.sc","event_robowars_banner",,,,,,,7,"TID_GAME_MODE_11","TID_ROBO_WARS_INTRO_TEXT",,"RoboWarsStart",,"0xffff6847","ScrapyardEnvironment"
"Tutorial",12,,"Tutorial",,,,"event_icon_gemgrab",,,,,,,,,,,,,,,,
"Training",13,,"Training",,,,"event_icon_gemgrab",,,,,,,,,,,,,,,,
