"TID","EN"
"string","string"
"TID_CHOOSE_CHARACTER","Choose Brawler"
"TID_ARMOR","Health"
"TID_ARMOR_DESC","Health represents how much sustained damage the \nBrawler can absorb before going down."
"TID_SHOTGUN_GIRL","Shelly"
"TID_SHOTGUN_GIRL_DESC","Shotgun Shelly loves to run and gun! Her trusty boomstick makes sure no one gets in her way."
"TID_LONG_RANGE_SHOTGUN","Buckshot"
"TID_LONG_RANGE_SHOTGUN_DESC","Shelly's boomstick is always locked and loaded. You don't want to be anywhere in front of this baby."
"TID_MEGA_BLASH_ULTI","Super Shell"
"TID_MEGA_BLASH_ULTI_DESC","Shelly's Super Shell obliterates both cover and enemies. Any survivors get knocked out of the way."
"TID_GUNSLINGER","Colt"
"TID_GUNSLINGER_DESC","Town Sheriff and resident hair model, Colt enforces the law with long range accuracy and a mighty fine smile."
"TID_RAPID_FIRE","Six-Shooters"
"TID_RAPID_FIRE_DESC","Colt lets his long-range revolvers do his talking for him. He never seems to run out of lines."
"TID_RAPID_FIRE_ULTI","Bullet Train"
"TID_RAPID_FIRE_ULTI_DESC","Colt spins his chambers, rattling off a massive burst of bullets that will shred through almost anything."
"TID_BULL_DUDE","Bull"
"TID_BULL_DUDE_DESC","Bull Blanco is like a bull in a China Shop. A bull with a double barrel shotgun."
"TID_SHOTGUN_BLAST","Double-Barrel"
"TID_SHOTGUN_BLAST_DESC","Bull can't see ten feet, but he doesn't need to! His double barreled shotgun can blow off a barn door with ease."
"TID_CHARGE","Bulldozer"
"TID_CHARGE_DESC","Bull has always been headstrong. So he puts his head down and bulldozes through opponents and obstacles."
"TID_ROCKET_GIRL","Brock"
"TID_ROCKET_GIRL_DESC","When Brock’s not lighting up the battle with rockets, he's lighting up the dance floor with his smooth moves."
"TID_FIREWORKS_WEAPON","Rockin' Rocket"
"TID_FIREWORKS_WEAPON_DESC","Brock lets fly with a single Rockin' Rocket that really goes the distance."
"TID_FIREWORKS_ULTI","Rocket Rain"
"TID_FIREWORKS_ULTI_DESC","Brock only wants to see you bathing in Rocket Rain: an explosive deluge that takes out enemies and obstacles."
"TID_TNT_DUDE","Dynamike"
"TID_TNT_DUDE_DESC","Dynamike is a retired miner who misses the favorite part of his old job - blowing stuff up!"
"TID_MORTAR","Short Fuse"
"TID_MORTAR_DESC","Short-tempered Mike is always moments from blowing up, just like the two lit sticks of dynamite he tosses."
"TID_MORTAR_ULTI","Big Barrel o' Boom"
"TID_MORTAR_ULTI_DESC","A big-bada-barrel of dynamite blows up just about everything. Enemies get knocked back on impact!"
"TID_LUCHADOR","El Primo"
"TID_LUCHADOR_DESC","El Primo was hit by a meteor from outer space, giving him superhuman strength and unrivaled charisma."
"TID_LUCHADOR_WEAPON","Fists of Fury"
"TID_LUCHADOR_WEAPON_DESC","El Primo fires off a furious flurry of four fiery fists.\nThat's a spicy jalapeno knuckle sandwich!"
"TID_LUCHADOR_ULTI","Flying Elbow Drop"
"TID_LUCHADOR_ULTI_DESC","Leaping high, El Primo drops an Intergalactic Elbow that pounds and pushes away anything he lands on!"
"TID_TRICKSHOT_DUDE","Ricochet"
"TID_TRICKSHOT_DUDE_DESC","A former Pool Bot made obsolete by a newer model, Ricochet is banking on his amazing angle-calculation skills to become a great Brawler."
"TID_TRICKSHOT_DUDE_WEAPON","Bouncy Bullets"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Ricochet's bullets bounce off everything except his opponents, and can hit them behind cover."
"TID_TRICKSHOT_DUDE_ULTI","Trick Shot"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Ricochet fires a long burst of bullets that can pierce through enemies and bounce off walls."
"TID_CACTUS","Spike"
"TID_CACTUS_DESC","This strange desert dweller is the last of his kind.\nOr is he...?"
"TID_CACTUS_WEAPON","Needle Grenade"
"TID_CACTUS_WEAPON_DESC","Spike throws a small cactus that explodes, shooting spikes in different directions."
"TID_CACTUS_ULTI","Stick Around!"
"TID_CACTUS_ULTI_DESC","Spike invites all seedlings to a cactus party! Enemies caught in the area take damage and get slowed down."
"TID_BARKEEP","Barley"
"TID_BARKEEP_DESC","Barley just wants to be a regular barkeeper. Grind his gears though - steam comes out and bottles start flying!"
"TID_BARKEEP_WEAPON","Undiluted"
"TID_BARKEEP_WEAPON_DESC","Barley lobs a bottle, breaking it and spilling the contents. Its corrosive contents damage enemies standing in the puddle."
"TID_BARKEEP_ULTI","Last Call"
"TID_BARKEEP_ULTI_DESC","This one’s on the house! Barley hurls a flurry of fiery bottles, covering a huge area in flames. Get out of there, bad guys!"
"TID_MECHANIC","Jessie"
"TID_MECHANIC_DESC","Junker Jessie is a hillbilly girl genius who fashions dangerous gun turrets from scrap."
"TID_MECHANIC_WEAPON","Shock Rifle"
"TID_MECHANIC_WEAPON_DESC","Jessie's own invention, the Shock Rifle fires an energy orb that seeks out up to three targets before fizzling out."
