"Name","FileName","Volume","Loop","PlayCount","FadeOutTimeSec","DurationSec"
"String","String","int","boolean","int","int","int"
"BattleMusic","music/Slugfest_ingame_01.ogg",65,"true",,,60
,"music/Slugfest_ingame_02.ogg",65,"true",,,60
,"music/Slugfest_ingame_03.ogg",65,"true",,,66
,"music/Slugfest_ingame_04.ogg",65,"true",,,57
,"music/Slugfest_ingame_05.ogg",65,"true",,,53
"SingleplayerBattlemusic","music/Slugfest_ingame_01.ogg",65,"true",,,60
,"music/Slugfest_ingame_02.ogg",65,"true",,,60
,"music/Slugfest_ingame_03.ogg",65,"true",,,66
,"music/Slugfest_ingame_04.ogg",65,"true",,,57
,"music/Slugfest_ingame_05.ogg",65,"true",,,60
"MenuMusic","music/Slugfest_menu_01.ogg",60,,1,,124
"WinJingle","music/slugfest_game_won_01.ogg",80,,1,,
"LoseJingle","music/slugfest_game_lost_01.ogg",70,,1,,
"DrawJingle","music/laser_game_draw_01.ogg",70,,1,,
"Win_loop","music/win_screen_loop_4x_01.ogg",60,"true",,,30
"Draw_loop","music/draw_screen_loop_4x_01.ogg",60,"true",,,34
"Lose_loop","music/lose_screen_loop_4x_01.ogg",60,"true",,,28
