"Name","OfferType","IconFrameNumber","MaxResourcePerFrame","FileName","ShopItemAsset","PopupItemAsset","ShopItemBg","MiniOfferAsset","SeparatedSectionOfferAsset","SeparatedSectionTeaseAsset","SeasonalEventOfferAsset","LegendaryOfferAsset","ConfirmItemAsset","ConfirmItemBg","OfferAssetSolo","OfferAssetHalf","OfferAssetQuarter","OfferAssetRankProfile","OfferAssetRankLarge","BrawlPassAssetPaid","BrawlPassAssetFree","RankedRewardAsset","RankedGoalAsset","RewardDescTID"
"String","int","int","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String"
"FreeBox",0,0,,"sc/ui.sc","shop_item_resourses_boxes",,"shop_price_wrapper_1","shop_item_boxes",,,,"shop_item_resourses_boxes","shop_popupitem_6","shop_popupprice_wrapper_1",,,,,,,,,,"TID_SHOP_OFFER_TITLE_0"
"UpgradeMaterial",1,0,200,"sc/ui.sc","shop_item_resourses_coins","shop_popupitem_1","shop_price_wrapper_1","shop_item_resourses_coins",,,,"shop_item_resourses_coins",,"shop_popupprice_wrapper_1","offer_item_coins_big","offer_item_coins_big","offer_item_coins_small","reward_profilebutton_1","reward_popupitem_large_1","brawlpass_reward_premium_coins","brawlpass_reward_free_coins",,"offer_item_coins_small","TID_SHOP_OFFER_TITLE_1"
,,1,500,,,,,,,,,,,,,,,,,,,,,
,,2,1500,,,,,,,,,,,,,,,,,,,,,
,,3,-1,,,,,,,,,,,,,,,,,,,,,
"GuaranteedBox",2,,,"sc/ui.sc","shop_item_brawler","shop_popupitem_2","shop_price_wrapper_1","shop_item_brawler",,,,"shop_item_brawler",,"shop_popupprice_wrapper_1","offer_item_guarantee_brawler_big","offer_item_guarantee_brawler_big","offer_item_guarantee_brawler_small",,,,,,"offer_item_guarantee_brawler_small",
"GuaranteedHero",3,,,"sc/ui.sc","shop_listitem_3","shop_popupitem_3","shop_price_wrapper_1","shop_listitem_3",,,,"shop_listitem_3",,"shop_popupprice_wrapper_1","offer_item_brawler_big","offer_item_brawler_small","offer_item_skin_small","reward_profilebutton_3","reward_popupitem_large_3","brawlpass_reward_premium_brawler","offer_item_skin_small",,"offer_item_skin_small",
"Skin",4,,,"sc/ui.sc","shop_listitem_4","shop_popupitem_4","shop_price_wrapper_1","shop_listitem_4","shop_item_skins","shop_item_skins_coming_soon","shop_item_event_skins","shop_item_legendary_skins",,"shop_popupprice_wrapper_1","offer_item_brawler_big","offer_item_brawler_small","offer_item_skin_small","reward_profilebutton_3","reward_popupitem_large_3","brawlpass_reward_premium_brawler","offer_item_skin_small",,"offer_item_skin_small",
"StarPower",5,,,"sc/ui.sc","shop_item_starpower","shop_popupitem_5","shop_price_wrapper_1","shop_item_starpower",,,,"shop_item_starpower",,"shop_popupprice_wrapper_1","offer_item_star_power_big","offer_item_star_power_big","offer_item_star_power_small",,,,,,"offer_item_star_power_small",
"BrawlBox",6,0,,"sc/ui.sc","shop_item_resourses_boxes","shop_popupitem_6","shop_price_wrapper_1","shop_item_boxes",,,,"shop_item_resourses_boxes","shop_popupitem_6","shop_popupprice_wrapper_1","offer_item_boxes_big","offer_item_boxes_big","offer_item_boxes_small","reward_profilebutton_6",,"brawlpass_reward_premium_brawl_box","brawlpass_reward_free_brawl_box",,"offer_item_boxes_small","TID_SHOP_OFFER_TITLE_6"
"Ticket",7,0,10,"sc/ui.sc","shop_item_resourses_tickets","shop_popupitem_7","shop_price_wrapper_1","shop_item_resourses_tickets",,,,"shop_item_resourses_tickets",,"shop_popupprice_wrapper_1","offer_item_tickets_big","offer_item_tickets_big","offer_item_tickets_small","reward_profilebutton_7",,,,,"offer_item_tickets_small","TID_SHOP_OFFER_TITLE_7"
,,1,50,,,,,,,,,,,,,,,,,,,,,
,,2,-1,,,,,,,,,,,,,,,,,,,,,
"HeroPower",8,,,"sc/ui.sc","shop_item_powerpoints","shop_popupitem_8","shop_price_wrapper_1","shop_item_powerpoints",,,,"shop_item_powerpoints",,"shop_popupprice_wrapper_1","offer_item_brawler_ppoints_big","offer_item_brawler_ppoints_big","offer_item_brawler_ppoints_small",,,,,,"offer_item_brawler_ppoints_small","TID_SHOP_OFFER_TITLE_8"
"CoinDoubler",9,,,"sc/ui.sc","shop_item_resourses_coin_doubler","shop_popupitem_9","shop_price_wrapper_1","shop_item_coin_doubler",,,,"shop_item_coin_doubler",,"shop_popupprice_wrapper_1","offer_item_token_doubler_big","offer_item_token_doubler_big","offer_item_token_doubler_small","reward_profilebutton_9","reward_popupitem_large_9","reward_popupitem_large_9","reward_popupitem_small_9",,"offer_item_token_doubler_small","TID_SHOP_OFFER_TITLE_9"
"BigBox",10,2,,"sc/ui.sc","shop_item_resourses_boxes","shop_popupitem_10","shop_price_wrapper_1","shop_item_boxes",,,,"shop_item_resourses_boxes","shop_popupitem_10","shop_popupprice_wrapper_1","offer_item_boxes_big","offer_item_boxes_big","offer_item_boxes_small","reward_profilebutton_10","reward_popupitem_large_10","brawlpass_reward_premium_mega_box","brawlpass_reward_free_mega_box",,"offer_item_boxes_small","TID_SHOP_OFFER_TITLE_10"
"Keys",11,,,"sc/ui.sc","shop_listitem_11",,"shop_price_wrapper_1","shop_listitem_11",,,,"shop_listitem_11",,"shop_popupprice_wrapper_1","shop_largeitem_11","shop_largeitem_11","shop_listitem_11",,,,,,,
"WildcardPower",12,,,"sc/ui.sc","shop_listitem_12","shop_popupitem_12","shop_price_wrapper_1","shop_listitem_12",,,,"shop_listitem_12",,"shop_popupprice_wrapper_1","offer_item_power_points_big","offer_item_power_points_big","offer_item_power_points_small","reward_profilebutton_12","reward_popupitem_large_12","brawlpass_reward_premium_power_points","brawlpass_reward_free_power_points",,"offer_item_power_points_small","TID_SHOP_OFFER_TITLE_12"
"EventSlot",13,,,"sc/ui.sc","shop_listitem_13",,"shop_price_wrapper_1","shop_listitem_13",,,,"shop_listitem_13",,"shop_popupprice_wrapper_1","shop_largeitem_13","shop_largeitem_13","shop_listitem_13","reward_profilebutton_13","reward_popupitem_large_13","reward_popupitem_large_13",,,,
