"Name","FileName","ExportName","ExportNameEnemy","ShadowExportName","GroundGlowExportName","LoopingEffect","Value","Value2","TriggerRangeSubTiles","TriggerAreaEffect","CanBePickedUp","SpawnEffect"
"string","string","string","string","string","string","string","int","int","int","string","boolean","string"
"Health","sc/effects.sc","soul","soul",,"pickup_glow_green","Health_fx",16000,,3,,"true","Spawn_plasmoid"
"Speed","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green","Health_fx",300,,3,,"true","Spawn_plasmoid"
"DamageAndSpeed","sc/effects.sc","power_up_bottle_pickup","power_up_bottle_pickup",,"pickup_glow_green","power_up_bottle_sparkle",200,200,3,,"true","Spawn_buff"
"Point","sc/effects.sc","blob_pickup","blob_pickup",,"pickup_glow","Blob_fx",,,3,,"true","Spawn_plasmoid"
"Corpse","sc/effects.sc","soul","soul",,"pickup_glow_green","Health_fx",800,,3,,"true","Spawn_plasmoid"
"OrbSpawner","sc/level.sc","spawn_hole","spawn_hole","spawn_hole_shadow",,,,,,,,"Spawn_plasmoid"
"Mine","sc/effects.sc","mine","mine_red","projectile_shadow",,,800,1150,3,"MineExplosion","true","Spawn_mine"
"SupplyCrate","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green",,,,,,,"Spawn_plasmoid"
"BoxOfMines","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green",,3,8,,,,"Spawn_plasmoid"
"BattleRoyaleBuff","sc/effects.sc","showdown_boost_pickup","showdown_boost_pickup",,"pickup_glow_green","Health_fx",10,400,3,,"true","Spawn_plasmoid"
"Money","sc/effects.sc","wanted_star_pickup","wanted_star_pickup",,"pickup_glow_gold","Blob_fx",1,,3,,"true","Spawn_plasmoid"
"BoxOfBombs","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green",,3,9,,,,"Spawn_plasmoid"
"Bomb","sc/effects.sc","grenade_01","grenade_01_red","projectile_shadow",,,800,300,200,"SniperBombExplosion","true","Spawn_sniper_bomb"
"BoxOfSelfDestructBombs","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green",,6,20,,,,"Spawn_plasmoid"
"SelfDestructBomb","sc/effects.sc","cannon_projectile_blue","cannon_projectile_red","projectile_shadow",,,800,1300,200,"SelfDestructExplosion","true","artillery_dude_turret_attack"
