"TID","FR"
"string","string"
"TID_CHOOSE_CHARACTER","Choisissez brawler"
"TID_ARMOR","Santé"
"TID_ARMOR_DESC","La santé indique combien de dégâts votre brawler\npeut encaisser avant de se faire descendre."
"TID_SHOTGUN_GIRL","Shelly"
"TID_SHOTGUN_GIRL_DESC","Shotgun Shelly adore les fusils. Son fidèle pétard garantit que personne ne se mettra en travers de son chemin."
"TID_LONG_RANGE_SHOTGUN","Buckshot"
"TID_LONG_RANGE_SHOTGUN_DESC","Shelly garde toujours son pétard prêt à tirer. Vous ne voulez pas vous retrouver nez au canon avec ce petit."
"TID_MEGA_BLASH_ULTI","Super shell"
"TID_MEGA_BLASH_ULTI_DESC","La super shell anéantit les cachettes comme les ennemis. Les survivants sont projetés loin, loin..."
"TID_GUNSLINGER","Colt"
"TID_GUNSLINGER_DESC","Shérif de la ville et mannequin à ses heures, Colt fait respecter la loi et toujours avec le sourire."
"TID_RAPID_FIRE","Six-Shooters"
"TID_RAPID_FIRE_DESC","Colt s'exprime avec ses colts longue portée. Et il a réponse à tout."
"TID_RAPID_FIRE_ULTI","Bullet Train"
"TID_RAPID_FIRE_ULTI_DESC","Les barillets tournent et une pluie de balles s'abat et anéantit à peu près n'importe quoi."
"TID_BULL_DUDE","Bull"
"TID_BULL_DUDE_DESC","Tel un taureau dans un magasin de porcelaine... Un taureau avec un fusil à double canon."
"TID_SHOTGUN_BLAST","Double-Barrel"
"TID_SHOTGUN_BLAST_DESC","Bull est myope comme une taupe, mais avec un fusil qui pulvérise les portes des granges, ça ne lui pose pas de problème."
"TID_CHARGE","Bulldozer"
"TID_CHARGE_DESC","Bull est un peu impétueux. Il fonce tête baissée et renverse tous les adversaires et obstacles sur son chemin."
"TID_ROCKET_GIRL","Brock"
"TID_ROCKET_GIRL_DESC","Brock illumine le champ de bataille avec ses roquettes, ou la piste de danse avec son talent. Au choix."
"TID_FIREWORKS_WEAPON","Rockin' rocket"
"TID_FIREWORKS_WEAPON_DESC","Brock tire une seule roquette. Qui aurait cru que ce machin pouvait aller aussi loin ?"
"TID_FIREWORKS_ULTI","Rocket Rain"
"TID_FIREWORKS_ULTI_DESC","Une pluie de roquettes élimine ennemis et obstacles dans un déluge explosif concocté tout spécialement par Brock."
"TID_TNT_DUDE","Dynamike"
"TID_TNT_DUDE_DESC","Mineur à la retraite, Dynamike n'a pas oublié la partie la plus essentielle de son ancien travail : les explosions !"
"TID_MORTAR","Short Fuse"
"TID_MORTAR_DESC","Mike a très peu de patience et les deux bâtons de dynamite qu'il jette explosent toujours très rapidement."
"TID_MORTAR_ULTI","Big Barrel o' Boom"
"TID_MORTAR_ULTI_DESC","Un tonneau de dynamite règle à peu près tous les problèmes. Ennemis soufflés au loin garanti !"
"TID_LUCHADOR","El Primo"
"TID_LUCHADOR_DESC","Un fâcheux impact avec un météore a fait d'El Primo l'homme le plus fort et le plus charismatique de tous."
"TID_LUCHADOR_WEAPON","Fists of Fury"
"TID_LUCHADOR_WEAPON_DESC","C'est une vraie tempête aux jalapeños : El Primo donne quatre coups de poing rapides comme l'éclair !"
"TID_LUCHADOR_ULTI","Flying Elbow Drop"
"TID_LUCHADOR_ULTI_DESC","Un grand saut et El Primo donne un coup de coude intergalactique repoussant tout ce qui se tient à proximité."
"TID_TRICKSHOT_DUDE","Ricochet"
"TID_TRICKSHOT_DUDE_DESC","Robot de billard obsolète, Ricochet veut se faire une place chez les brawlers grâce à son talent pour les calculs de trajectoires."
"TID_TRICKSHOT_DUDE_WEAPON","Bouncy Bullets"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Les balles de Ricochet ricochent sur tout et peuvent atteindre ses adversaires même à couvert."
"TID_TRICKSHOT_DUDE_ULTI","Trick Shot"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Ricochet tire en rafale des balles qui rebondissent contre les murs et transpercent ses ennemis."
"TID_CACTUS","Spike"
"TID_CACTUS_DESC","Cet étrange habitant du désert est le dernier de son espèce.\nEnfin c'est ce qu'on dit..."
"TID_CACTUS_WEAPON","Needle Grenade"
"TID_CACTUS_WEAPON_DESC","Spike lance un petit cactus qui explose et projette des épines de partout."
"TID_CACTUS_ULTI","Stick Around!"
"TID_CACTUS_ULTI_DESC","Tous les cactus sont invités à la fête ! En plus des dégâts infligés, les ennemis à proximité sont ralentis."
"TID_BARKEEP","Barley"
"TID_BARKEEP_DESC","Barley rêve de devenir un barman ordinaire. Mais ne le cherchez pas trop ou les bouteilles vont voler !"
"TID_BARKEEP_WEAPON","Undiluted"
"TID_BARKEEP_WEAPON_DESC","Barley lance une bouteille. En se brisant, elle crée une flaque corrosive infligeant des dégâts aux ennemis qui marchent dedans."
"TID_BARKEEP_ULTI","Last Call"
"TID_BARKEEP_ULTI_DESC","Tournée générale ! Avec une volée de cocktails qui mettent le feu à une large surface, Barley fait fuir tous les méchants !"
"TID_MECHANIC","Jessie"
"TID_MECHANIC_DESC","Un peu pécore mais pas bête : Junker Jessie peut construire une tourelle avec n'importe quoi."
"TID_MECHANIC_WEAPON","Shock Rifle"
"TID_MECHANIC_WEAPON_DESC","Inventé par Jessie, le shock rifle génère une boule d'énergie qui cherche jusqu'à trois cibles avant de disparaître."
"TID_MECHANIC_ULTI","Scrappy!"
"TID_MECHANIC_ULTI_DESC","Quel génie ! Jessie bidouille une tourelle avec les pièces qu'elle trouve."
"TID_SHAMAN","Nita"
"TID_SHAMAN_DESC","Nita Littlefoot est l'héritière d'une longue lignée de shamans. Son animal totem est Big Baby Bear."
"TID_SHAMAN_WEAPON","Rupture"
"TID_SHAMAN_WEAPON_DESC","Nita génère une onde de choc qui fend le sol et inflige des dégâts aux ennemis dans son sillage."
"TID_SHAMAN_ULTI","Overbearing"
"TID_SHAMAN_ULTI_DESC","Nita invoque Big Baby Bear pour qu'il mette tous ses ennemis en pièce."
"TID_UNDERTAKER","Mortis"
