"Name","IconSWF","IconExportName","Category"
"String","String","String","String"
"clan_badge_01_01","sc/ui.sc","clan_badge_01_01",
"clan_badge_01_02","sc/ui.sc","clan_badge_01_02",
"clan_badge_01_03","sc/ui.sc","clan_badge_01_03",
"clan_badge_01_04","sc/ui.sc","clan_badge_01_04",
"clan_badge_02_01","sc/ui.sc","clan_badge_02_01",
"clan_badge_02_02","sc/ui.sc","clan_badge_02_02",
"clan_badge_02_03","sc/ui.sc","clan_badge_02_03",
"clan_badge_02_04","sc/ui.sc","clan_badge_02_04",
"clan_badge_03_01","sc/ui.sc","clan_badge_03_01",
"clan_badge_03_02","sc/ui.sc","clan_badge_03_02",
"clan_badge_03_03","sc/ui.sc","clan_badge_03_03",
"clan_badge_03_04","sc/ui.sc","clan_badge_03_04",
"clan_badge_04_01","sc/ui.sc","clan_badge_04_01",
"clan_badge_04_02","sc/ui.sc","clan_badge_04_02",
"clan_badge_04_03","sc/ui.sc","clan_badge_04_03",
"clan_badge_04_04","sc/ui.sc","clan_badge_04_04",
"clan_badge_05_01","sc/ui.sc","clan_badge_05_01",
"clan_badge_05_02","sc/ui.sc","clan_badge_05_02",
"clan_badge_05_03","sc/ui.sc","clan_badge_05_03",
"clan_badge_05_04","sc/ui.sc","clan_badge_05_04",
"clan_badge_01_05","sc/ui.sc","clan_badge_01_05",
"clan_badge_01_06","sc/ui.sc","clan_badge_01_06",
"clan_badge_02_05","sc/ui.sc","clan_badge_02_05",
"clan_badge_02_06","sc/ui.sc","clan_badge_02_06",
"clan_badge_03_05","sc/ui.sc","clan_badge_03_05",
"clan_badge_03_06","sc/ui.sc","clan_badge_03_06",
"clan_badge_04_05","sc/ui.sc","clan_badge_04_05",
"clan_badge_04_06","sc/ui.sc","clan_badge_04_06",
"clan_badge_05_05","sc/ui.sc","clan_badge_05_05",
"clan_badge_05_06","sc/ui.sc","clan_badge_05_06",
"clan_badge_01_07","sc/ui.sc","clan_badge_01_07",
"clan_badge_01_08","sc/ui.sc","clan_badge_01_08",
"clan_badge_01_09","sc/ui.sc","clan_badge_01_09",
"clan_badge_01_10","sc/ui.sc","clan_badge_01_10",
"clan_badge_02_07","sc/ui.sc","clan_badge_02_07",
"clan_badge_02_08","sc/ui.sc","clan_badge_02_08",
"clan_badge_02_09","sc/ui.sc","clan_badge_02_09",
"clan_badge_02_10","sc/ui.sc","clan_badge_02_10",
"clan_badge_03_07","sc/ui.sc","clan_badge_03_07",
"clan_badge_03_08","sc/ui.sc","clan_badge_03_08",
"clan_badge_03_09","sc/ui.sc","clan_badge_03_09",
"clan_badge_03_10","sc/ui.sc","clan_badge_03_10",
"clan_badge_04_07","sc/ui.sc","clan_badge_04_07",
"clan_badge_04_08","sc/ui.sc","clan_badge_04_08",
"clan_badge_04_09","sc/ui.sc","clan_badge_04_09",
"clan_badge_04_10","sc/ui.sc","clan_badge_04_10",
"clan_badge_05_07","sc/ui.sc","clan_badge_05_07",
"clan_badge_05_08","sc/ui.sc","clan_badge_05_08",
"clan_badge_05_09","sc/ui.sc","clan_badge_05_09",
"clan_badge_05_10","sc/ui.sc","clan_badge_05_10",
"clan_badge_06_01","sc/ui.sc","clan_badge_06_01",
"clan_badge_06_02","sc/ui.sc","clan_badge_06_02",
"clan_badge_06_03","sc/ui.sc","clan_badge_06_03",
"clan_badge_06_04","sc/ui.sc","clan_badge_06_04",
"clan_badge_06_05","sc/ui.sc","clan_badge_06_05",
"clan_badge_06_06","sc/ui.sc","clan_badge_06_06",
"clan_badge_06_07","sc/ui.sc","clan_badge_06_07",
"clan_badge_06_08","sc/ui.sc","clan_badge_06_08",
"clan_badge_06_09","sc/ui.sc","clan_badge_06_09",
"clan_badge_06_10","sc/ui.sc","clan_badge_06_10",
