Name,Event,RequiredMood,MinWinStreak,MinLoginStreak,MinDaysAway,CooldownSeconds,DailyCap,Priority,Enabled,ReactionEmotion,VoicelineNodeKey,DefaultLineTID,LifetimeCap
string,string,string,int,int,int,int,int,int,boolean,string,string,string,int
ACH-01,BattleLost,,0,0,0,0,0,20,true,wary,ach_post_loss,TID_COMPANION_FALLBACK_ACH_01,0
ACH-02,BattleWon,,0,0,0,0,0,20,true,happy,ach_post_win,TID_COMPANION_FALLBACK_ACH_02,0
ACH-03,BattleWon,,3,0,0,0,0,10,true,,ach_win_streak,TID_COMPANION_FALLBACK_ACH_03,0
EVT-04,SessionStarted,,0,0,0,0,1,10,true,surprised,evt_first_lobby_of_day,TID_COMPANION_FALLBACK_EVT_04,0
PI-02,Poke,,0,0,0,10,0,30,true,chill,pi_poke_gentle,TID_COMPANION_FALLBACK_PI_02,0
PI-04,GentleShake,,0,0,0,10,0,30,true,chill,pi_shake_gentle,TID_COMPANION_FALLBACK_PI_04,0
PI-05,Shake,,0,0,0,10,0,30,true,wary,pi_shake_rapid,TID_COMPANION_FALLBACK_PI_05,0
ACH-05,BrawlerUnlocked,,0,0,0,0,0,10,true,chill,ach_brawler_unlocked,TID_COMPANION_FALLBACK_ACH_05,0
ACH-07,LoadoutItemUnlocked,,0,0,0,0,0,20,true,,ach_loadout_unlocked,TID_COMPANION_FALLBACK_ACH_07,0
ACH-04,TrophyMilestone,,0,0,0,0,0,20,true,chill,ach_trophy_milestone,TID_COMPANION_FALLBACK_ACH_04,0
GMP-05,CosmeticEquipped,,0,0,0,10,3,30,true,surprised,gmp_cosmetic_equipped,TID_COMPANION_FALLBACK_GMP_05,0
MEM-01,SessionStarted,,0,2,0,0,1,5,true,happy,mem_login_streak,TID_COMPANION_FALLBACK_MEM_01,0
MEM-02,SessionStarted,,0,0,2,0,1,5,true,sad,mem_login_inactivity,TID_COMPANION_FALLBACK_MEM_02,0
GMP-02,BrawlerPicked,,0,0,0,10,0,20,true,chill,gmp_brawler_picked,TID_COMPANION_FALLBACK_GMP_02,0
GMP-01,ModePicked,,0,0,0,10,0,20,true,neutral,gmp_mode_picked,TID_COMPANION_FALLBACK_GMP_01,0
TMU-01,TeamMemberJoined,,0,0,0,60,3,10,true,surprised,evt_member_joined,,0
TMU-02,JoinedTeam,,0,0,0,60,2,10,true,surprised,evt_joined_team,,0
RR-3,RewardFull,,0,0,0,60,0,5,true,happy,rr_reward_full,TID_COMPANION_FALLBACK_RR_3,0
PI-03,PokeRapid,,0,0,0,5,0,30,true,wary,pi_poke_rapid,TID_COMPANION_FALLBACK_PI_03,0
PI-06,Bounce,,0,0,0,10,0,30,true,happy,pi_bounce,TID_COMPANION_FALLBACK_PI_06,0
PI-07,DragGentle,,0,0,0,10,0,30,true,chill,pi_drag_gentle,TID_COMPANION_FALLBACK_PI_07,0
PI-08,DragRapid,,0,0,0,10,0,30,true,wary,pi_drag_rapid,TID_COMPANION_FALLBACK_PI_08,0
PI-09,SqueezeGentle,,0,0,0,10,0,30,true,happy,pi_squeeze_gentle,TID_COMPANION_FALLBACK_PI_09,0
PI-10,SqueezeRapid,,0,0,0,10,0,30,true,wary,pi_squeeze_rapid,TID_COMPANION_FALLBACK_PI_10,0
PI-11,Spin,,0,0,0,10,0,30,true,surprised,pi_spin,TID_COMPANION_FALLBACK_PI_11,0
ESC-01,IdleShort,,0,0,0,180,0,40,true,neutral,esc_idle_short,TID_COMPANION_FALLBACK_ESC_01,0
ESC-02,IdleLong,,0,0,0,300,0,40,true,tired,esc_idle_long,TID_COMPANION_FALLBACK_ESC_02,0
ESC-03,IdleDrift,,0,0,0,0,1,40,true,surprised,esc_idle_drift,TID_COMPANION_FALLBACK_ESC_03,0
ACH-08,NewPrestige,,0,0,0,0,0,10,true,,ach_new_prestige,TID_COMPANION_FALLBACK_ACH_08,0
TMU-03,TeammateQuickChat,,0,0,0,15,0,30,true,happy,tmu_quick_chat,TID_COMPANION_FALLBACK_TMU_03,0
TMU-04,TeammateEmote,,0,0,0,15,0,30,true,surprised,tmu_emote,TID_COMPANION_FALLBACK_TMU_04,0
TMU-05,FriendOnline,,0,0,0,60,2,20,true,happy,tmu_friend_online,TID_COMPANION_FALLBACK_TMU_05,0
FTUE-01,FtueIntro,,0,0,0,0,0,1,true,happy,ftue_intro,TID_COMPANION_FALLBACK_FTUE_01,1
FTUE-02,BattleWon,,0,0,0,0,0,1,true,,ftue_first_win,TID_COMPANION_FALLBACK_FTUE_02,1
FTUE-03,ChaosCollected,,0,0,0,0,0,1,true,surprised,ftue_chaos_drops,TID_COMPANION_FALLBACK_FTUE_03,1
FTUE-04,RewardFull,,0,0,0,0,0,1,true,happy,ftue_reward_ready,TID_COMPANION_FALLBACK_FTUE_04,1
FTUE-05,RewardClaimed,,0,0,0,0,0,1,true,chill,ftue_reward_cleared,TID_COMPANION_FALLBACK_FTUE_05,1
GB-01,Farewell,,0,0,0,60,0,1,true,chill,gb_goodbye,TID_COMPANION_FALLBACK_GB_01,0
