"Name","Type","Conditions","ConditionCompareAndOr","Values","BoolValues","Projectiles","AreaEffects","Characters","Skills","StatusEffects"
"string","string","string","string","int","boolean","string","string","string","string","string"
"MenderUltiFearAction","TriggerStatusTarget","MenderFacingDirectionUlti","And","","","","","","","MenderUltiFear"
"MenderUltiSlowAction","TriggerStatusTarget","","And","","","","","","","MenderUltiSlow"
"MenderUltiOverchargedStatusesAction","TriggerStatusTarget","","And","","","","","","","MenderUltiFear"
"","","","","","","","","","","MenderUltiSlow"
"","","","","","","","","","","MenderUltiOverchargedDamageReceiveBoost"
"ShadowdemonCloneBulletHit","TriggerShadowClone","","And","","","","","","",""
"MechadDudeOverchargedSlow","TriggerStatusTarget","","","","","","","","","MechaDudeHyperchargeSlow"
"FutureGirlGiveConsumableShield","GiveConsumableShieldToAlly","","","760","","","","","",""
"","","","","200","","","","","",""
"","","","","4000","","","","","",""
"MechaDudeOverchargeShotAreaEffectAction","AttachAreaEffect","","","","","","MechaDudeBulletHitExplosionOvercharged","","",""
"SpeedyOverchargedBuddyWeaponAction","TriggerAreaEffectSource","","","","","","SpeedyOverchargedBuddyWeaponArea","","",""
"PowerLevelerGadgetShieldGiveAmmo","GiveAmmoSource","","","1","","","","","",""
"PowerLevelerGadgetShieldGadgetCooldown","ReduceAccessoryCooldownSource","","","50","","","","","",""
"AttractorAttachProjectileMagnetAction","AttachAreaEffect","","And","","","","AttractorProjectileMagnetAreaStatuses","","",""
"","","","","","","","AttractorProjectileMagnetAreaActions","","",""
"AttractorProjectileHomingAction","SetProjectileHomingToAreaFollowTarget","","And","","","","","","",""
"StackerCollectPet","StackerCollectPet","","","","","","","","",""
"StackerAutoCollectPet","StackerAutoCollectPet","","","","","","","","",""
"KatanaKidUltiWarningHideStatusAction","TriggerStatusSource","","","","","","","","","KatanaKidHide"
"KatanaKidUltiWarningOverchargedPushbackAction","TriggerPushbackTarget","","","-70","true","","","","",""
"","","","","0","false","","","","",""
"","","","","0","","","","","",""
"ConductorSlowSpAction","TriggerStatusTarget","","","","","","","","","ConductorSpSlow"
