"Name","LogicProjectile","Disabled","FileName","BlueSCW","RedSCW","SCWLayer","BlueExportName","RedExportName","Layer","ShadowExportName","ShadowLayer","BlueGroundGlowExportName","RedGroundGlowExportName","GroundGlowLayer","PreExplosionExportFileName","PreExplosionBlueExportName","PreExplosionRedExportName","PreExplosionScale","HitEffectEnv","HitEffectChar","MaxRangeReachedEffect","CancelEffect","MirrorReachedEffects","HideTime","Scale","RandomStartFrame","TrailEffect","SpecialTrailEffect","SpecialTrailEffect2","TrailBehaviorType","MirrorTrailEffects","TargetedToSourceEffect","TargetedToSourceEffectOnTarget","Rendering","AnimateByDistanceTravelled","SpecialVisualState","HideFaster","UseColorMod","RedAdd","GreenAdd","BlueAdd","RedMul","GreenMul","BlueMul","GroundBasis","AppliedEffectVisualType","VisualizeEndPoint","CustomObject","CustomObject2","Components"
"string","string","boolean","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","int","string","string","string","string","boolean","int","int","int","string","string","string","int","boolean","string","string","string","boolean","boolean","boolean","boolean","int","int","int","int","int","int","boolean","int","boolean","string","string","string"
"ShotgunGirlProjectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","","bullet_shotgun_def_blue_long","bullet_shotgun_def_red_long","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","bull_def_atk_reached","","","0","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShotgunGirlUltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","","bullet_shotgun_ulti_blue","bullet_shotgun_ulti_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","shelly_def_ulti_reached","","","0","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly002Projectile","ShotgunGirlProjectile","","sc/effects.sc","","","","shelly_attack_anim_blue","shelly_attack_anim_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","no_hit","","","0","100","","shotgun_trail_small","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly002UltiProjectile","ShotgunGirlUltiProjectile","","sc/effects.sc","","","","shelly_ulti_anim_blue","shelly_ulti_anim_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","no_hit","","","0","100","","gen_trail_small","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly009Projectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","","shelly_002_atk_projectile","shelly_002_atk_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_002_atk_hitenv","shelly_002_atk_hit","shelly_002_atk_reached","","","0","100","","shelly_002_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly009UltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","","shelly_002_ulti_projectile","shelly_002_ulti_projectile_red","","shadow_normal_circle_big","","","","","","","","","shelly_002_ulti_hitenv","shelly_002_ulti_hit","shelly_002_ulti_reached","","","0","100","2","shelly_002_ulti_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly003Projectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","","shelly_003_atk_projectile","shelly_003_atk_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_003_atk_hitenv","shelly_003_atk_hit","shelly_003_atk_reached","","","0","100","","shelly_003_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly003UltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","","shelly_003_ulti_projectile","shelly_003_ulti_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_003_ulti_reached","shelly_003_ulti_hit_red","shelly_003_ulti_reached","","","0","100","","shelly_003_ulti_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly004Projectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","","bullet_shotgun_def_blue_long","shelly_003_atk_projectile_red","","","","projectile_light","projectile_light_red","","","","","","shelly_003_atk_hitenv","shelly_003_atk_hit","","","","0","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly004UltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","","shelly_003_ulti_projectile","shelly_003_ulti_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_003_ulti_reached","shelly_003_ulti_hit_red","shelly_003_ulti_reached","","","0","100","","shelly_003_ulti_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly005Projectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","","shelly_005_atk_projectile","shelly_005_atk_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_005_atk_hitenv","shelly_005_atk_hit","shelly_005_atk_reached","","","0","100","1","shelly_005_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly005UltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","","shelly_005_ulti_projectile","shelly_005_ulti_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_005_ulti_reached","shelly_005_ulti_hit_red","shelly_005_ulti_reached","","","0","100","1","shelly_005_ulti_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly006Projectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","","shelly_006_atk_projectile","shelly_006_atk_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_006_atk_hitenv","shelly_006_atk_hit","shelly_006_atk_reached","","","0","100","2","shelly_006_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly006UltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","","shelly_006_ulti_projectile","shelly_006_ulti_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_006_ulti_reached","shelly_006_ulti_hit_red","shelly_006_ulti_reached","","","0","100","2","shelly_006_ulti_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly007Projectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","","shelly_007_atk_projectile","shelly_007_atk_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_007_atk_hitenv","shelly_007_atk_hit","shelly_007_atk_reached","","","0","100","2","shelly_007_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly007UltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","","shelly_007_ulti_projectile","shelly_007_ulti_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_007_ulti_hitenv","shelly_007_ulti_hit_red","shelly_007_ulti_reached","","","0","100","2","shelly_007_ulti_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly008Projectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","","shelly_008_atk_projectile","shelly_008_atk_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_008_atk_hitenv","shelly_008_atk_hit","shelly_008_atk_reached","","","0","100","2","shelly_008_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly008UltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","","shelly_008_ulti_projectile","shelly_008_ulti_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_008_ulti_hitenv","shelly_008_ulti_hit_red","shelly_008_ulti_reached","","","0","100","2","shelly_008_ulti_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly010Projectile","ShotgunGirlProjectile","","sc/effects_brawler_shelly.sc","","","","shelly_010_atk_projectile","shelly_010_atk_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_010_atk_hit_env","shelly_010_atk_hit","shelly_010_atk_reached","","","0","100","2","shelly_010_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
