"Name","Disabled","StarterPackLike","Variant","PanelAssetOverride","OfferCardAssetOverride","PopupAssetOverride","OverrideBg","UseCollabEventSC"
"String","boolean","boolean","String","String","String","String","String","boolean"
"Extended",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",,
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",,
,,,"OTHER",,,"shop_1_starter_pack_popup_offer_items_only",,
"sb",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer","offer_bgr_sb",
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",,
,,,"OTHER",,,"shop_1_starter_pack_popup_offer_items_only",,
"sb_discount",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer","offer_bgr_sb_gold",
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",,
,,,"OTHER",,,"shop_1_starter_pack_popup_offer_items_only",,
"sb_free",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer","offer_bgr_sb_free",
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",,
,,,"OTHER",,,"shop_1_starter_pack_popup_offer_items_only",,
"sb_epic",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer","offer_bgr_sb_epic",
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",,
,,,"OTHER",,,"shop_1_starter_pack_popup_offer_items_only",,
"toy",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack_collab","offer_1_item_starter_pack_collab","shop_1_starter_pack_popup_offer","offer_bgr_pizza_planet_rare",
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack_collab","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",,
,,,"OTHER","panel_offer_collab",,"shop_1_starter_pack_popup_offer_items_only",,
"toy_mega",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack_collab","offer_1_item_starter_pack_collab","shop_1_starter_pack_popup_offer","offer_bgr_pizza_planet_legendary",
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack_collab","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",,
,,,"OTHER","panel_offer_collab",,"shop_1_starter_pack_popup_offer_items_only",,
"toy_epic",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack_collab","offer_1_item_starter_pack_collab","shop_1_starter_pack_popup_offer","offer_bgr_pizza_planet_epic",
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack_collab","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",,
,,,"OTHER","panel_offer_collab",,"shop_1_starter_pack_popup_offer_items_only",,
"toy_free",,"TRUE","HERO_HIGHLIGHT","panel_starter_pack_collab","offer_1_item_starter_pack_collab","shop_1_starter_pack_popup_offer","offer_bgr_pizza_planet_free",
,,,"OVERCHARGE_HIGHLIGHT","panel_starter_pack_collab","offer_1_item_starter_pack","shop_1_starter_pack_popup_offer",,
,,,"OTHER","panel_offer_collab",,"shop_1_starter_pack_popup_offer_items_only",,
"card_pack",,"TRUE","HERO_HIGHLIGHT","panel_offer_collab_card_pack","offer_1_item_collab_card_pack","offer_1_item_collab_card_pack",,TRUE
,,,"OVERCHARGE_HIGHLIGHT","panel_offer_collab_card_pack","offer_1_item_collab_card_pack","offer_1_item_collab_card_pack",,
,,,"OTHER","panel_offer_collab_card_pack","offer_1_item_collab_card_pack","offer_1_item_collab_card_pack",,
