"Name","Collab","Contest","EventSlot","GameModeVariation","ClipOverrideSWF","ClipOverrideExportName","ModeOverrideSWF","ModeOverrideIconName","ModeOverrideRoomIconName","BannerOverrideSWF","BannerOverrideExportName","ModeBigCoverSWF","ModeBigCoverExportName","HideDefaultTextsFromBanner","HideDefaultTimeFromBanner","HideGameModeGraphicsWhileTall","IdleFrameLabel"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean","boolean","boolean","string"
"DemonsScoreboardSiege","Demons","AngelsAndDemonsContest","Contest","Siege",,,"sc/ui.sc","event_icon_petwars","event_gameroom_petwars_square",,,,,"TRUE","TRUE","TRUE","collab"
"DemonsScoreboardTrioShowdown","Demons","AngelsAndDemonsContest","Contest","TrioShowdown",,,"sc/ui.sc","event_icon_triosurvival","event_gameroom_triosurvival_square",,,,,"TRUE","TRUE","TRUE","collab"
"DemonsScoreboardPossession","Demons","AngelsAndDemonsContest","Contest","KillConfirmed",,,"sc/ui.sc","event_icon_killconfirm","event_gameroom_killconfirm_square",,,,,"TRUE","TRUE","TRUE","collab"
"DemonsSiege",,,,"Siege",,,"sc/ui.sc","event_icon_petwars","event_gameroom_petwars_square",,,,,"TRUE",,"TRUE",
"DemonsTrioShowdown",,,,"TrioShowdown",,,"sc/ui.sc","event_icon_triosurvival","event_gameroom_triosurvival_square",,,,,"TRUE",,"TRUE",
"DemonsPossession",,,,"KillConfirmed",,,"sc/ui.sc","event_icon_killconfirm","event_gameroom_killconfirm_square",,,,,"TRUE",,"TRUE",
"ToyStoryScoreboardAirHockey","Toys","ArcadePlanetContest","Contest","AirHockey",,,,"event_icon_air_hockey","event_air_hockey_contest_banner",,,,"event_air_hockey_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardGemGrab2v2","Toys","ArcadePlanetContest","Contest","GemGrab2v2",,,,"event_icon_gemgrab_2v2","event_2v2_gemgrab_contest_banner",,,,"event_2v2_gemgrab_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardPayloadSingle","Toys","ArcadePlanetContest","Contest","PayloadSingle",,,,"event_icon_payload_single","event_payload_single_contest_banner",,,,"event_payload_single_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardBrawlBall2v2","Toys","ArcadePlanetContest","Contest","BrawlBall2v2",,,,"event_icon_brawlball_2v2","event_2v2_brawlball_contest_banner",,,,"event_2v2_brawlball_contest_cover","TRUE","TRUE","TRUE","contest"
