"Name","Variation","Disabled","TID","ChatSuggestionItemName","GameModeRoomIconName","GameModeIconName","ScoreSfx","OpponentScoreSfx","ScoreText","ScoreTextEnd","FriendlyMenuOrder","IntroText","IntroDescText","IntroDescText2"
"string","int","Boolean","string","string","string","string","string","string","string","string","int","string","string","string"
"GemGrab",0,,,"chat_letsplay_gemgrab","event_gameroom_gemgrab","event_icon_gemgrab",,,,,1,"TID_GAME_MODE_0","TID_COIN_RUSH_INTRO_TEXT",
"Deleted1",1,"TRUE",,,,,,,,,,,,
"Heist",2,,,"chat_letsplay_heist","event_gameroom_heist","event_icon_heist",,,,,3,"TID_GAME_MODE_2","TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND"
"Bounty",3,,,"chat_letsplay_wanted","event_gameroom_wanted","event_icon_wanted",,,,,4,"TID_GAME_MODE_3","TID_BOUNTY_HUNTER_INTRO_TEXT",
"Deleted2",4,"TRUE",,,,,,,,,,,,
"BrawlBall",5,,,"chat_letsplay_brawlball","event_gameroom_brawlball","event_icon_brawlball","Brawlbawl_goal","Brawlbawl_other_goal","TID_GOAL","TID_GOAL_MATCH_OVER",5,"TID_GAME_MODE_5","TID_LASER_BALL_INTRO_TEXT",
"Showdown",6,,,"chat_letsplay_survival","event_gameroom_survival","event_icon_survival",,,,,2,"TID_GAME_MODE_6","TID_BATTLE_ROYALE_INTRO_TEXT",
"BigGame",7,,,"chat_letsplay_bossmode","event_gameroom_bossmode","event_icon_bossmode",,,,,10,"TID_GAME_MODE_7","TID_BOSS_INTRO_TEXT_ATTACK","TID_BOSS_INTRO_TEXT_DEFEND"
"RoboRumble",8,,,"chat_letsplay_coop","event_gameroom_coop","event_icon_coop",,,,,11,"TID_GAME_MODE_8","TID_COOP_INTRO_TEXT",
"DuoShowdown",9,,,"chat_letsplay_teamsurvival","event_gameroom_teamsurvival","event_icon_teamsurvival",,,,,,"TID_GAME_MODE_9","TID_BATTLE_ROYALE_TEAM_INTRO_TEXT",
"BossFight",10,,,"chat_letsplay_raid","event_gameroom_raid","event_icon_raid",,,,,12,"TID_GAME_MODE_10","TID_RAID_BOSS_INTRO_TEXT",
"Siege",11,,,"chat_letsplay_robowars","event_gameroom_robowars","event_icon_robowars",,,,,7,"TID_GAME_MODE_11","TID_ROBO_WARS_INTRO_TEXT",
"Tutorial",12,,,,,,,,,,,,,
"Training",13,,,,,,,,,,,,,
"Takedown",14,,,"chat_letsplay_takedown","event_gameroom_takedown","event_icon_takedown",,,,,8,"TID_GAME_MODE_14","TID_BOSS_RACE_INTRO_TEXT",
"LoneStar",15,,,"chat_letsplay_lone_star","event_gameroom_lone_star","event_icon_lone_star",,,,,9,"TID_GAME_MODE_15","TID_BOUNTY_HUNTER_INTRO_TEXT",
"CTF",16,,,"chat_letsplay_ctf","event_gameroom_ctf","event_icon_ctf","Brawl_xmas_flag_win","Brawl_xmas_flag_lose","TID_CTF_GOAL","TID_CTF_GOAL_MATCH_OVER",6,"TID_GAME_MODE_16","TID_CTF_INTRO_TEXT",
"KingOfHill",17,,,"chat_letsplay_king_of_hill","event_gameroom_king_of_hill","event_icon_king_of_hill",,,,,12,"TID_GAME_MODE_17","TID_KING_OF_HILL_INTRO_TEXT",
