Name,TypeName,Type,GemPrice,BlingPrice,TicketPrice,RecruitTokenPrice,Reward,Weight1,Weight2,Weight3,Weight4,Weight5,Weight6,Group,Category,GuaranteedDrop,DrawTimes,CanDropWhenUnreleased
String,String,int,int,int,int,int,String,int,int,int,int,int,int,int,int,int,int,boolean
NewHeroBoxPaidSmall,Common_Cosmetics_Box,1000006,,,7,,Coins L,3012276,3012276,3012176,3012176,3012076,3012076,1,2,0,1,
,,,,,,,Coins XL,1506138,1506038,1506038,1505938,1505938,1505838,1,,0,,
,,,,,,,Power Points L,3012276,3012276,3012176,3012176,3012076,3012076,1,,0,,
,,,,,,,Power Points XL,1506138,1506038,1506038,1505938,1505938,1505838,1,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,1,,45,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,1,,176,,
,,,,,,,Brawler Epic,51594,51594,51594,51594,51594,51594,1,,388,,
,,,,,,,Brawler Mythic,23534,23534,23534,23534,23534,23534,1,,850,,
,,,,,,,Brawler Legendary,10409,10609,10809,11009,11209,11409,1,,1922,,
,,,,,,,Gadget,200000,200000,200000,200000,200000,200000,1,,100,,
,,,,,,,Star Power,100000,100000,100000,100000,100000,100000,1,,200,,
,,,,,,,Overcharge,10000,10000,10000,10000,10000,10000,1,,0,,
,,,,,,,Brawler x10,40,40,40,40,40,40,1,,0,,
,,,,,,,Brawler x20,30,30,30,30,30,30,1,,0,,
,,,,,,,Brawler x40,20,20,20,20,20,20,1,,0,,
,,,,,,,Brawler All,10,10,10,10,10,10,1,,0,,
,,,,,,,Brawler Rare Perfect,200,200,200,200,200,200,1,,0,,
,,,,,,,Brawler Super Rare Perfect,200,200,200,200,200,200,1,,0,,
,,,,,,,Brawler Epic Perfect,200,200,200,200,200,200,1,,0,,
,,,,,,,Brawler Mythic Perfect,150,150,150,150,150,150,1,,0,,
,,,,,,,Brawler Legendary Perfect,150,150,150,150,150,150,1,,0,,
NewHeroBoxPaidLarge,Big_Cosmetics_Box,1000007,,,56,,Coins L,3012276,3012276,3012176,3012176,3012076,3012076,1,2,0,10,
,,,,,,,Coins XL,1506138,1506038,1506038,1505938,1505938,1505838,1,,0,,
,,,,,,,Power Points L,3012276,3012276,3012176,3012176,3012076,3012076,1,,0,,
,,,,,,,Power Points XL,1506138,1506038,1506038,1505938,1505938,1505838,1,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,1,,45,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,1,,176,,
,,,,,,,Brawler Epic,51594,51594,51594,51594,51594,51594,1,,388,,
,,,,,,,Brawler Mythic,23534,23534,23534,23534,23534,23534,1,,850,,
,,,,,,,Brawler Legendary,10409,10609,10809,11009,11209,11409,1,,1922,,
,,,,,,,Gadget,200000,200000,200000,200000,200000,200000,1,,100,,
,,,,,,,Star Power,100000,100000,100000,100000,100000,100000,1,,200,,
,,,,,,,Overcharge,10000,10000,10000,10000,10000,10000,1,,0,,
,,,,,,,Brawler x10,40,40,40,40,40,40,1,,0,,
,,,,,,,Brawler x20,30,30,30,30,30,30,1,,0,,
,,,,,,,Brawler x40,20,20,20,20,20,20,1,,0,,
,,,,,,,Brawler All,10,10,10,10,10,10,1,,0,,
,,,,,,,Brawler Rare Perfect,200,200,200,200,200,200,1,,0,,
,,,,,,,Brawler Super Rare Perfect,200,200,200,200,200,200,1,,0,,
,,,,,,,Brawler Epic Perfect,200,200,200,200,200,200,1,,0,,
,,,,,,,Brawler Mythic Perfect,150,150,150,150,150,150,1,,0,,
,,,,,,,Brawler Legendary Perfect,150,150,150,150,150,150,1,,0,,
,,,,,,,Coins L,3012276,3012276,3012176,3012176,3012076,3012076,2,,0,,
,,,,,,,Coins XL,1506138,1506038,1506038,1505938,1505938,1505838,2,,0,,
,,,,,,,Power Points L,3012276,3012276,3012176,3012176,3012076,3012076,2,,0,,
,,,,,,,Power Points XL,1506138,1506038,1506038,1505938,1505938,1505838,2,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,2,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,2,,0,,
,,,,,,,Brawler Epic,51594,51594,51594,51594,51594,51594,2,,0,,
,,,,,,,Brawler Mythic,23534,23534,23534,23534,23534,23534,2,,0,,
,,,,,,,Brawler Legendary,10409,10609,10809,11009,11209,11409,2,,0,,
,,,,,,,Gadget,200000,200000,200000,200000,200000,200000,2,,0,,
,,,,,,,Star Power,100000,100000,100000,100000,100000,100000,2,,0,,
,,,,,,,Overcharge,10000,10000,10000,10000,10000,10000,2,,0,,
,,,,,,,Brawler x10,40,40,40,40,40,40,2,,0,,
,,,,,,,Brawler x20,30,30,30,30,30,30,2,,0,,
,,,,,,,Brawler x40,20,20,20,20,20,20,2,,0,,
,,,,,,,Brawler All,10,10,10,10,10,10,2,,0,,
,,,,,,,Brawler Rare Perfect,200,200,200,200,200,200,2,,0,,
,,,,,,,Brawler Super Rare Perfect,200,200,200,200,200,200,2,,0,,
,,,,,,,Brawler Epic Perfect,200,200,200,200,200,200,2,,0,,
,,,,,,,Brawler Mythic Perfect,150,150,150,150,150,150,2,,0,,
,,,,,,,Brawler Legendary Perfect,150,150,150,150,150,150,2,,0,,
,,,,,,,Coins L,3012276,3012276,3012176,3012176,3012076,3012076,3,,0,,
,,,,,,,Coins XL,1506138,1506038,1506038,1505938,1505938,1505838,3,,0,,
,,,,,,,Power Points L,3012276,3012276,3012176,3012176,3012076,3012076,3,,0,,
,,,,,,,Power Points XL,1506138,1506038,1506038,1505938,1505938,1505838,3,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,3,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,3,,0,,
,,,,,,,Brawler Epic,51594,51594,51594,51594,51594,51594,3,,0,,
,,,,,,,Brawler Mythic,23534,23534,23534,23534,23534,23534,3,,0,,
,,,,,,,Brawler Legendary,10409,10609,10809,11009,11209,11409,3,,0,,
,,,,,,,Gadget,200000,200000,200000,200000,200000,200000,3,,0,,
,,,,,,,Star Power,100000,100000,100000,100000,100000,100000,3,,0,,
,,,,,,,Overcharge,10000,10000,10000,10000,10000,10000,3,,0,,
,,,,,,,Brawler x10,40,40,40,40,40,40,3,,0,,
,,,,,,,Brawler x20,30,30,30,30,30,30,3,,0,,
,,,,,,,Brawler x40,20,20,20,20,20,20,3,,0,,
,,,,,,,Brawler All,10,10,10,10,10,10,3,,0,,
,,,,,,,Brawler Rare Perfect,200,200,200,200,200,200,3,,0,,
,,,,,,,Brawler Super Rare Perfect,200,200,200,200,200,200,3,,0,,
,,,,,,,Brawler Epic Perfect,200,200,200,200,200,200,3,,0,,
,,,,,,,Brawler Mythic Perfect,150,150,150,150,150,150,3,,0,,
,,,,,,,Brawler Legendary Perfect,150,150,150,150,150,150,3,,0,,
,,,,,,,Coins L,3012276,3012276,3012176,3012176,3012076,3012076,4,,0,,
,,,,,,,Coins XL,1506138,1506038,1506038,1505938,1505938,1505838,4,,0,,
,,,,,,,Power Points L,3012276,3012276,3012176,3012176,3012076,3012076,4,,0,,
,,,,,,,Power Points XL,1506138,1506038,1506038,1505938,1505938,1505838,4,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,4,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,4,,0,,
,,,,,,,Brawler Epic,51594,51594,51594,51594,51594,51594,4,,0,,
,,,,,,,Brawler Mythic,23534,23534,23534,23534,23534,23534,4,,0,,
,,,,,,,Brawler Legendary,10409,10609,10809,11009,11209,11409,4,,0,,
,,,,,,,Gadget,200000,200000,200000,200000,200000,200000,4,,0,,
,,,,,,,Star Power,100000,100000,100000,100000,100000,100000,4,,0,,
,,,,,,,Overcharge,10000,10000,10000,10000,10000,10000,4,,0,,
,,,,,,,Brawler x10,40,40,40,40,40,40,4,,0,,
,,,,,,,Brawler x20,30,30,30,30,30,30,4,,0,,
,,,,,,,Brawler x40,20,20,20,20,20,20,4,,0,,
,,,,,,,Brawler All,10,10,10,10,10,10,4,,0,,
,,,,,,,Brawler Rare Perfect,200,200,200,200,200,200,4,,0,,
,,,,,,,Brawler Super Rare Perfect,200,200,200,200,200,200,4,,0,,
,,,,,,,Brawler Epic Perfect,200,200,200,200,200,200,4,,0,,
,,,,,,,Brawler Mythic Perfect,150,150,150,150,150,150,4,,0,,
,,,,,,,Brawler Legendary Perfect,150,150,150,150,150,150,4,,0,,
,,,,,,,Coins L,3012276,3012276,3012176,3012176,3012076,3012076,5,,0,,
,,,,,,,Coins XL,1506138,1506038,1506038,1505938,1505938,1505838,5,,0,,
,,,,,,,Power Points L,3012276,3012276,3012176,3012176,3012076,3012076,5,,0,,
,,,,,,,Power Points XL,1506138,1506038,1506038,1505938,1505938,1505838,5,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,5,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,5,,0,,
,,,,,,,Brawler Epic,51594,51594,51594,51594,51594,51594,5,,0,,
,,,,,,,Brawler Mythic,23534,23534,23534,23534,23534,23534,5,,0,,
,,,,,,,Brawler Legendary,10409,10609,10809,11009,11209,11409,5,,0,,
,,,,,,,Gadget,200000,200000,200000,200000,200000,200000,5,,0,,
,,,,,,,Star Power,100000,100000,100000,100000,100000,100000,5,,0,,
,,,,,,,Overcharge,10000,10000,10000,10000,10000,10000,5,,0,,
,,,,,,,Brawler x10,40,40,40,40,40,40,5,,0,,
