TID,EN,AR,CN,CNT,DE,ES,FI,FR,HE,ID,IT,JP,KR,MS,NL,PL,PT,RU,TH,TR,VI
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
TID_CLUB_LEAGUE_LEAGUES_POPUP_MESSAGE,Promotion & demotions at the end of each Club League season!\nClimb the leagues to increase your Club Coin rewards.,تجري الترقيات وإنزال الرتب في نهاية كل موسم دوري اتحاد.\nارتق في الدوريات لتزيد من مكافآت نقود الاتحاد.,战队联赛赛季结束时，战队有可能晋级或降级！\n全力以赴提升战队联赛段位，赢取更丰厚的战队币奖励。,戰隊聯賽賽季結束後，戰隊有可能晉級、降級或維持在原本聯賽RANK級數！\n全力以赴提升戰隊聯賽RANK級數，贏取更豐富的戰隊幣獎勵。,"Am Ende jeder Clubliga-Saison kannst du auf- oder absteigen!\nErklimme die Ligen, um deine Clubmünzen-Belohnungen zu erhöhen.",¡Asciende o desciende de liga al final de cada temporada de la liga de clubs!\nSube de liga para ganar más monedas del club.,"Ylennyksiä ja alennuksia jokaisen jengiliigan kauden päätteeksi!\nNouse korkeampiin liigoihin, niin ansaitset enemmän jengikolikoita.",Essayez de progresser dans la ligue des clubs saison après saison!\nDécrochez le plus de récompenses possible.,קידום והורדה בדרגה בסוף כל עונה של ליגת מועדונים!\nטפסו במעלה הליגות כדי להגדיל את מספר פרסי מטבעות המועדון.,Promosi dan demosi akan dilakukan di akhir setiap musim Liga Geng!\nCapai Liga Geng yang lebih tinggi untuk memaksimalkan hadiah Koin Geng.,Ecco le divisioni a cui si viene promossi o retrocessi alla fine di ogni stagione della lega dei club. Scalale per aumentare la quantità di monete del club in palio.,クラブリーグシーズンが終了すると、クラブが昇格または降格します。\n上位リーグになるほど、獲得できるクラブコイン報酬が増えますよ！,각 클럽 리그 시즌이 끝나면 승급과 강등이 진행됩니다!\n리그 순위를 올려 클럽 코인 보상을 늘리세요.,Kelab dinaikkan & diturunkan pangkat pada penghujung setiap musim Liga Kelab!\nPanjat liga untuk meningkatkan ganjaran Syiling Kelab anda.,Clubs promoveren of degraderen aan het einde van een competitieseizoen!\nBereik hogere divisies om meer clubmunten te verdienen!,"Na koniec każdego sezonu Ligi Klubowej klub może zostać awansowany lub zdegradowany!\nWspinaj się na szczyt rankingów lig, aby zwiększyć nagrody monet klubowych.",Promoções e rebaixamentos no fim da liga do clube!\nSuba nas ligas para aumentar a quantidade de moedas do clube recebidas como recompensa.,"Переход в лигу выше или ниже уровнем в конце каждого сезона Лиги клубов!\nЧем выше лига, тем больше монет клуба можно получить в награду.",มีการเลื่อนขั้นและลดขั้นเมื่อสิ้นสุดลีกคลับในแต่ละฤดูกาล!\nไต่ลีกเพื่อเพิ่มรางวัลเหรียญคลับ,Lig değişiklikleri kulüp ligi sezonlarının sonunda gerçekleşir.\nÜst liglere çıktıkça kazanabileceğin kulüp altını artar.,Quá trình thăng cấp và giáng cấp diễn ra vào cuối mỗi mùa Giải đấu Câu lạc bộ!\nVươn lên các giải đấu cao hơn để nhận được phần thưởng Xu Câu lạc bộ nhiều hơn.
TID_IMPORTANT_MESSAGE_TITLE,IMPORTANT NOTICE,تنبيه مهم,重要提示,重要提醒,WICHTIGER HINWEIS,AVISO IMPORTANTE,TÄRKEÄ ILMOITUS,ANNONCE IMPORTANTE,הודעה חשובה,PEMBERITAHUAN PENTING,AVVISO IMPORTANTE,重要なお知らせ,중요 공지,NOTIS PENTING,BELANGRIJK BERICHT,WAŻNY KOMUNIKAT,AVISO IMPORTANTE,ВАЖНОЕ УВЕДОМЛЕНИЕ,ประกาศสำคัญ,ÖNEMLİ DUYURU,LƯU Ý QUAN TRỌNG
TID_TEAM_ERROR_127,Invite failed. Player can't participate in an ongoing Club League season!,فشلت الدعوة. لا يمكن للاعب المشاركة في موسم دوري اتحادات جارٍ.,邀请失败，玩家无法加入正在进行的战队联赛赛季！,邀請失敗，玩家無法加入正在進行的戰隊聯賽賽季！,Einladung fehlgeschlagen. Spieler kann nicht an einer bereits laufenden Clubliga-Saison teilnehmen!,No se puede enviar la invitación. ¡El jugador no puede participar en una temporada de la liga de clubs en curso!,Kutsu epäonnistui. Pelaaja ei voi osallistua jengiliigan nykyiselle kaudelle!,L'invitation a échoué. Le joueur ne peut pas participer à la saison en cours.,ההזמנה נכשלה. השחקן אינו יכול להשתתף בעונה מתמשכת של ליגת מועדונים!,Gagal mengundang: Pemain tidak bisa berpartisipasi di musim Liga Geng kali ini!,Errore nell'invito. Il giocatore non può partecipare a una stagione della lega in corso.,このプレイヤーは、進行中のクラブリーグシーズンにエントリーできないため、招待できません。,초대 실패: 진행 중인 클럽 리그 시즌에는 참여할 수 없습니다!,Jemputan gagal. Pemain tidak boleh menyertai musim Liga Kelab yang sedang berjalan!,Uitnodigen mislukt. Spelers kunnen niet deelnemen aan een lopend competitieseizoen.,Zaproszenie zakończone niepowodzeniem. Gracz nie może uczestniczyć w bieżącym sezonie Ligi Klubowej!,Falha ao convidar. O jogador não pode participar de uma temporada em andamento da liga de clubes!,Пригласить не удалось. Игрок не может участвовать в этом сезоне Лиги клубов!,คำเชิญล้มเหลว ผู้เล่นไม่สามารถเข้าร่วมฤดูกาลลีกคลับที่กำลังดำเนินอยู่ได้!,Davet edilemedi. Oyuncu devam etmekte olan kulüp ligi sezonlarına katılamaz.,Không thể mời. Người chơi không thể tham gia một mùa Giải đấu Câu lạc bộ đang diễn ra!
TID_TEAM_ERROR_128,Invite failed. Player doesn't have enough Club Tickets!,فشلت الدعوة. لا يملك اللاعب عددًا كافيًا من تذاكر الاتحاد.,邀请失败，玩家门票数量不足！,邀請失敗，玩家入場券數量不足！,Einladung fehlgeschlagen. Spieler hat nicht genug Clubtickets!,No se puede enviar la invitación. ¡El jugador no tiene suficientes tiques del club!,Kutsu epäonnistui. Pelaajalla ei ole tarpeeksi jengilippuja!,L'invitation a échoué. Le joueur n'a pas assez de tickets.,ההזמנה נכשלה. לשחקן אין מספיק כרטיסי מועדון!,Gagal mengundang: Pemain tidak memiliki Tiket Geng yang cukup!,Errore nell'invito. Il giocatore non ha abbastanza biglietti del club.,このプレイヤーはクラブチケットが足りないため、招待できません。,초대 실패: 플레이어가 가진 클럽 티켓이 부족합니다!,Jemputan gagal. Pemain tidak mempunyai tiket kelab yang cukup!,Uitnodigen mislukt. Deze speler heeft niet genoeg clubtickets.,Zaproszenie zakończone niepowodzeniem. Gracz nie ma wystarczająco biletów klubowych!,Falha ao convidar. O jogador não tem ingressos suficientes!,Пригласить не удалось. У игрока не хватает билетов клуба!,คำเชิญล้มเหลว ผู้เล่นมีตั๋วคลับไม่เพียงพอ!,Davet edilemedi. Oyuncunun kulüp bileti yetersiz.,Không thể mời. Người chơi không có đủ Vé Câu lạc bộ!
TID_TEAM_ERROR_129,Team join request failed. You can't participate in an ongoing Club League season!,فشل طلب انضمام إلى الفريق. لا يمكنك المشاركة في موسم دوري اتحادات جارٍ.,组队请求发送失败，您无法加入正在进行的战队联赛赛季！,小隊請求發送失敗，你無法加入正在進行的戰隊聯賽賽季！,Team-Beitrittsanfrage fehlgeschlagen. Du kannst nicht an einer bereits laufenden Clubliga-Saison teilnehmen!,No se puede enviar la solicitud de unión al equipo. ¡No puedes participar en una temporada de la liga de clubs en curso!,Liittymispyyntö joukkueeseen epäonnistui. Et voi osallistua jengiliigan nykyiselle kaudelle!,La demande a échoué. Vous ne pouvez pas participer à la saison en cours.,בקשת ההצטרפות לקבוצה נכשלה. אין באפשרותך להשתתף בעונה מתמשכת של ליגת מועדונים!,Gagal meminta bergabung ke tim: Kamu tidak bisa berpartisipasi di musim Liga Geng kali ini!,Impossibile inviare la richiesta. Non puoi partecipare a una stagione della lega in corso.,進行中のクラブリーグシーズンにエントリーできないため、チームへの参加申請ができません。,팀 가입 요청 실패: 진행 중인 클럽 리그 시즌에는 참여할 수 없습니다!,Permintaan menyertai pasukan gagal. Anda tidak boleh menyertai musim Liga Kelab yang sedang berjalan!,Teamdeelnameverzoek mislukt. Je kunt niet deelnemen aan een lopend competitieseizoen.,Nie wysłano prośby o dołączenie do drużyny. Nie możesz uczestniczyć w bieżącym sezonie Ligi Klubowej!,Não foi possível pedir para entrar na equipe. Você não pode participar de uma temporada em andamento da liga de clubes!,Запрос на вступление в команду не удался. Ты не можешь участвовать в этом сезоне Лиги клубов!,คำขอเข้าร่วมทีมล้มเหลว คุณไม่สามารถเข้าร่วมฤดูกาลลีกคลับที่กำลังดำเนินอยู่ได้!,Takıma katılma isteği gönderilemedi. Devam etmekte olan kulüp ligi sezonlarına katılamazsın.,Không thể yêu cầu gia nhập đội. Bạn không thể tham gia một mùa Giải đấu Câu lạc bộ đang diễn ra!
TID_TEAM_ERROR_130,Can't join team. You can't participate in an ongoing Club League season!,لا يمكنك الانضمام إلى الفريق. لا يمكنك المشاركة في موسم دوري اتحادات جارٍ.,无法加入小队，您无法加入正在进行的战队联赛赛季！,無法加入小隊，你無法加入正在進行的戰隊聯賽賽季！,Team kann nicht beigetreten werden. Du kannst nicht an einer bereits laufenden Clubliga-Saison teilnehmen!,No es posible unirse al equipo. ¡No puedes participar en una temporada de la liga de clubs en curso!,Et voi liittyä joukkueeseen. Et voi osallistua jengiliigan nykyiselle kaudelle!,Impossible de rejoindre l'équipe. Vous ne pouvez pas participer à la saison en cours.,לא ניתן להצטרף לקבוצה. אין באפשרותך להשתתף בעונה מתמשכת של ליגת מועדונים!,Gagal bergabung ke tim: Kamu tidak bisa berpartisipasi di musim Liga Geng kali ini!,Impossibile unirsi alla squadra. Non puoi partecipare a una stagione della lega in corso.,進行中のクラブリーグシーズンにエントリーできないため、チームに参加できません。,팀 가입 실패: 진행 중인 클럽 리그 시즌에는 참여할 수 없습니다!,Tidak dapat menyertai pasukan. Anda tidak boleh menyertai musim Liga Kelab yang sedang berjalan!,Aansluiten bij team mislukt. Je kunt niet deelnemen aan een lopend competitieseizoen.,Nie można dołączyć do drużyny. Nie możesz uczestniczyć w bieżącym sezonie Ligi Klubowej!,Não é possível entrar na equipe. O jogador não pode participar de uma temporada em andamento da liga de clubes!,Нельзя вступить в команду. Ты не можешь участвовать в этом сезоне Лиги клубов!,ไม่สามารถเข้าร่วมทีมได้ คุณไม่สามารถเข้าร่วมฤดูกาลลีกคลับที่กำลังดำเนินอยู่ได้!,Takıma katılamadın. Devam etmekte olan kulüp ligi sezonlarına katılamazsın.,Không thể gia nhập đội. Bạn không thể tham gia một mùa Giải đấu Câu lạc bộ đang diễn ra!
TID_TEAM_ERROR_131,Team join request failed. You don't have enough Club Tickets!,فشل طلب الانضمام إلى الفريق. لا تملك عددًا كافيًا من تذاكر الاتحاد.,组队请求发送失败，您的门票数量不足！,小隊請求發送失敗，你的入場券數量不足！,Team-Beitrittsanfrage fehlgeschlagen. Du hast nicht genug Clubtickets.,No se puede enviar la solicitud de unión al equipo. ¡No tienes suficientes tiques del club!,Liittymispyyntö joukkueeseen epäonnistui. Sinulla ei ole tarpeeksi jengilippuja!,La demande a échoué. Vous n'avez pas assez de tickets.,בקשת ההצטרפות לקבוצה נכשלה. אין לך מספיק כרטיסי מועדון!,Gagal meminta bergabung ke tim: Kamu tidak memiliki Tiket Geng yang cukup!,Impossibile inviare la richiesta. Non hai abbastanza biglietti del club.,クラブチケットが足りないため、チームへの参加申請ができません。,팀 참가 요청 실패: 클럽 티켓이 부족합니다!,Permintaan menyertai pasukan gagal. Anda tidak mempunyai tiket kelab yang cukup!,Teamdeelnameverzoek mislukt. Je hebt niet genoeg clubtickets.,Nie wysłano prośby o dołączenie do drużyny. Nie masz wystarczająco biletów klubowych!,Não foi possível pedir para entrar na equipe. Você não tem ingressos suficientes!,Запрос на вступление в команду не удался. У тебя не хватает билетов клуба!,คำขอเข้าร่วมทีมล้มเหลว คุณมีตั๋วคลับไม่เพียงพอ!,Takıma katılma isteği gönderilemedi. Kulüp biletin yetersiz.,Không thể yêu cầu gia nhập đội. Bạn không có đủ Vé Câu lạc bộ!
TID_TEAM_ERROR_132,Can't join team. You don't have enough Club Tickets!,لا يمكنك الانضمام إلى الفريق. لا تملك عددًا كافيًا من تذاكر الاتحاد.,无法加入小队，您的门票数量不足！,無法加入小隊，你的入場券數量不足！,Team konnte nicht beigetreten werden. Du hast nicht genug Clubtickets!,No es posible unirse al equipo. ¡No tienes suficientes tiques del club!,Et voi liittyä joukkueeseen. Sinulla ei ole tarpeeksi jengilippuja!,Impossible de rejoindre l'équipe. Vous n'avez pas assez de tickets.,לא ניתן להצטרף לקבוצה. אין לך מספיק כרטיסי מועדון!,Gagal bergabung ke tim: Kamu tidak memiliki Tiket Geng yang cukup!,Impossibile unirsi alla squadra. Non hai abbastanza biglietti del club.,クラブチケットが足りないため、チームに参加できません。,팀 가입 실패: 클럽 티켓이 부족합니다!,Tidak dapat menyertai pasukan. Anda tidak mempunyai tiket kelab yang cukup!,Aansluiten bij team mislukt. Je hebt niet genoeg clubtickets.,Nie można dołączyć do drużyny. Nie masz wystarczająco biletów klubowych!,Não é possível entrar na equipe. Você não tem ingressos suficientes!,Нельзя вступить в команду. У тебя не хватает билетов клуба!,ไม่สามารถเข้าร่วมทีมได้ คุณมีตั๋วคลับไม่เพียงพอ!,Takıma katılamadın. Kulüp biletin yetersiz.,Không thể gia nhập đội. Bạn không có đủ Vé Câu lạc bộ!
TID_TEAM_AD_JOIN_FAIL_NOT_ENOUGH_TICKETS_PLAYER,Can't join team. Player doesn't have enough Club Tickets!,لا يمكن الانضمام إلى الفريق. لا يملك اللاعب عددًا كافيًا من تذاكر الاتحاد.,无法加入小队，玩家门票数量不足！,無法加入小隊，玩家入場券數量不足！,Team kann nicht beigetreten werden. Spieler hat nicht genug Clubtickets!,No es posible unirse al equipo. ¡El jugador no tiene suficientes tiques del club!,Ei voi liittyä joukkueeseen. Pelaajalla ei ole tarpeeksi jengilippuja!,Impossible de rejoindre l'équipe. Le joueur n'a pas assez de tickets.,לא ניתן להצטרף לקבוצה. לשחקן אין מספיק כרטיסי מועדון!,Gagal bergabung ke tim: Pemain tidak memiliki Tiket Geng yang cukup!,Impossibile unirsi alla squadra. Il giocatore non ha abbastanza biglietti del club.,このプレイヤーはクラブチケットが足りないため、チームに参加できません。,팀 가입 실패: 플레이어가 가진 클럽 티켓이 부족합니다!,Tidak dapat menyertai pasukan. Pemain tidak mempunyai tiket kelab yang cukup!,Aansluiten bij team mislukt. Deze speler heeft niet genoeg clubtickets.,Nie można dołączyć do drużyny. Gracz nie ma wystarczająco biletów klubowych!,Não é possível entrar na equipe. O jogador não tem ingressos suficientes!,Нельзя вступить в команду. У игрока не хватает билетов клуба!,ไม่สามารถเข้าร่วมทีมได้ ผู้เล่นมีตั๋วคลับไม่เพียงพอ!,Takıma katılamadın. Oyuncunun kulüp bileti yetersiz.,Không thể gia nhập đội. Người chơi không có đủ Vé Câu lạc bộ!
