"Name","WorldNumber","IconExportPath","TierTrophyThresholds","NameTID"
"string","int","String","int","string"
"World1",1,"icon_trophyworld_townsquare",140,"TID_TROPHY_WORLD_NAME_1"
,,,310,
,,,500,
"World2",2,"icon_trophyworld_retropolis",800,"TID_TROPHY_WORLD_NAME_2"
,,,1100,
,,,1500,
"World3",3,"icon_trophyworld_frontierworld",2250,"TID_TROPHY_WORLD_NAME_3"
,,,3000,
,,,5000,
"World4",4,"icon_trophyworld_hauntedhaven",6500,"TID_TROPHY_WORLD_NAME_4"
,,,8000,
,,,10000,
"World5",5,"icon_trophyworld_adventureland",11500,"TID_TROPHY_WORLD_NAME_5"
,,,13000,
,,,15000,
"World6",6,"icon_trophyworld_mysticmountain",16500,"TID_TROPHY_WORLD_NAME_6"
,,,18000,
,,,20000,
"World7",7,"icon_trophyworld_brawliwood",21500,"TID_TROPHY_WORLD_NAME_7"
,,,23000,
,,,25000,
"World8",8,"icon_trophyworld_fairytalecastle",26500,"TID_TROPHY_WORLD_NAME_8"
,,,28000,
,,,30000,
"World9",9,"icon_trophyworld_tomorroworld",33000,"TID_TROPHY_WORLD_NAME_9"
,,,36000,
,,,40000,
"World10",10,"sc/trophy_world_common.sc#icon_trophyworld_waterland",43000,"TID_TROPHY_WORLD_NAME_10"
,,,46000,
,,,50000,
"World11",11,"icon_trophyworld_chronotrap",53000,"TID_TROPHY_WORLD_NAME_11"
,,,56000,
,,,60000,
"World12",12,"icon_trophyworld_tunestown",63000,"TID_TROPHY_WORLD_NAME_12"
,,,66000,
,,,70000,
"World13",13,"icon_trophyworld_creepsville",73000,"TID_TROPHY_WORLD_NAME_13"
,,,76000,
,,,80000,
"World14",14,"icon_trophyworld_toyland",83000,"TID_TROPHY_WORLD_NAME_14"
,,,86000,
,,,90000,
"World15",15,"icon_trophyworld_madevilmanor",93000,"TID_TROPHY_WORLD_NAME_15"
,,,96000,
,,,100000,
