"Name","BillingPackages","Tiers"
"string","string","int"
"0.29USD","com.supercell.laser.bundle029",100
,"com.supercell.laser.bundle029",90
,"com.supercell.laser.bundle029",80
,"com.supercell.laser.bundle029",70
,"com.supercell.laser.bundle029",60
,"com.supercell.laser.bundle029",50
,"com.supercell.laser.bundle029",40
,"com.supercell.laser.bundle029",30
,"com.supercell.laser.bundle029",110
,"com.supercell.laser.bundle039",120
"0.39USD","com.supercell.laser.bundle039",100
,"com.supercell.laser.bundle039",90
,"com.supercell.laser.bundle029",80
,"com.supercell.laser.bundle029",70
,"com.supercell.laser.bundle029",60
,"com.supercell.laser.bundle029",50
,"com.supercell.laser.bundle029",40
,"com.supercell.laser.bundle029",30
,"com.supercell.laser.bundle039",110
,"com.supercell.laser.bundle049",120
"0.49USD","com.supercell.laser.bundle049",100
,"com.supercell.laser.bundle049",90
,"com.supercell.laser.bundle039",80
,"com.supercell.laser.bundle039",70
,"com.supercell.laser.bundle029",60
,"com.supercell.laser.bundle029",50
,"com.supercell.laser.bundle029",40
,"com.supercell.laser.bundle029",30
,"com.supercell.laser.bundle049",110
,"com.supercell.laser.bundle059",120
"0.59USD","com.supercell.laser.bundle059",100
,"com.supercell.laser.bundle049",90
,"com.supercell.laser.bundle049",80
,"com.supercell.laser.bundle039",70
,"com.supercell.laser.bundle039",60
,"com.supercell.laser.bundle029",50
,"com.supercell.laser.bundle029",40
,"com.supercell.laser.bundle029",30
,"com.supercell.laser.bundle069",110
,"com.supercell.laser.bundle069",120
"0.69USD","com.supercell.laser.bundle069",100
,"com.supercell.laser.bundle059",90
,"com.supercell.laser.bundle059",80
,"com.supercell.laser.bundle049",70
,"com.supercell.laser.bundle039",60
,"com.supercell.laser.bundle039",50
,"com.supercell.laser.bundle029",40
,"com.supercell.laser.bundle029",30
,"com.supercell.laser.bundle079",110
,"com.supercell.laser.bundle079",120
"0.79USD","com.supercell.laser.bundle079",100
,"com.supercell.laser.bundle069",90
,"com.supercell.laser.bundle059",80
,"com.supercell.laser.bundle059",70
,"com.supercell.laser.bundle049",60
,"com.supercell.laser.bundle039",50
,"com.supercell.laser.bundle029",40
,"com.supercell.laser.bundle029",30
,"com.supercell.laser.bundle089",110
,"com.supercell.laser.bundle099",120
"0.89USD","com.supercell.laser.bundle089",100
,"com.supercell.laser.bundle079",90
,"com.supercell.laser.bundle069",80
,"com.supercell.laser.bundle059",70
,"com.supercell.laser.bundle049",60
,"com.supercell.laser.bundle049",50
,"com.supercell.laser.bundle039",40
,"com.supercell.laser.bundle029",30
,"com.supercell.laser.bundle099",110
,"com.supercell.laser.bundle109",120
"0.99USD","com.supercell.laser.bundle099",100
,"com.supercell.laser.bundle089",90
,"com.supercell.laser.bundle079",80
,"com.supercell.laser.bundle069",70
,"com.supercell.laser.bundle059",60
,"com.supercell.laser.bundle049",50
,"com.supercell.laser.bundle039",40
,"com.supercell.laser.bundle029",30
,"com.supercell.laser.bundle109",110
,"com.supercell.laser.bundle119",120
"1.09USD","com.supercell.laser.bundle109",100
,"com.supercell.laser.bundle099",90
,"com.supercell.laser.bundle089",80
,"com.supercell.laser.bundle079",70
,"com.supercell.laser.bundle069",60
,"com.supercell.laser.bundle059",50
,"com.supercell.laser.bundle039",40
,"com.supercell.laser.bundle029",30
,"com.supercell.laser.bundle119",110
,"com.supercell.laser.bundle129",120
"1.19USD","com.supercell.laser.bundle119",100
,"com.supercell.laser.bundle109",90
,"com.supercell.laser.bundle099",80
,"com.supercell.laser.bundle079",70
,"com.supercell.laser.bundle069",60
,"com.supercell.laser.bundle059",50
,"com.supercell.laser.bundle049",40
,"com.supercell.laser.bundle039",30
,"com.supercell.laser.bundle129",110
,"com.supercell.laser.bundle139",120
"1.29USD","com.supercell.laser.bundle129",100
,"com.supercell.laser.bundle119",90
,"com.supercell.laser.bundle099",80
,"com.supercell.laser.bundle089",70
,"com.supercell.laser.bundle079",60
,"com.supercell.laser.bundle069",50
,"com.supercell.laser.bundle049",40
,"com.supercell.laser.bundle039",30
,"com.supercell.laser.bundle139",110
,"com.supercell.laser.bundle159",120
"1.39USD","com.supercell.laser.bundle139",100
,"com.supercell.laser.bundle129",90
,"com.supercell.laser.bundle109",80
,"com.supercell.laser.bundle099",70
,"com.supercell.laser.bundle079",60
,"com.supercell.laser.bundle069",50
,"com.supercell.laser.bundle059",40
,"com.supercell.laser.bundle039",30
,"com.supercell.laser.bundle149",110
,"com.supercell.laser.bundle169",120
"1.49USD","com.supercell.laser.bundle149",100
,"com.supercell.laser.bundle139",90
,"com.supercell.laser.bundle119",80
,"com.supercell.laser.bundle109",70
,"com.supercell.laser.bundle089",60
,"com.supercell.laser.bundle079",50
,"com.supercell.laser.bundle059",40
,"com.supercell.laser.bundle049",30
,"com.supercell.laser.bundle159",110
,"com.supercell.laser.bundle179",120
"1.59USD","com.supercell.laser.bundle159",100
,"com.supercell.laser.bundle139",90
,"com.supercell.laser.bundle129",80
,"com.supercell.laser.bundle109",70
,"com.supercell.laser.bundle099",60
,"com.supercell.laser.bundle079",50
,"com.supercell.laser.bundle059",40
,"com.supercell.laser.bundle049",30
,"com.supercell.laser.bundle179",110
,"com.supercell.laser.bundle189",120
"1.69USD","com.supercell.laser.bundle169",100
,"com.supercell.laser.bundle149",90
,"com.supercell.laser.bundle139",80
,"com.supercell.laser.bundle119",70
,"com.supercell.laser.bundle099",60
,"com.supercell.laser.bundle089",50
,"com.supercell.laser.bundle069",40
,"com.supercell.laser.bundle049",30
,"com.supercell.laser.bundle189",110
,"com.supercell.laser.bundle199",120
"1.79USD","com.supercell.laser.bundle179",100
,"com.supercell.laser.bundle159",90
,"com.supercell.laser.bundle139",80
,"com.supercell.laser.bundle129",70
,"com.supercell.laser.bundle109",60
,"com.supercell.laser.bundle089",50
,"com.supercell.laser.bundle069",40
,"com.supercell.laser.bundle049",30
,"com.supercell.laser.bundle199",110
,"com.supercell.laser.bundle219",120
"1.89USD","com.supercell.laser.bundle189",100
,"com.supercell.laser.bundle169",90
,"com.supercell.laser.bundle149",80
,"com.supercell.laser.bundle129",70
,"com.supercell.laser.bundle109",60
,"com.supercell.laser.bundle099",50
