"Name","Rarity","ExtraHerosAvailableTo","LogicType","ModifierValue","ModifierType","OldTokenResource","IconSWF","IconExportName","TID","InfoTID","UpgradeInfoTID","UpgradeTargetTID"
"string","string","string","int","int","string","string","string","string","string","string","string","string"
"ForestSpeed","RareGear",,0,15,"percent","GearTokensSpeed","sc/ui.sc","icon_gear_speed","TID_GEAR_FOREST_SPEED_TITLE","TID_GEAR_FOREST_SPEED_INFO","TID_GEAR_FOREST_SPEED_UPGRADE_INFO","TID_GEAR_FOREST_SPEED_UPGRADE_TARGET"
"HealthRegen","RareGear",,1,50,"value","GearTokensHeal","sc/ui.sc","icon_gear_heal","TID_GEAR_STANDING_HEAL_TITLE","TID_GEAR_STANDING_HEAL_INFO","TID_GEAR_STANDING_HEAL_UPGRADE_INFO","TID_GEAR_STANDING_HEAL_UPGRADE_TARGET"
"LowHealthDamage","RareGear",,2,15,"percent","GearTokensDamage","sc/ui.sc","icon_gear_damage","TID_GEAR_LOW_HEALTH_DAMAGE_TITLE","TID_GEAR_LOW_HEALTH_DAMAGE_INFO","TID_GEAR_LOW_HEALTH_DAMAGE_UPGRADE_INFO","TID_GEAR_LOW_HEALTH_DAMAGE_UPGRADE_TARGET"
"Vision","RareGear",,3,40,"ticks","GearTokensResistance","sc/ui.sc","icon_gear_vision","TID_GEAR_VISION_TITLE","TID_GEAR_VISION_INFO","TID_GEAR_VISION_UPGRADE_INFO","TID_GEAR_VISION_UPGRADE_TARGET"
"ConsumableShield","RareGear",,4,900,"value","GearTokensShield","sc/ui.sc","icon_gear_shield","TID_GEAR_SHIELD_TITLE","TID_GEAR_SHIELD_INFO","TID_GEAR_SHIELD_UPGRADE_INFO","TID_GEAR_SHIELD_UPGRADE_TARGET"
"ReloadSpeed","SuperRareGear","ElectroSniper",5,15,"percent",,"sc/ui.sc","icon_gear_reload","TID_GEAR_RELOAD_SPEED_TITLE","TID_GEAR_RELOAD_SPEED_INFO","TID_GEAR_RELOAD_SPEED_UPGRADE_INFO","TID_GEAR_RELOAD_SPEED_UPGRADE_TARGET"
,,"Flea",,,,,,,,,,
,,"Duplicator",,,,,,,,,,
,,"BowDude",,,,,,,,,,
,,"RocketGirl",,,,,,,,,,
,,"Gunslinger",,,,,,,,,,
,,"Arcade",,,,,,,,,,
,,"AssaultShotgun",,,,,,,,,,
,,"FireDude",,,,,,,,,,
,,"TrickshotDude",,,,,,,,,,
"SuperChargeRate","SuperRareGear","Knight",6,10,"percent",,"sc/ui.sc","icon_gear_super","TID_GEAR_SUPER_CHARGE_TITLE","TID_GEAR_SUPER_CHARGE_INFO","TID_GEAR_SUPER_CHARGE_UPGRADE_INFO","TID_GEAR_SUPER_CHARGE_UPGRADE_TARGET"
,,"IceDude",,,,,,,,,,
,,"Silencer",,,,,,,,,,
,,"BullDude",,,,,,,,,,
,,"Controller",,,,,,,,,,
,,"CannonGirl",,,,,,,,,,
,,"Enrager",,,,,,,,,,
,,"Wally",,,,,,,,,,
,,"Luchador",,,,,,,,,,
,,"Driller",,,,,,,,,,
"SuperHealth","EpicGear","ClusterBombDude",7,1000,"value",,"sc/ui.sc","icon_gear_tick","TID_GEAR_SUPER_HEALTH_TITLE","TID_GEAR_SUPER_HEALTH_INFO","TID_GEAR_SUPER_HEALTH_UPGRADE_INFO","TID_GEAR_SUPER_HEALTH_UPGRADE_TARGET"
"SuperRange","EpicGear","HookDude",8,3,"value",,"sc/ui.sc","icon_gear_gene","TID_GEAR_SUPER_RANGE_TITLE","TID_GEAR_SUPER_RANGE_INFO","TID_GEAR_SUPER_RANGE_UPGRADE_INFO","TID_GEAR_SUPER_RANGE_UPGRADE_TARGET"
"PoisonDamage","EpicGear","Crow",9,30,"percent",,"sc/ui.sc","icon_gear_crow","TID_GEAR_POISON_DURATION_TITLE","TID_GEAR_POISON_DURATION_INFO","TID_GEAR_POISON_DURATION_UPGRADE_INFO","TID_GEAR_POISON_DURATION_UPGRADE_TARGET"
"SlowIncrease","EpicGear","Cactus",10,30,"percent",,"sc/ui.sc","icon_gear_spike","TID_GEAR_SLOW_INCREASE_TITLE","TID_GEAR_SLOW_INCREASE_INFO","TID_GEAR_SLOW_INCREASE_UPGRADE_INFO","TID_GEAR_SLOW_INCREASE_UPGRADE_TARGET"
"SmokeDuration","EpicGear","Ninja",11,2,"value",,"sc/ui.sc","icon_gear_leon","TID_GEAR_SMOKE_DURATION_TITLE","TID_GEAR_SMOKE_DURATION_INFO","TID_GEAR_SMOKE_DURATION_UPGRADE_INFO","TID_GEAR_SMOKE_DURATION_UPGRADE_TARGET"
"SuperShield","EpicGear","Sandstorm",12,20,"percent",,"sc/ui.sc","icon_gear_sandy","TID_GEAR_SUPER_SHIELD_TITLE","TID_GEAR_SUPER_SHIELD_INFO","TID_GEAR_SUPER_SHIELD_UPGRADE_INFO","TID_GEAR_SUPER_SHIELD_UPGRADE_TARGET"
"PetrolSlows","EpicGear","FireDude",13,10,"percent",,"sc/ui.sc","icon_gear_amber","TID_GEAR_PETROL_SLOWS_TITLE","TID_GEAR_PETROL_SLOWS_INFO","TID_GEAR_PETROL_SLOWS_UPGRADE_INFO","TID_GEAR_PETROL_SLOWS_UPGRADE_TARGET"
"PetDamage","SuperRareGear","Mechanic",14,25,"percent",,"sc/ui.sc","icon_gear_pet","TID_GEAR_PET_DAMAGE_TITLE","TID_GEAR_PET_DAMAGE_INFO","TID_GEAR_PET_DAMAGE_UPGRADE_INFO","TID_GEAR_PET_DAMAGE_UPGRADE_TARGET"
,,"Shaman",,,,,,,,,,
,,"SpawnerDude",,,,,,,,,,
,,"BlackHole",,,,,,,,,,
,,"ArtilleryDude",,,,,,,,,,
"ExtraSpawnling","EpicGear","Flea",15,1,"value",,"sc/ui.sc","icon_gear_eve","TID_GEAR_EXTRA_SPAWNLING_TITLE","TID_GEAR_EXTRA_SPAWNLING_INFO","TID_GEAR_EXTRA_SPAWNLING_UPGRADE_INFO","TID_GEAR_EXTRA_SPAWNLING_UPGRADE_TARGET"
"SuperTurret","EpicGear","MinigunDude",16,20,"percent",,"sc/ui.sc","icon_gear_pam","TID_GEAR_SUPER_TURRET_TITLE","TID_GEAR_SUPER_TURRET_INFO","TID_GEAR_SUPER_TURRET_UPGRADE_INFO","TID_GEAR_SUPER_TURRET_UPGRADE_TARGET"
"GadgetCooldown","RareGear",,17,15,"percent",,"sc/ui.sc","icon_gear_gadget","TID_GEAR_GADGET_COOLDOWN_TITLE","TID_GEAR_GADGET_COOLDOWN_INFO","TID_GEAR_GADGET_COOLDOWN_UPGRADE_INFO","TID_GEAR_GADGET_COOLDOWN_UPGRADE_TARGET"
"SuperBulletSpeed","EpicGear","Undertaker",18,50,"percent",,"sc/ui.sc","icon_gear_mortis","TID_GEAR_SUPER_BULLET_SPEED_TITLE","TID_GEAR_SUPER_BULLET_SPEED_INFO","TID_GEAR_SUPER_BULLET_SPEED_UPGRADE_INFO","TID_GEAR_SUPER_BULLET_SPEED_UPGRADE_TARGET"
